network_level,selection_rule,initial_share,initial_lead,final_u_A,final_m_A,lock_index_LT,state
弱网络效应,未锁定，取最大初始份额,0.85,0.35,0.5079968114607127,0.5079968114607127,0.2580607604542509,未锁定
中等网络效应,最小锁定初始份额,0.55,0.050000000000000044,0.969187135949056,0.969187135949056,0.939323704489134,锁定
强网络效应,最小锁定初始份额,0.55,0.050000000000000044,0.9977566035982084,0.9977566035982084,0.9955182400238324,锁定
