b0,Ts,u_A_inf,m_A_inf,u_B_inf,m_B_inf,L_B,C,state
0.0,0.0,0.5774334514462475,0.5774334514462475,0.42256654855375253,0.42256654855375253,0.42256654855375253,0.15486690289249494,双平台共存
0.05,0.0,0.5774333366997649,0.5774333366997649,0.42256666330023507,0.42256666330023507,0.42256666330023507,0.15486667339952986,双平台共存
0.1,0.0,0.5774333403851801,0.5774333403851801,0.4225666596148199,0.4225666596148199,0.4225666596148199,0.15486668077036025,双平台共存
0.15000000000000002,0.0,0.5774333460457262,0.5774333460457262,0.42256665395427384,0.42256665395427384,0.42256665395427384,0.15486669209145232,双平台共存
0.2,0.0,0.5774333414872554,0.5774333414872554,0.42256665851274455,0.42256665851274455,0.42256665851274455,0.1548666829745109,双平台共存
0.25,0.0,0.5774333377579955,0.5774333377579955,0.42256666224200445,0.42256666224200445,0.42256666224200445,0.1548666755159911,双平台共存
0.30000000000000004,0.0,0.5774333353320138,0.5774333353320138,0.4225666646679862,0.4225666646679862,0.4225666646679862,0.1548666706640276,双平台共存
0.35000000000000003,0.0,0.5774333339278126,0.5774333339278126,0.4225666660721874,0.4225666660721874,0.4225666660721874,0.1548666678556252,双平台共存
0.4,0.0,0.5774333333340047,0.5774333333340047,0.4225666666659953,0.4225666666659953,0.4225666666659953,0.1548666666680094,双平台共存
0.45,0.0,0.5774333465563208,0.5774333465563208,0.42256665344367916,0.42256665344367916,0.42256665344367916,0.15486669311264167,双平台共存
0.5,0.0,0.5774333472360588,0.5774333472360588,0.42256665276394123,0.42256665276394123,0.42256665276394123,0.15486669447211754,双平台共存
0.55,0.0,0.577433346170999,0.577433346170999,0.42256665382900105,0.42256665382900105,0.42256665382900105,0.1548666923419979,双平台共存
0.6000000000000001,0.0,0.5774333452281175,0.5774333452281175,0.4225666547718825,0.4225666547718825,0.4225666547718825,0.15486669045623502,双平台共存
0.65,0.0,0.5774333443862049,0.5774333443862049,0.42256665561379514,0.42256665561379514,0.42256665561379514,0.15486668877240972,双平台共存
0.7000000000000001,0.0,0.5774333436295269,0.5774333436295269,0.4225666563704731,0.4225666563704731,0.4225666563704731,0.15486668725905384,双平台共存
0.75,0.0,0.5774333429460703,0.5774333429460703,0.4225666570539297,0.4225666570539297,0.4225666570539297,0.1548666858921406,双平台共存
0.8,0.0,0.5774333423264316,0.5774333423264316,0.4225666576735684,0.4225666576735684,0.4225666576735684,0.15486668465286324,双平台共存
0.8500000000000001,0.0,0.577433341763075,0.577433341763075,0.42256665823692496,0.42256665823692496,0.42256665823692496,0.15486668352615007,双平台共存
0.9,0.0,0.5774333412498326,0.5774333412498326,0.4225666587501674,0.4225666587501674,0.4225666587501674,0.15486668249966518,双平台共存
0.9500000000000001,0.0,0.5774333407815632,0.5774333407815632,0.42256665921843684,0.42256665921843684,0.42256665921843684,0.15486668156312633,双平台共存
1.0,0.0,0.5774333403538954,0.5774333403538954,0.4225666596461046,0.4225666596461046,0.4225666596461046,0.15486668070779075,双平台共存
1.05,0.0,0.5774333399630653,0.5774333399630653,0.42256666003693466,0.42256666003693466,0.42256666003693466,0.15486667992613068,双平台共存
1.1,0.0,0.577433339605781,0.577433339605781,0.422566660394219,0.422566660394219,0.422566660394219,0.15486667921156205,双平台共存
1.1500000000000001,0.0,0.5774333392791269,0.5774333392791269,0.4225666607208731,0.4225666607208731,0.4225666607208731,0.15486667855825376,双平台共存
1.2000000000000002,0.0,0.5774333389804986,0.5774333389804986,0.42256666101950136,0.42256666101950136,0.42256666101950136,0.1548666779609973,双平台共存
1.25,0.0,0.5774333387075462,0.5774333387075462,0.4225666612924538,0.4225666612924538,0.4225666612924538,0.1548666774150924,双平台共存
1.3,0.0,0.5774333384581412,0.5774333384581412,0.42256666154185885,0.42256666154185885,0.42256666154185885,0.1548666769162823,双平台共存
1.35,0.0,0.577433338230336,0.577433338230336,0.42256666176966395,0.42256666176966395,0.42256666176966395,0.1548666764606721,双平台共存
1.4000000000000001,0.0,0.5774333380223516,0.5774333380223516,0.42256666197764836,0.42256666197764836,0.42256666197764836,0.15486667604470328,双平台共存
1.4500000000000002,0.0,0.5774333378325525,0.5774333378325525,0.42256666216744754,0.42256666216744754,0.42256666216744754,0.15486667566510492,双平台共存
1.5,0.0,0.5774333376594285,0.5774333376594285,0.4225666623405715,0.4225666623405715,0.4225666623405715,0.154866675318857,双平台共存
1.55,0.0,0.577433337501596,0.577433337501596,0.422566662498404,0.422566662498404,0.422566662498404,0.15486667500319196,双平台共存
1.6,0.0,0.5774333373577725,0.5774333373577725,0.42256666264222753,0.42256666264222753,0.42256666264222753,0.15486667471554494,双平台共存
1.6500000000000001,0.0,0.577433337226779,0.577433337226779,0.42256666277322097,0.42256666277322097,0.42256666277322097,0.15486667445355806,双平台共存
1.7000000000000002,0.0,0.5774333371075238,0.5774333371075238,0.42256666289247624,0.42256666289247624,0.42256666289247624,0.15486667421504752,双平台共存
1.75,0.0,0.5774333369990083,0.5774333369990083,0.42256666300099166,0.42256666300099166,0.42256666300099166,0.15486667399801668,双平台共存
1.8,0.0,0.5774333369003002,0.5774333369003002,0.4225666630996998,0.4225666630996998,0.4225666630996998,0.15486667380060037,双平台共存
1.85,0.0,0.5774333368105538,0.5774333368105538,0.42256666318944625,0.42256666318944625,0.42256666318944625,0.1548666736211075,双平台共存
1.9000000000000001,0.0,0.5774333367289909,0.5774333367289909,0.4225666632710091,0.4225666632710091,0.4225666632710091,0.15486667345798177,双平台共存
1.9500000000000002,0.0,0.5774333365824509,0.5774333365824509,0.4225666634175491,0.4225666634175491,0.4225666634175491,0.15486667316490177,双平台共存
2.0,0.0,0.5774333364437197,0.5774333364437197,0.42256666355628025,0.42256666355628025,0.42256666355628025,0.1548666728874395,双平台共存
0.0,1.0,0.5774334514462475,0.5774334514462475,0.42256654855375253,0.42256654855375253,0.42256654855375253,0.15486690289249494,双平台共存
0.05,1.0,0.5769659866957193,0.5769659866957193,0.4230340133042807,0.4230340133042807,0.4230340133042807,0.1539319733914386,双平台共存
0.1,1.0,0.5763576101887617,0.5763576101887617,0.42364238981123825,0.42364238981123825,0.42364238981123825,0.1527152203775235,双平台共存
0.15000000000000002,1.0,0.5755481422893044,0.5755481422893044,0.4244518577106956,0.4244518577106956,0.4244518577106956,0.1510962845786088,双平台共存
0.2,1.0,0.5744471584310066,0.5744471584310066,0.4255528415689934,0.4255528415689934,0.4255528415689934,0.14889431686201315,双平台共存
0.25,1.0,0.5729094158330429,0.5729094158330429,0.4270905841669571,0.4270905841669571,0.4270905841669571,0.14581883166608578,双平台共存
0.30000000000000004,1.0,0.5707034573229832,0.5707034573229832,0.4292965426770168,0.4292965426770168,0.4292965426770168,0.14140691464596644,双平台共存
0.35000000000000003,1.0,0.5674477516805827,0.5674477516805827,0.4325522483194173,0.4325522483194173,0.4325522483194173,0.1348955033611654,双平台共存
0.4,1.0,0.5625204115805318,0.5625204115805318,0.4374795884194682,0.4374795884194682,0.4374795884194682,0.12504082316106357,双平台共存
0.45,1.0,0.554974095438905,0.554974095438905,0.44502590456109503,0.44502590456109503,0.44502590456109503,0.10994819087780994,双平台共存
0.5,1.0,0.5435811585016644,0.5435811585016644,0.45641884149833556,0.45641884149833556,0.45641884149833556,0.08716231700332888,双平台共存
0.55,1.0,0.5275196085786812,0.5275196085786812,0.4724803914213188,0.4724803914213188,0.4724803914213188,0.055039217157362375,双平台共存
0.6000000000000001,1.0,0.5078381037532006,0.5078381037532006,0.4921618962467994,0.4921618962467994,0.4921618962467994,0.015676207506401196,双平台共存
0.65,1.0,0.4879889143015387,0.4879889143015387,0.5120110856984613,0.5120110856984613,0.5120110856984613,0.024022171396922642,双平台共存
0.7000000000000001,1.0,0.4713752468001573,0.4713752468001573,0.5286247531998427,0.5286247531998427,0.5286247531998427,0.0572495063996854,双平台共存
0.75,1.0,0.45907429334701016,0.45907429334701016,0.5409257066529898,0.5409257066529898,0.5409257066529898,0.08185141330597967,双平台共存
0.8,1.0,0.45044500913634966,0.45044500913634966,0.5495549908636503,0.5495549908636503,0.5495549908636503,0.09910998172730068,双平台共存
0.8500000000000001,1.0,0.44443598206265084,0.44443598206265084,0.5555640179373491,0.5555640179373491,0.5555640179373491,0.11112803587469833,双平台共存
0.9,1.0,0.44019253523472773,0.44019253523472773,0.5598074647652722,0.5598074647652722,0.5598074647652722,0.11961492953054453,双平台共存
0.9500000000000001,1.0,0.4371217050525314,0.4371217050525314,0.5628782949474687,0.5628782949474687,0.5628782949474687,0.1257565898949372,双平台共存
1.0,1.0,0.4348445176154286,0.4348445176154286,0.5651554823845715,0.5651554823845715,0.5651554823845715,0.13031096476914283,双平台共存
1.05,1.0,0.43311749570910263,0.43311749570910263,0.5668825042908974,0.5668825042908974,0.5668825042908974,0.13376500858179474,双平台共存
1.1,1.0,0.43177820372954767,0.43177820372954767,0.5682217962704523,0.5682217962704523,0.5682217962704523,0.13644359254090466,双平台共存
1.1500000000000001,1.0,0.43072086307558033,0.43072086307558033,0.5692791369244197,0.5692791369244197,0.5692791369244197,0.13855827384883934,双平台共存
1.2000000000000002,1.0,0.42987166531956716,0.42987166531956716,0.5701283346804329,0.5701283346804329,0.5701283346804329,0.14025666936086567,双平台共存
1.25,1.0,0.42918052761850817,0.42918052761850817,0.5708194723814919,0.5708194723814919,0.5708194723814919,0.14163894476298367,双平台共存
1.3,1.0,0.42861045254597596,0.42861045254597596,0.571389547454024,0.571389547454024,0.571389547454024,0.14277909490804808,双平台共存
1.35,1.0,0.4281355045854809,0.4281355045854809,0.5718644954145191,0.5718644954145191,0.5718644954145191,0.14372899082903823,双平台共存
1.4000000000000001,1.0,0.427736033542899,0.427736033542899,0.572263966457101,0.572263966457101,0.572263966457101,0.14452793291420196,双平台共存
1.4500000000000002,1.0,0.4273973519483428,0.4273973519483428,0.5726026480516573,0.5726026480516573,0.5726026480516573,0.14520529610331445,双平台共存
1.5,1.0,0.42710795836238924,0.42710795836238924,0.5728920416376108,0.5728920416376108,0.5728920416376108,0.14578408327522152,双平台共存
1.55,1.0,0.4268594288305874,0.4268594288305874,0.5731405711694126,0.5731405711694126,0.5731405711694126,0.14628114233882517,双平台共存
1.6,1.0,0.4266446415953441,0.4266446415953441,0.5733553584046559,0.5733553584046559,0.5733553584046559,0.1467107168093118,双平台共存
1.6500000000000001,1.0,0.42645786679980374,0.42645786679980374,0.5735421332001962,0.5735421332001962,0.5735421332001962,0.14708426640039252,双平台共存
1.7000000000000002,1.0,0.42629521572114654,0.42629521572114654,0.5737047842788534,0.5737047842788534,0.5737047842788534,0.14740956855770693,双平台共存
1.75,1.0,0.42615292154646495,0.42615292154646495,0.573847078453535,0.573847078453535,0.573847078453535,0.1476941569070701,双平台共存
1.8,1.0,0.42602757165792676,0.42602757165792676,0.5739724283420733,0.5739724283420733,0.5739724283420733,0.14794485668414648,双平台共存
1.85,1.0,0.4259172077708814,0.4259172077708814,0.5740827922291186,0.5740827922291186,0.5740827922291186,0.14816558445823724,双平台共存
1.9000000000000001,1.0,0.4258196159598396,0.4258196159598396,0.5741803840401605,0.5741803840401605,0.5741803840401605,0.14836076808032084,双平台共存
