,b0=0.00,b0=0.12,b0=0.25,b0=0.38,b0=0.50,b0=0.62,b0=0.75,b0=0.88,b0=1.00,b0=1.12,b0=1.25,b0=1.38,b0=1.50,b0=1.62,b0=1.75,b0=1.88,b0=2.00,b0=2.12,b0=2.25,b0=2.38,b0=2.50,b0=2.62,b0=2.75,b0=2.88,b0=3.00,b0=3.12,b0=3.25,b0=3.38,b0=3.50,b0=3.62,b0=3.75,b0=3.88,b0=4.00,b0=4.12,b0=4.25,b0=4.38,b0=4.50,b0=4.62,b0=4.75,b0=4.88,b0=5.00
Ts=0.00,0.0016951248220892152,0.0016951248156343477,0.0016951255016385929,0.0016951252991367664,0.0016951251863956147,0.0016951248144980431,0.0016951247967549688,0.001695125010152422,0.0016951253646002708,0.0016951256149486552,0.0016951254915642346,0.0016951254144510642,0.001695125363326208,0.001695125327983773,0.0016951253028007023,0.0016951252844542612,0.0016951252708673342,0.0016951252606817685,0.0016951252529761296,0.0016951252471064284,0.0016951250959143613,0.0016951248490264562,0.0016951248432471714,0.001695124838409212,0.0016951248343736029,0.0016951248310269102,0.0016951248282710265,0.0016951248260186505,0.0016951248241911937,0.0016951248227185544,0.0016951248215390051,0.0016951248205991165,0.0016951248198535523,0.0016951248192642319,0.0016951248187998694,0.0016951248184348595,0.0016951248181484627,0.0016951248179241545,0.0016951248177486768,0.0016951248176115005,0.0016951248175043857
Ts=1.00,0.0016951248220892152,0.0016951256420178653,0.0016951248336292935,0.001695124907712229,0.0016951248715382835,0.0016951247835544168,0.00169512487576506,0.001695124817576764,0.9983048504287498,0.9983048100622591,0.9983048417761369,0.9983048427692751,0.9983048057242581,0.998304861137016,0.9983048150759548,0.9983048414668858,0.9983048510126229,0.9983048477034894,0.9983048480781619,0.9983048626593379,0.9983048614695897,0.9983048617711523,0.9983048607509998,0.9983048562370515,0.9983048501781975,0.9983048633621004,0.9983048596628957,0.9983048612517301,0.9983048604239703,0.9983048636902404,0.9983048622388333,0.9983048620343599,0.9983048621157605,0.9983048623407507,0.9983048605380248,0.9983048513874839,0.9983048611516095,0.9983048480376401,0.9983048622336542,0.9983048623682433,0.9983048623921003
Ts=2.00,0.0016951248220892152,0.0016951255125119556,0.0016951248290124669,0.0016951248579997443,0.0016951247825126425,0.0016951250070061825,0.0016951251311355378,0.001695125147702274,0.9983048663350885,0.9983048437759106,0.9983048623098367,0.9983048413265642,0.9983048456822584,0.9983048608496896,0.9983048624440688,0.9983048656071142,0.9983048625170418,0.9983048532164004,0.9983048627219752,0.9983048332232038,0.9983048627227268,0.9983048176189778,0.9983047939779078,0.9983048548390404,0.9983048549809168,0.998304854980039,0.9983048387588364,0.9983048659627086,0.9983047842648217,0.9983048662765756,0.9983048653893942,0.998304865401244,0.9983048653213598,0.9983048655813016,0.9983048651237032,0.9983048660882589,0.9983048659729976,0.9983048660055478,0.9983048663204717,0.998304866276526,0.9983048551008858
Ts=3.00,0.0016951248220892152,0.0016951253203122535,0.0016951248615686716,0.001695124989263606,0.0016951249019163414,0.001695125505489609,0.0016951249428610049,0.9983048611301449,0.9983048575806757,0.9983048491253294,0.9983048533160903,0.9983048300210594,0.9983048472691054,0.9983048623356078,0.9983048621346157,0.9983048626187732,0.998304855268557,0.9983048660764839,0.9983048406002459,0.99830486377753,0.9983048642486259,0.9983048611595396,0.9983048588887025,0.9983048051486042,0.9983048603067616,0.9983048502507192,0.9983048511218587,0.9983048376806778,0.9983048547278296,0.9983048071323666,0.9983048643580312,0.9983048643800895,0.9983048642653258,0.9983048640837552,0.9983048412631721,0.9983048039525675,0.9983048560312608,0.9983048560173517,0.9983048560053778,0.9983048101592893,0.998304809499431
Ts=4.00,0.0016951248220892152,0.0016951255670756625,0.001695125438056605,0.0016951250847710565,0.001695124793302119,0.0016951248125390297,0.001695124818253198,0.998304860759507,0.9983048477554346,0.9983048476466015,0.9983048609973524,0.9983048555505136,0.9983047783436388,0.9983048445732193,0.9983048519390265,0.9983048576354066,0.9983048593621806,0.998304856994807,0.9983048631491244,0.9983048550647253,0.9983048553568147,0.9983048602977811,0.9983048628361851,0.9983048574996296,0.9983048575237764,0.998304860081463,0.998304855739454,0.9983048562522158,0.998304866121758,0.9983048664123941,0.9983048665025068,0.9983048665066645,0.9983048664677897,0.998304866406198,0.9983048663340525,0.9983048662595052,0.9983048661879685,0.9983048661226772,0.9983048660652397,0.9983048660160809,0.9983048659748841
Ts=5.00,0.0016951248220892152,0.0016951253633240857,0.0016951249049644878,0.0016951255495558286,0.0016951250197899982,0.001695124845840658,0.001695124971418447,0.9983048229157231,0.9983048601324713,0.9983048623946258,0.998304849196787,0.998304858415001,0.9983048456539025,0.9983048563470887,0.9983048618967569,0.9983048555084176,0.9983048643002965,0.9983048667073869,0.9983048658678709,0.9983048392929068,0.9983048609975272,0.9983048384316803,0.9983048255761386,0.9983048362071134,0.998304842601762,0.9983048400993857,0.9983048173600754,0.9983047994436475,0.9983048503051567,0.9983048527743358,0.9983048536037668,0.9983048536340563,0.9983048532545484,0.9983048526755949,0.9983048520214292,0.9983048513669875,0.9983048507558491,0.9983048502101998,0.9983048497384843,0.9983048493402248,0.998304849010044
Ts=6.00,0.0016951248220892152,0.001695124805063954,0.0016951249767820354,0.001695125065014584,0.0016951252814311531,0.001695124877732487,0.0016951252792911098,0.9983048614750616,0.998304851938181,0.9983048216995526,0.9983048636748121,0.9983047942860195,0.9983048606298945,0.9983048416782897,0.998304833832957,0.9983048232513735,0.9983048618402477,0.998304853099569,0.998304861127238,0.9983048594602351,0.998304843869904,0.99830485821308,0.9983048252720513,0.9983048447130335,0.9983048440497946,0.9983048661137375,0.9983048560730059,0.9983048604956978,0.9983048439177629,0.9983048652253731,0.9983048593752505,0.9983048593865989,0.9983048687472011,0.9983048641501114,0.9983048601664293,0.9983048542922764,0.9983048464451274,0.9983048612392973,0.9983048576224501,0.9983048568404259,0.9983048561138735
Ts=7.00,0.0016951248220892152,0.0016951256921291361,0.0016951248612053927,0.0016951249122004255,0.0016951249277661392,0.0016951247820880806,0.0016951248586172722,0.9983048421996829,0.9983048938314109,0.9983048916771271,0.9983049079440396,0.998304886172807,0.9983049020300969,0.9983048913989452,0.9983048867053461,0.9983048902661978,0.9983048894368027,0.9983049128031425,0.9983048882078275,0.9983048881433726,0.9983048990066989,0.9983048933050462,0.9983048882052363,0.9983048850850027,0.9983049314496758,0.998304888172332,0.9983048838811531,0.9983048869172875,0.9983048883038618,0.9983048881782111,0.9983048881768348,0.9983048881749894,0.9983048881732326,0.9983048881719357,0.9983048881711936,0.9983048881709304,0.9983048851803451,0.9983048889063035,0.998304888977521,0.9983048880514067,0.9983048878607321
Ts=8.00,0.0016951248220892152,0.001695125287798375,0.0016951248969364118,0.0016951248268233104,0.0016951252120188296,0.0016951248062836736,0.0016951248257821767,0.9983048178471965,0.9983049189739898,0.9983048867671518,0.9983048891729767,0.9983048870098924,0.9983048873699847,0.9983048886101279,0.9983048945515758,0.9983049192923533,0.9983048856153917,0.9983048892841931,0.9983048852829272,0.9983048896727974,0.9983048896421145,0.9983048893370408,0.9983048854302047,0.9983048895826903,0.9983049066384336,0.9983048898730267,0.9983048903045451,0.9983048896236955,0.9983048893605203,0.998304889387749,0.9983048893802637,0.9983048893757187,0.9983048893730775,0.9983048893716558,0.9983048893709939,0.9983048893707842,0.9983048893708271,0.9983048893709981,0.9983048893712183,0.998304889361093,0.9983048893419639
Ts=9.00,0.0016951248220892152,0.001695124859877364,0.001695124997338006,0.0016951254712042464,0.001695124980104916,0.0016951251813623332,0.0016951248034818211,0.9983049020785154,0.9983049078795762,0.9983049135237022,0.9983048884693895,0.9983048986503387,0.9983048979934139,0.9983049061677336,0.9983048952535453,0.9983048980043354,0.9983048929361001,0.998304890121591,0.9983048952473537,0.9983048933144921,0.9983048924100683,0.9983048947712915,0.9983048943756301,0.9983048914079703,0.998304898143278,0.9983048948813286,0.9983048942383296,0.9983048939161121,0.9983048914523968,0.998304894416807,0.9983048938881847,0.9983048940014706,0.9983048938700895,0.99830489435189,0.9983048928031318,0.9983048928177076,0.9983048933702113,0.9983048921120656,0.9983048921219069,0.9983048914033699,0.998304899109781
