k,u_inf,m_inf,C,state
0.0,0.5000000105181507,0.5000000105181507,2.103630136751633e-08,双平台共存
0.1,0.5000000053871599,0.5000000053871599,1.0774319880724192e-08,双平台共存
0.2,0.5000000144519569,0.5000000144519569,2.8903913706912476e-08,双平台共存
0.30000000000000004,0.5000000046225347,0.5000000046225347,9.245069376717652e-09,双平台共存
0.4,0.5000000015829508,0.5000000015829508,3.165901540924665e-09,双平台共存
0.5,0.5000000188175969,0.5000000188175969,3.763519385024949e-08,双平台共存
0.6000000000000001,0.5000022684438722,0.5000022684438722,4.536887744377438e-06,双平台共存
0.7000000000000001,0.5003328909094259,0.5003328909094259,0.0006657818188517961,双平台共存
0.8,0.5433199253944533,0.5433199253944533,0.08663985078890657,双平台共存
0.9,0.7511810375737296,0.7511810375737296,0.5023620751474591,市场倾斜
1.0,0.829284461437499,0.829284461437499,0.658568922874998,市场倾斜
1.1,0.8760288149409657,0.8760288149409657,0.7520576298819315,市场倾斜
1.2000000000000002,0.9072642616932453,0.9072642616932453,0.8145285233864905,市场锁定
1.3,0.9292797251060532,0.9292797251060532,0.8585594502121063,市场锁定
1.4000000000000001,0.9453217132747281,0.9453217132747281,0.8906434265494563,市场锁定
1.5,0.9572842465623546,0.9572842465623546,0.9145684931247091,市场锁定
1.6,0.966358768873267,0.966358768873267,0.932717537746534,市场锁定
1.7000000000000002,0.9733340000975431,0.9733340000975431,0.9466680001950862,市场锁定
1.8,0.9787519987872599,0.9787519987872599,0.9575039975745199,市场锁定
1.9000000000000001,0.982996106198094,0.982996106198094,0.9659922123961879,市场锁定
2.0,0.9863440006002703,0.9863440006002703,0.9726880012005406,市场锁定
2.1,0.9889999704087029,0.9889999704087029,0.9779999408174058,市场锁定
2.2,0.9911172784826546,0.9911172784826546,0.9822345569653093,市场锁定
2.3000000000000003,0.9928119278329827,0.9928119278329827,0.9856238556659653,市场锁定
2.4000000000000004,0.9941729096715757,0.9941729096715757,0.9883458193431514,市场锁定
2.5,0.995269054642,0.995269054642,0.990538109284,市场锁定
2.6,0.9961542021668723,0.9961542021668723,0.9923084043337447,市场锁定
2.7,0.996870323472421,0.996870323472421,0.993740646944842,市场锁定
2.8000000000000003,0.997450752363609,0.997450752363609,0.9949015047272181,市场锁定
2.9000000000000004,0.9979219045828893,0.9979219045828893,0.9958438091657786,市场锁定
3.0,0.9983048479021928,0.9983048479021928,0.9966096958043855,市场锁定
3.1,0.9986164215292174,0.9986164215292174,0.9972328430584347,市场锁定
3.2,0.9988702029987986,0.9988702029987986,0.9977404059975972,市场锁定
3.3000000000000003,0.999077062362077,0.999077062362077,0.9981541247241541,市场锁定
3.4000000000000004,0.9992457791769331,0.9992457791769331,0.9984915583538663,市场锁定
3.5,0.9993834811483647,0.9993834811483647,0.9987669622967295,市场锁定
3.6,0.9994959400466571,0.9994959400466571,0.9989918800933142,市场锁定
3.7,0.9995877784610515,0.9995877784610515,0.999175556922103,市场锁定
3.8000000000000003,0.9996628243018023,0.9996628243018023,0.9993256486036046,市场锁定
3.9000000000000004,0.9997241654742387,0.9997241654742387,0.9994483309484774,市场锁定
4.0,0.9997743010546061,0.9997743010546061,0.9995486021092121,市场锁定
4.1000000000000005,0.9998153324336632,0.9998153324336632,0.9996306648673263,市场锁定
4.2,0.9998488785430687,0.9998488785430687,0.9996977570861374,市场锁定
4.3,0.9998763206970898,0.9998763206970898,0.9997526413941795,市场锁定
4.4,0.9998987500625158,0.9998987500625158,0.9997975001250317,市场锁定
4.5,0.9999171303955746,0.9999171303955746,0.9998342607911492,市场锁定
4.6000000000000005,0.9999321613898764,0.9999321613898764,0.9998643227797528,市场锁定
4.7,0.9999444646383656,0.9999444646383656,0.9998889292767312,市场锁定
4.800000000000001,0.9999545395541503,0.9999545395541503,0.9999090791083005,市场锁定
4.9,0.9999627809806969,0.9999627809806969,0.9999255619613938,市场锁定
5.0,0.9999695283091532,0.9999695283091532,0.9999390566183064,市场锁定
