scenario,alpha,beta,b_user,b_merchant,total_subsidy,final_B_user_share,final_B_merchant_share,final_B_average_share,success,state
对称强网络效应,1.2,1.2,0.78,0.0,0.78,0.12049123450688426,0.01742307340928438,0.06895715395808433,0,平台失败
对称强网络效应,1.2,1.2,0.81,0.0,0.81,0.13865373832640981,0.020337988827112033,0.07949586357676092,0,平台失败
对称强网络效应,1.2,1.2,0.84,0.0,0.84,0.999651484298212,0.9937010237460948,0.9966762540221534,1,平台锁定
对称强网络效应,1.2,1.2,0.87,0.0,0.87,0.9996862358100069,0.9937028708789135,0.9966945533444602,1,平台锁定
对称强网络效应,1.2,1.2,0.9,0.0,0.9,0.999717520975689,0.9937045333009866,0.9967110271383378,1,平台锁定
对称强网络效应,1.2,1.2,0.93,0.0,0.93,0.9997456857738674,0.9937060295367237,0.9967258576552955,1,平台锁定
对称强网络效应,1.2,1.2,0.96,0.0,0.96,0.9997710416085983,0.9937073762425912,0.9967392089255948,1,平台锁定
对称强网络效应,1.2,1.2,0.99,0.0,0.99,0.9997938687725143,0.9937085883973886,0.9967512285849515,1,平台锁定
对称强网络效应,1.2,1.2,1.02,0.0,1.02,0.9998144195615519,0.9937096794727855,0.9967620495171687,1,平台锁定
对称强网络效应,1.2,1.2,1.05,0.0,1.05,0.9998329210766184,0.9937106615862255,0.9967717913314219,1,平台锁定
对称强网络效应,1.2,1.2,1.08,0.0,1.08,0.9998495777438949,0.9937115456380805,0.9967805616909877,1,平台锁定
对称强网络效应,1.2,1.2,1.11,0.0,1.11,0.9998645735822258,0.9937123414347218,0.9967884575084738,1,平台锁定
对称强网络效应,1.2,1.2,1.14,0.0,1.14,0.9998780742431179,0.9937130577989892,0.9967955660210536,1,平台锁定
对称强网络效应,1.2,1.2,1.17,0.0,1.17,0.9998902288462901,0.9937137026693781,0.9968019657578341,1,平台锁定
对称强网络效应,1.2,1.2,1.2,0.0,1.2,0.9999011716313546,0.9937142831891215,0.996807727410238,1,平台锁定
对称强网络效应,1.2,1.2,0.0,0.03,0.03,0.006684409985520001,0.007384738268498291,0.007034574127009146,0,平台失败
对称强网络效应,1.2,1.2,0.03,0.03,0.06,0.007431484294407785,0.007431484294407785,0.007431484294407785,0,平台失败
对称强网络效应,1.2,1.2,0.06,0.03,0.09,0.00826295775171659,0.007483861300778839,0.007873409526247713,0,平台失败
对称强网络效应,1.2,1.2,0.09,0.03,0.12,0.009188586679945432,0.0075426062020946556,0.008365596441020043,0,平台失败
对称强网络效应,1.2,1.2,0.12,0.03,0.15,0.010219310814298273,0.007608566793269343,0.008913938803783808,0,平台失败
对称强网络效应,1.2,1.2,0.15,0.03,0.18,0.01136741124979726,0.00768272199529744,0.00952506662254735,0,平台失败
对称强网络效应,1.2,1.2,0.18,0.03,0.21,0.01264669333997924,0.0077662066769869555,0.010206450008483098,0,平台失败
对称强网络效应,1.2,1.2,0.21,0.03,0.24,0.01407269956900625,0.00786034231297442,0.010966520940990335,0,平台失败
对称强网络效应,1.2,1.2,0.24,0.03,0.27,0.015662958743433583,0.007966675151237453,0.011814816947335518,0,平台失败
对称强网络效应,1.2,1.2,0.27,0.03,0.30000000000000004,0.017437279621611318,0.008087024135189604,0.012762151878400461,0,平台失败
对称强网络效应,1.2,1.2,0.3,0.03,0.32999999999999996,0.01941809950430503,0.008223541627408803,0.013820820565856916,0,平台失败
对称强网络效应,1.2,1.2,0.33,0.03,0.36,0.021630901629636504,0.008378791122476595,0.01500484637605655,0,平台失败
对称强网络效应,1.2,1.2,0.36,0.03,0.39,0.024104719877584738,0.008555847783154758,0.016330283830369746,0,平台失败
对称强网络效应,1.2,1.2,0.39,0.03,0.42000000000000004,0.026872755964724652,0.008758430052554111,0.017815593008639382,0,平台失败
对称强网络效应,1.2,1.2,0.42,0.03,0.44999999999999996,0.029973144072859004,0.008991074214006786,0.019482109143432895,0,平台失败
对称强网络效应,1.2,1.2,0.45,0.03,0.48,0.033449912471639406,0.00925936930093357,0.02135464088628649,0,平台失败
对称强网络效应,1.2,1.2,0.48,0.03,0.51,0.03735421415293838,0.00957027841259728,0.02346224628276783,0,平台失败
对称强网络效应,1.2,1.2,0.51,0.03,0.54,0.04174593401380959,0.00993258639886576,0.025839260206337675,0,平台失败
对称强网络效应,1.2,1.2,0.54,0.03,0.5700000000000001,0.04669583816267893,0.01035753692147694,0.028526687542077933,0,平台失败
对称强网络效应,1.2,1.2,0.57,0.03,0.6,0.05228852933599466,0.010859761455772318,0.03157414539588349,0,平台失败
对称强网络效应,1.2,1.2,0.6,0.03,0.63,0.05862664655755925,0.011458673552909363,0.035042660055234306,0,平台失败
对称强网络效应,1.2,1.2,0.63,0.03,0.66,0.06583707107366882,0.012180634567161477,0.03900885282041515,0,平台失败
对称强网络效应,1.2,1.2,0.66,0.03,0.6900000000000001,0.07408053984038818,0.013062461673683513,0.04357150075703584,0,平台失败
对称强网络效应,1.2,1.2,0.69,0.03,0.72,0.08356742384525287,0.014157415188887194,0.04886241951707003,0,平台失败
对称强网络效应,1.2,1.2,0.72,0.03,0.75,0.09458557695187111,0.015546128137333616,0.05506585254460236,0,平台失败
对称强网络效应,1.2,1.2,0.75,0.03,0.78,0.10755438115064558,0.01735843372345429,0.062456407437049936,0,平台失败
对称强网络效应,1.2,1.2,0.78,0.03,0.81,0.12314431422580358,0.019822854725132108,0.07148358447546785,0,平台失败
对称强网络效应,1.2,1.2,0.81,0.03,0.8400000000000001,0.9996149284877169,0.9943297885967897,0.9969723585422533,1,平台锁定
对称强网络效应,1.2,1.2,0.84,0.03,0.87,0.9996533260010427,0.9943316249141911,0.9969924754576169,1,平台锁定
对称强网络效应,1.2,1.2,0.87,0.03,0.9,0.9996878933183044,0.994333277546005,0.9970105854321547,1,平台锁定
对称强网络效应,1.2,1.2,0.9,0.03,0.93,0.9997190127671673,0.9943347649245118,0.9970268888458396,1,平台锁定
对称强网络效应,1.2,1.2,0.93,0.03,0.9600000000000001,0.9997470284620444,0.9943361036213159,0.9970415660416801,1,平台锁定
对称强网络效应,1.2,1.2,0.96,0.03,0.99,0.9997722501328745,0.9943373085372655,0.99705477933507,1,平台锁定
对称强网络效应,1.2,1.2,0.99,0.03,1.02,0.9997949565684929,0.9943383930725946,0.9970666748205438,1,平台锁定
对称强网络效应,1.2,1.2,1.02,0.03,1.05,0.9998153987137253,0.994339369279416,0.9970773839965706,1,平台锁定
对称强网络效应,1.2,1.2,1.05,0.03,1.08,0.9998338024553028,0.9943402479984627,0.9970870252268828,1,平台锁定
对称强网络效应,1.2,1.2,1.08,0.03,1.11,0.9998503711280882,0.9943410389817455,0.9970957050549168,1,平台锁定
对称强网络效应,1.2,1.2,1.11,0.03,1.1400000000000001,0.9998652877698659,0.9943417510026245,0.9971035193862452,1,平台锁定
对称强网络效应,1.2,1.2,1.14,0.03,1.17,0.9998787171500754,0.9943423919546097,0.9971105545523425,1,平台锁定
对称强网络效应,1.2,1.2,1.17,0.03,1.2,0.999890807595261,0.9943429689400813,0.9971168882676712,1,平台锁定
对称强网络效应,1.2,1.2,1.2,0.03,1.23,0.9999016926317086,0.9943434883499671,0.9971225904908378,1,平台锁定
对称强网络效应,1.2,1.2,0.0,0.06,0.06,0.006731174260330682,0.008210560329099961,0.0074708672947153216,0,平台失败
对称强网络效应,1.2,1.2,0.03,0.06,0.09,0.007483861300778839,0.00826295775171659,0.007873409526247713,0,平台失败
对称强网络效应,1.2,1.2,0.06,0.06,0.12,0.00832167707256044,0.00832167707256044,0.00832167707256044,0,平台失败
对称强网络效应,1.2,1.2,0.09,0.06,0.15,0.009254486493204945,0.008387548236530151,0.008821017364867548,0,平台失败
对称强网络效应,1.2,1.2,0.12,0.06,0.18,0.01029335744376918,0.008461526753272542,0.009377442098520861,0,平台失败
对称强网络效应,1.2,1.2,0.15,0.06,0.21,0.011450723069144256,0.008544716809823813,0.009997719939484034,0,平台失败
对称强网络效应,1.2,1.2,0.18,0.06,0.24,0.012740570211487695,0.008638399661159295,0.010689484936323495,0,平台失败
对称强网络效应,1.2,1.2,0.21,0.06,0.27,0.01417865938036316,0.008744068769957647,0.011461364075160404,0,平台失败
对称强网络效应,1.2,1.2,0.24,0.06,0.3,0.01578278313227692,0.008863473656110735,0.012323128394193828,0,平台失败
对称强网络效应,1.2,1.2,0.27,0.06,0.33,0.01757307171263419,0.008998675097138479,0.013285873404886335,0,平台失败
对称强网络效应,1.2,1.2,0.3,0.06,0.36,0.0195723575240244,0.009152115280251085,0.014362236402137742,0,平台失败
对称强网络效应,1.2,1.2,0.33,0.06,0.39,0.021806613758395488,0.009326707879540774,0.01556666081896813,0,平台失败
对称强网络效应,1.2,1.2,0.36,0.06,0.42,0.024305487880724265,0.009525955027360474,0.016915721454042368,0,平台失败
对称强网络效应,1.2,1.2,0.39,0.06,0.45,0.027102958390288423,0.00975410110201251,0.018428529746150467,0,平台失败
对称强网络效应,1.2,1.2,0.42,0.06,0.48,0.03023815472839371,0.01001633771125178,0.020127246219822745,0,平台失败
对称强网络效应,1.2,1.2,0.45,0.06,0.51,0.0337563975390822,0.01031908113013454,0.02203773933460837,0,平台失败
对称强网络效应,1.2,1.2,0.48,0.06,0.54,0.037710543481005124,0.010670354337371447,0.024190448909188283,0,平台失败
对称强网络效应,1.2,1.2,0.51,0.06,0.5700000000000001,0.04216276210706693,0.01108032351808979,0.02662154281257836,0,平台失败
