t,x,y,q_u,q_m,D_u,D_m,P_u,P_m,ds_u,ds_m,inv_u,inv_m,shortage_A,shortage_B,revenue_rate,subsidy_cost_rate,invest_cost_rate,total_cost_rate,profit_rate,cum_revenue,cum_subsidy_cost,cum_invest_cost,cum_total_cost,cum_profit
0.0,0.35,0.35,0.0,0.0,-0.28500000000000003,0.575,0.2694332350413655,0.8821032633929808,0.15,0.95,0.0,0.0,0.0,0.0,0.77,0.34124999999999994,0.0,0.34124999999999994,0.4287500000000001,0.0,0.0,0.0,0.0,0.0
0.03,0.34758299705124096,0.3659630979017894,0.0,0.0,-0.24821173599148852,0.5772929276879776,0.2955163254101783,0.8829353098532638,0.14968533051859648,0.949145384634601,0.0,0.0,0.0,0.0,0.7867387145333882,0.3542394274250651,0.0,0.3542394274250651,0.4324992871083231,0.0231,0.010237499999999998,0.0,0.010237499999999998,0.012862500000000002
0.06,0.3460209969020091,0.3814722642603336,0.0,0.0,-0.13482840938282917,0.5810696640112004,0.38416677197236115,0.8842946884577109,0.14937132114974316,0.9482915380770154,0.0,0.0,0.0,0.01545126735832449,0.8037877140144094,0.3669207189504815,0.0,0.3669207189504815,0.4368669950639279,0.046702161436001643,0.020864682822751952,0.0,0.020864682822751952,0.025837478613249695
0.09,0.3471653701541197,0.39655693698625494,0.0,0.0,-0.028664861486594112,0.5900476684369943,0.47493926343149967,0.8874711958348596,0.1490579705086582,0.9474384596356275,0.0,0.0,0.0,0.02939156683213519,0.8230336945376255,0.3795401765873201,0.0,0.3795401765873201,0.44349351795030545,0.07081579285643393,0.0318723043912664,0.0,0.0318723043912664,0.03894348846516753
0.12,0.35099858695244107,0.4112843647517131,0.0,0.0,0.06275593509015681,0.6042255049001822,0.5546917395666228,0.892332329047757,0.14874527721346475,0.9465861486194436,0.0,0.0,0.0,0.04028577779927202,0.8445398246544968,0.3921519802301669,0.0,0.3921519802301669,0.45238784442432994,0.09550680369256269,0.043258509688886004,0.0,0.043258509688886004,0.05224829400367669
0.15,0.3571093815308665,0.4257158036805944,0.0,0.0,0.14173797023268367,0.6228112692401222,0.6215383565761567,0.8984244208718123,0.1484332398851849,0.945734604338092,0.0,0.0,0.0,0.04860642214972778,0.8679683459475798,0.4047582724341227,0.0,0.4047582724341227,0.46321007351345705,0.12084299843219759,0.05502306909579101,0.0,0.05502306909579101,0.0658199293364066
0.18,0.36504225078222524,0.43989706219633096,0.0,0.0,0.21066998888056865,0.6449168587644375,0.6764149997074655,0.9052705577413289,0.14812185714773346,0.9448838261018215,0.0,0.0,0.0,0.054854811414105656,0.8929187254178224,0.41734304619571966,0.0,0.41734304619571966,0.4755756792221027,0.14688204881062497,0.06716581726881468,0.0,0.06716581726881468,0.0797162315418103
0.21,0.37438343324998247,0.4538582670626809,0.0,0.0,0.27163685426682993,0.6697298132528073,0.7212617601532135,0.912460473609504,0.14781112762791213,0.9440338132215019,0.0,0.0,0.0,0.05947483381269848,0.9190133537251995,0.4298822254126682,0.0,0.4298822254126682,0.48913112831253136,0.17366961057315963,0.07968610865468627,0.0,0.07968610865468627,0.09398350191847338
0.24,0.3847897830570794,0.4676163332590856,0.0,0.0,0.3263078923157789,0.6965722977523243,0.75806088886303,0.9196796982182223,0.14750104995540317,0.9431845650086227,0.0,0.0,0.0,0.06282655020200613,0.945929382967982,0.44234917469873286,0.0,0.44234917469873286,0.5035802082692491,0.2012400111849156,0.09258257541706631,0.0,0.09258257541706631,0.10865743576784932
0.27,0.3959879162312579,0.48117823420785966,0.0,0.0,0.3759649328602648,0.7249010303417381,0.7884949730917009,0.926705727849069,0.1471916227627636,0.9423360807752925,0.0,0.0,0.0,0.06519031797660181,0.9734017972806894,0.4547173334276486,0.0,0.4547173334276486,0.5186844638530408,0.22961789267395508,0.1058530506580283,0.0,0.1058530506580283,0.1237648420159268
