t,x,y,q_u,q_m,D_u,D_m,P_u,P_m,ds_u,ds_m,inv_u,inv_m,shortage_A,shortage_B,revenue_rate,subsidy_cost_rate,invest_cost_rate,total_cost_rate,profit_rate,cum_revenue,cum_subsidy_cost,cum_invest_cost,cum_total_cost,cum_profit
0.0,0.35,0.35,0.0,0.0,0.21499999999999997,0.37499999999999994,0.6797231924722057,0.7879311956428947,0.65,0.75,0.0,0.0,0.0,0.0,0.77,0.41825,0.0,0.41825,0.35175,0.0,0.0,0.0,0.0,0.0
0.03,0.35989169577416613,0.36313793586928683,0.0,0.0,0.250113326220623,0.40056527277581055,0.7058673847781659,0.8024976517543716,0.6486364322472515,0.7492129132928349,0.0,0.0,0.0,0.0,0.7956572188173103,0.4316119602076922,0.0,0.4316119602076922,0.3640452586096181,0.0231,0.0125475,0.0,0.0125475,0.0105525
0.06,0.37027096644428614,0.3763187273458394,0.0,0.0,0.285576153834378,0.42712794915447444,0.7309635136965199,0.8168197524700875,0.6472757249822204,0.7484266525929825,0.0,0.0,0.0,0.0,0.8218534392592933,0.4452161954700222,0.0,0.4452161954700222,0.3766372437892711,0.04696971656451931,0.025495858806230766,0.0,0.025495858806230766,0.021473857758288542
0.09,0.38109174286185316,0.3895337580995668,0.0,0.0,0.32134476307407256,0.45459158180708015,0.7548607115176571,0.8307666667206209,0.6459178722041856,0.7476412170335904,0.0,0.0,0.0,0.0,0.8485322525813332,0.4590315178142358,0.0,0.4590315178142358,0.38950073476709746,0.0716253197422981,0.03885234467033143,0.0,0.03885234467033143,0.03277297507196668
0.12,0.3923048119215273,0.40277074535819846,0.0,0.0,0.3573650627454539,0.4828516022708696,0.7774344591275762,0.8442216096157558,0.6445628679250139,0.7468566057487158,0.0,0.0,0.0,0.0,0.8756297063513654,0.4730228843341322,0.0,0.4730228843341322,0.4026068220172332,0.0970812873197381,0.052623290204758505,0.0,0.052623290204758505,0.0444579971149796
0.15,0.40385870133770874,0.41601427128592516,0.0,0.0,0.39357430792420933,0.5117973561917049,0.7985908101028609,0.8570854529355643,0.6432107061691346,0.7460728178733248,0.0,0.0,0.0,0.0,0.9030758268808189,0.48715223807240904,0.0,0.48715223807240904,0.41592358880840985,0.12335017851027906,0.06681397673478247,0.0,0.06681397673478247,0.0565362017754966
0.18,0.4157006646006633,0.4292464067354143,0.0,0.0,0.42990308943883776,0.5413143851123248,0.8182685912671084,0.8692791700504869,0.6418613809735118,0.745289852543291,0.0,0.0,0.0,0.0,0.9307963526831604,0.5013794541842678,0.0,0.5013794541842678,0.42941689849889264,0.15044245331670364,0.08142854387695474,0.0,0.08142854387695474,0.06901390943974889
0.21,0.42777770240065666,0.44244738963486646,0.0,0.0,0.46627747271162717,0.5712868085141416,0.8364394882779358,0.8807449734459915,0.6405148863876193,0.7445077088953951,0.0,0.0,0.0,0.0,0.9587145699624964,0.5156633322892732,0.0,0.5156633322892732,0.4430512376732232,0.17836634389719846,0.09646992750248277,0.0,0.09646992750248277,0.08189641639471566
0.24,0.440037555976975,0.45559631714920024,0.0,0.0,0.5026211556199819,0.6015996565958739,0.8531061849466116,0.8914461625454804,0.6391712164734138,0.7437263860673238,0.0,0.0,0.0,0.0,0.9867531365560153,0.5299625741712941,0.0,0.5299625741712941,0.45679056238472115,0.20712778099607335,0.11193982747116096,0.0,0.11193982747116096,0.09518795352491236
0.27,0.45242961484606414,0.46867181251108864,0.0,0.0,0.5388575227549537,0.6321410191453409,0.8682989320711171,0.9013658405323944,0.6378303653053089,0.7429458831976683,0.0,0.0,0.0,0.0,1.0148357898593705,0.5442366915180767,0.0,0.5442366915180767,0.47059909834129376,0.2367303750927538,0.1278387046962998,0.0,0.1278387046962998,0.10889167039645399
