strategy,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,max_shortage_B,avg_shortage_B,profit
只补贴用户,0.9556349736618601,0.9199262660200829,0.04436502633813988,0.08007373397991713,0.0622193801590285,9.9999980000002,1.0980311031644316,-37.91037057651672
只补贴商户,0.5009139237950249,0.06663458003011685,0.49908607620497514,0.9333654199698831,0.7162257480874291,9.9999980000002,0.6924401629007138,69.41882770904733
均衡补贴,0.6518519822329747,0.3551098060024585,0.3481480177670253,0.6448901939975415,0.49651910588228343,9.9999980000002,0.7907948660283279,7.1708349850430855
偏商户补贴,0.5271566995519918,0.12645970832561254,0.47284330044800815,0.8735402916743875,0.6731917960611978,9.9999980000002,0.8229952834325507,55.26035307760918
