lambda_q,decay,strategy,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,final_quality_B,max_shortage,avg_shortage,profit,state
0.02,0.005,贪心策略,0.7409470740871327,0.5386724829119328,0.2590529259128673,0.4613275170880672,0.36019022150046726,0.24861173753838478,9.9999980000002,1.1302022783426178,-35.02228231275467,市场倾斜
0.02,0.005,长期策略,0.4553412473052665,0.0624232210337207,0.5446587526947335,0.9375767789662793,0.7411177658305064,0.7458352126151534,9.9999980000002,1.281815629161887,6.193712257632575,市场倾斜
0.02,0.005,动态策略,0.4806025303682602,0.08062121452002251,0.5193974696317398,0.9193787854799775,0.7193881275558587,0.49722347507676956,9.9999980000002,1.0739002705276528,25.88690160841517,市场倾斜
0.02,0.005,纯质量投资,0.3494054094882317,0.0026153840580029368,0.6505945905117683,0.997384615941997,0.8239896032268826,2.4861173753838393,9.9999980000002,2.1185984275234495,-14.321444554221118,市场倾斜
0.02,0.01,贪心策略,0.8203606962538547,0.6765749067050204,0.17963930374614534,0.3234250932949796,0.25153219852056247,0.15204004326022386,9.9999980000002,1.083061750532879,-35.8259188523418,市场倾斜
0.02,0.01,长期策略,0.5090726689061237,0.13109135996893173,0.4909273310938763,0.8689086400310683,0.6799179855624723,0.4561201297806723,9.9999980000002,1.1237482865913562,1.9838457555674893,市场倾斜
0.02,0.01,动态策略,0.5199484132378,0.13350672679397343,0.48005158676220006,0.8664932732060265,0.6732724299841133,0.3040800865204477,9.9999980000002,0.9677108053177963,23.434582328859374,市场倾斜
0.02,0.01,纯质量投资,0.40592087534936355,0.021488391840614157,0.5940791246506365,0.9785116081593859,0.7862953664050112,1.5204004326022387,9.9999980000002,1.6861938065710913,-20.713730641135452,市场倾斜
0.02,0.02,贪心策略,0.8596002500674752,0.7459397903057909,0.1403997499325248,0.25406020969420906,0.19722997981336693,0.07980229423063878,9.9999980000002,1.0523726361136403,-36.54413390683647,市场倾斜
0.02,0.02,长期策略,0.5890343307456077,0.25342641493365714,0.41096566925439226,0.7465735850663429,0.5787696271603675,0.23940688269191593,9.9999980000002,0.9448072233016463,-5.02793205977923,市场倾斜
0.02,0.02,动态策略,0.5662416826539816,0.20366595457445652,0.43375831734601844,0.7963340454255434,0.6150461813857809,0.15960458846127756,9.9999980000002,0.8551152900382284,19.676561717652326,市场倾斜
