strategy,final_user_share_mean,final_user_share_std,final_merchant_share_mean,final_merchant_share_std,final_L_mean,final_L_std,user_satisfaction_mean,merchant_satisfaction_mean,user_multi_home_mean,merchant_multi_home_mean,lock_in_index_mean,lock_in_index_std,cum_profit_mean,cum_profit_std,cum_total_cost_mean,strategy_label
dynamic,0.0,0.0,0.9996666666666666,0.0018257418583505574,0.4998333333333333,0.0009128709291752787,0.0884251991134653,1.8932301522896549,0.0,0.0006666666666666666,0.9996666666666666,0.0018257418583505574,17.86923628460604,5.518861201360042,239.98200000000125,动态策略
greedy,0.1,0.30512857662936466,0.779,0.22685784702897246,0.4395,0.04136361052739555,0.18804711135516364,0.9220106270919365,0.0,0.27666666666666667,0.8563333333333334,0.02525502112361069,12.50317705103832,5.552345499704121,59.39999999999999,贪心策略
long_term,0.0,0.0,1.0,0.0,0.5,0.0,0.08820605244679863,2.2908956518475403,0.0,0.0,1.0,0.0,36.15857444167916,5.517074388373527,239.99999999999937,长期策略
pure_quality,0.4666666666666667,0.5074162634049248,0.9856666666666667,0.021120889044332142,0.7261666666666666,0.24601893441756476,1.2294486364848927,2.397483000840901,0.0,0.028666666666666667,0.9856666666666667,0.021120889044332142,77.10990156061462,3.7827243027584174,240.00000000000125,纯质量投资
