b0,duration,final_x,final_y,combined_share,cum_profit,success,directional_state
0.0,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.8910586434786025,0,平台B锁定
0.0375,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.8930045894502148,0,平台B锁定
0.075,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.8950565411298994,0,平台B锁定
0.11249999999999999,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.8972154481747063,0,平台B锁定
0.15,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.8994818688232136,0,平台B锁定
0.1875,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9018559343785824,0,平台B锁定
0.22499999999999998,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9043373151330334,0,平台B锁定
0.2625,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9069251884255043,0,平台B锁定
0.3,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9096182095617804,0,平台B锁定
0.33749999999999997,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9124144863489887,0,平台B锁定
0.375,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.915311558000855,0,平台B锁定
0.4125,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.918306379154183,0,平台B锁定
0.44999999999999996,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.921395309698317,0,平台B锁定
0.4875,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.92457411105641,0,平台B锁定
0.525,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.927837949469873,0,平台B锁定
0.5625,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.931181406725307,0,平台B锁定
0.6,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.934598498628478,0,平台B锁定
0.6375,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9380827013750155,0,平台B锁定
0.6749999999999999,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9416269857963235,0,平台B锁定
0.7125,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9452238592765334,0,平台B锁定
0.75,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9488654149483575,0,平台B锁定
0.7875,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9525433875885754,0,平台B锁定
0.825,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9562492154548887,0,平台B锁定
0.8624999999999999,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9599741071418624,0,平台B锁定
0.8999999999999999,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9637091123911556,0,平台B锁定
0.9375,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9674451956768233,0,平台B锁定
0.975,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9711733113042555,0,平台B锁定
1.0125,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.974884478715926,0,平台B锁定
1.05,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9785698566895578,0,平台B锁定
1.0875,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9822208151462086,0,平台B锁定
