alpha,beta,best_strategy,best_profit,best_final_x,user_subsidy_profit,merchant_subsidy_profit,bilateral_subsidy_profit
0.3,0.3,双边补贴,110.83076357790999,0.6555194601354624,108.3961784526378,108.24029790368839,110.83076357790999
0.375,0.3,双边补贴,114.79908728121065,0.7280885437917405,112.30324390539971,113.95131230309927,114.79908728121065
0.44999999999999996,0.3,商户补贴,118.28518533696415,0.7810259772564359,115.47684303051159,118.28518533696415,117.90676547170065
0.5249999999999999,0.3,商户补贴,121.50699823731081,0.8297060528822277,117.93593992811984,121.50699823731081,120.27493398916627
0.6,0.3,商户补贴,123.92148982218238,0.8660191388246224,119.83139896591125,123.92148982218238,122.08166137595742
0.675,0.3,商户补贴,125.7551999637577,0.8935406387442395,121.30303368774854,125.7551999637577,123.47243132146694
0.75,0.3,商户补贴,127.16531623231522,0.9147315370938232,122.45643962206738,127.16531623231522,124.55357683848821
0.825,0.3,商户补贴,128.2612118484262,0.9312650326993969,123.3683545773674,128.2612118484262,125.40150002974434
0.8999999999999999,0.3,商户补贴,129.1203979061154,0.9443035107785591,124.09465439614647,129.1203979061154,126.07153978842213
0.9749999999999999,0.3,商户补贴,129.79891543932507,0.9546753479520999,124.6765406730043,129.79891543932507,126.604355870913
1.05,0.3,商户补贴,130.33802488004497,0.9629846561020561,125.14483999311281,130.33802488004497,127.03026872919182
1.125,0.3,商户补贴,130.76858252856755,0.9696807135387947,125.52293690396368,130.76858252856755,127.37219831011275
1.2,0.3,商户补贴,131.11397071390596,0.9751031744459159,125.82878913317536,131.11397071390596,127.64767887875247
1.275,0.3,商户补贴,131.3921062289743,0.9795123670262037,126.07633316076763,131.3921062289743,127.8702641919916
1.35,0.3,商户补贴,131.61684726009474,0.9831101377064229,126.2764812348961,131.61684726009474,128.05052500086032
1.425,0.3,商户补贴,131.79899829667488,0.9860545263891469,126.43784027765768,131.79899829667488,128.1967691366412
1.5,0.3,商户补贴,131.9470402615587,0.9884703086945217,126.5672381031311,131.9470402615587,128.31556935577296
1.575,0.3,商户补贴,132.06766896277273,0.9904567030950897,126.6701137232427,132.06766896277273,128.41215561870138
1.65,0.3,商户补贴,132.1661973698823,0.9920930921512645,126.75081008986363,132.1661973698823,128.490710204575
1.725,0.3,商户补贴,132.2468595615922,0.9934433267122872,126.81279557129125,132.2468595615922,128.55459214554722
1.8,0.3,商户补贴,132.31304264362265,0.9945590022950682,126.85883242536528,132.31304264362265,128.6065095515182
0.3,0.375,双边补贴,115.04675589283464,0.7072733201338351,114.55452555884695,112.31109655351037,115.04675589283464
0.375,0.375,双边补贴,118.92279373266267,0.7776950061911574,118.36394286939559,117.92958654427117,118.92279373266267
0.44999999999999996,0.375,商户补贴,121.94177039469442,0.8240974758495208,121.194745495044,121.94177039469442,121.76717091764755
