scenario,alpha,beta,strategy,subsidy_user,subsidy_merchant,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,profit,state
对称网络效应,1.2,1.2,用户补贴,0.8,0.0,0.014740648340569325,0.058950690598968805,0.9852593516594307,0.9410493094010312,0.9631543305302309,171.54068962783967,平台锁定
对称网络效应,1.2,1.2,商户补贴,0.0,0.8,0.058950690598968805,0.014740648340569325,0.9410493094010312,0.9852593516594307,0.9631543305302309,171.54068962783967,平台锁定
对称网络效应,1.2,1.2,均衡补贴,0.4,0.4,0.028310645603082836,0.028310645603082836,0.9716893543969172,0.9716893543969172,0.9716893543969172,175.06670770995095,平台锁定
用户更依赖商户,1.6,0.5,用户补贴,0.8,0.0,0.021181173911005276,0.22587266014765878,0.9788188260889947,0.7741273398523412,0.876473082970668,132.9716921557082,市场倾斜
用户更依赖商户,1.6,0.5,商户补贴,0.0,0.8,0.033621887989871466,0.04812503394282168,0.9663781120101286,0.9518749660571784,0.9591265390336534,173.75370621145194,平台锁定
用户更依赖商户,1.6,0.5,均衡补贴,0.4,0.4,0.021620417279958837,0.10408124676010358,0.9783795827200412,0.8959187532398964,0.9371491679799688,162.54845515413666,平台锁定
商户更依赖用户,0.5,1.6,用户补贴,0.8,0.0,0.04812503394282168,0.033621887989871466,0.9518749660571784,0.9663781120101286,0.9591265390336534,173.75370621145194,平台锁定
商户更依赖用户,0.5,1.6,商户补贴,0.0,0.8,0.22587266014765878,0.021181173911005276,0.7741273398523412,0.9788188260889947,0.876473082970668,132.9716921557082,市场倾斜
商户更依赖用户,0.5,1.6,均衡补贴,0.4,0.4,0.10408124676010358,0.021620417279958837,0.8959187532398964,0.9783795827200412,0.9371491679799688,162.54845515413666,平台锁定
