investment_B,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,final_B_quality,profit
0.0,0.9593578109243271,0.9211779000504818,0.04064218907567285,0.07882209994951817,0.05973214451259551,-0.0,0.9356625189908143
0.025,0.43857349512057675,0.03456862108227618,0.5614265048794232,0.9654313789177238,0.7634289418985736,0.11878128379705004,34.61625026999617
0.05,0.3733375678199975,0.0022101030216532687,0.6266624321800025,0.9977898969783467,0.8122261645791746,0.23756256759410008,70.39430225571822
0.075,0.32713203622662157,0.0001542694086323171,0.6728679637733784,0.9998457305913677,0.836356847182373,0.3563438513911496,88.01828763969851
0.1,0.2824577608430391,1.0843526618346345e-05,0.7175422391569609,0.9999891564733816,0.8587656978151712,0.47512513518820015,98.62202830793403
0.125,0.23825776897790263,7.637233541108809e-07,0.7617422310220974,0.9999992362766459,0.8808707336493716,0.5939064189852501,105.92761418839598
0.15,0.19461995285873318,5.3915955713214493e-08,0.8053800471412669,0.9999999460840443,0.9026899966126556,0.7126877027822992,111.43239321082228
0.175,0.15181610576886495,3.819464746481957e-09,0.848183894231135,0.9999999961805353,0.9240919452058352,0.8314689865793472,115.84212923339564
0.2,0.11033283017182807,2.720616812000459e-10,0.889667169828172,0.9999999997279383,0.9448335847780551,0.9502502703764003,119.52852691745072
0.225,0.07112993588064853,1.9563109126461466e-11,0.9288700641193515,0.9999999999804369,0.9644350320498942,1.0690315541734499,122.70173507022824
0.25,0.03638483241750762,1.4329311173430612e-12,0.9636151675824924,0.999999999998567,0.9818075837905298,1.1878128379705002,125.4826394119869
0.275,0.011304854470599358,1.0924107408746647e-13,0.9886951455294006,0.9999999999998908,0.9943475727646457,1.3065941217675467,127.93168475588129
0.3,0.0015879388609774789,8.877076362354144e-15,0.9984120611390225,0.9999999999999911,0.9992060305695067,1.4253754055645984,130.0569534628957
0.325,0.0001449737172434778,7.468116186619044e-16,0.9998550262827566,0.9999999999999992,0.9999275131413778,1.5441566893616472,131.84209081149783
0.35,1.2356779421830284e-05,6.317636433449325e-17,0.9999876432205782,0.9999999999999999,0.999993821610289,1.6629379731586944,133.28844100562327
0.375,1.046530939056615e-06,5.347144203277113e-18,0.999998953469061,1.0,0.9999994767345305,1.7817192569557512,134.4145675273309
0.4,8.858554270792187e-08,4.525941830592617e-19,0.9999999114144573,1.0,0.9999999557072287,1.9005005407528006,135.24581142909582
0.425,7.49815299511333e-09,3.8308787454608066e-20,0.999999992501847,1.0,0.9999999962509235,2.0192818245498554,135.8091025523015
0.45,6.346653601494415e-10,3.2425653180679557e-21,0.9999999993653347,1.0,0.9999999996826674,2.1380631083468997,136.13056276292423
0.475,5.3719987495172734e-11,2.7446048498297346e-22,0.99999999994628,1.0,0.9999999999731399,2.256844392143942,136.23444783957828
0.5,4.5470293198868354e-12,1.9287498479639204e-22,0.999999999995453,1.0,0.9999999999977265,2.3756256759410004,136.14276361589617
0.525,3.8487558644896666e-13,1.9287498479639204e-22,0.9999999999996151,1.0,0.9999999999998075,2.4944069597380514,135.87521991507424
0.55,3.257719842383754e-14,1.9287498479639204e-22,0.9999999999999675,1.0,0.9999999999999838,2.6131882435350935,135.44934655543668
0.575,2.7574513892308393e-15,1.9287498479639204e-22,0.9999999999999972,1.0,0.9999999999999987,2.731969527332148,134.88067915706418
0.6,2.3340102645061903e-16,1.9287498479639204e-22,0.9999999999999998,1.0,0.9999999999999999,2.850750811129197,134.1829667532386
0.625,1.975597304692969e-17,1.9287498479639204e-22,1.0,1.0,1.0,2.969532094926239,133.36837695202345
0.65,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,132.44768716523006
0.675,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,131.4304572526777
