theta,strategy,subsidy_user,subsidy_merchant,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,max_shortage,avg_shortage,profit,state
0.0,只补贴用户,0.8,0.0,0.03829798122223785,0.13699829783767875,0.9617020187777622,0.8630017021623213,0.9123518604700418,23.675971461372825,12.430766174166138,151.8359344793878,平台锁定
0.0,只补贴商户,0.0,0.8,0.13699829783767875,0.03829798122223785,0.8630017021623213,0.9617020187777622,0.9123518604700418,9.9999980000002,7.859480362689938,151.8359344793878,平台锁定
0.0,均衡补贴,0.4,0.4,0.06829662246885915,0.06829662246885915,0.9317033775311409,0.9317033775311409,0.9317033775311409,9.999999570678824,9.999999561906662,160.8521088449976,平台锁定
0.0,偏商户补贴,0.2,0.6000000000000001,0.09587452153716097,0.050061747900840156,0.904125478462839,0.9499382520991598,0.9270318652809995,9.9999980000002,8.984939652577978,158.66999924145534,平台锁定
0.1,只补贴用户,0.8,0.0,0.7707577801173428,0.754082894246952,0.22924221988265725,0.24591710575304804,0.23757966281785264,9.9999980000002,8.64474445296635,-25.536196584053673,市场倾斜
0.1,只补贴商户,0.0,0.8,0.3377739534739233,0.0726647611387024,0.6622260465260768,0.9273352388612977,0.7947806426936872,9.9999980000002,4.231949208235995,102.33707724392329,市场倾斜
0.1,均衡补贴,0.4,0.4,0.293631695180999,0.13930511622028163,0.706368304819001,0.8606948837797184,0.7835315942993597,9.9999980000002,6.357571715715496,95.63394385668393,市场倾斜
0.1,偏商户补贴,0.2,0.6000000000000001,0.30831376576864955,0.09841306670786618,0.6916862342313504,0.9015869332921338,0.7966365837617422,9.9999980000002,5.290264481919163,102.7419164641039,市场倾斜
0.2,只补贴用户,0.8,0.0,0.856815127826481,0.8103268321844408,0.14318487217351905,0.1896731678155592,0.16642901999453913,9.9999980000002,5.103472703530626,-32.25685124119292,平台失败
0.2,只补贴商户,0.0,0.8,0.4273455640602891,0.09657060232636128,0.5726544359397109,0.9034293976736387,0.7380419168066747,9.9999980000002,2.649796849518761,80.50505019792304,市场倾斜
0.2,均衡补贴,0.4,0.4,0.474873659977515,0.2427515888810447,0.525126340022485,0.7572484111189552,0.6411873755707201,9.9999980000002,3.835157105311962,48.375648551369906,市场倾斜
0.2,偏商户补贴,0.2,0.6000000000000001,0.430368573416133,0.14451213432439114,0.569631426583867,0.8554878656756089,0.7125596461297379,9.9999980000002,3.2865684856581256,71.89620547996743,市场倾斜
