name,final_x,final_y,combined_share,concentration,lock_in_index,market_state,directional_state,final_q_u,final_q_m,avg_shortage_A,max_shortage_A,cum_revenue,cum_subsidy_cost,cum_invest_cost,cum_total_cost,cum_profit
无补贴,0.007029988102361437,0.01335500835026584,0.01019249822631364,0.9796150035473727,0.9796150035473727,市场锁定,平台B锁定,0.0,0.0,0.0,0.0,2.8868960519365947,0.0,0.0,0.0,2.8868960519365947
用户补贴,0.9931529274065461,0.9866633606327309,0.9899081440196384,0.979816288039277,0.979816288039277,市场锁定,平台A锁定,0.0,0.0,0.004379043158577982,0.18409853542634394,172.00908517193673,10.70275799589405,0.0,10.70275799589405,161.30632717604283
商户补贴,0.9929920317207938,0.9869942941970942,0.989993162958944,0.9799863259178879,0.9799863259178879,市场锁定,平台A锁定,0.0,0.0,0.0,0.0,172.45108098914963,12.037117982075744,0.0,12.037117982075744,160.4139630070738
双边补贴,0.9931029975058592,0.9868838077130636,0.9899934026094614,0.9799868052189228,0.9799868052189228,市场锁定,平台A锁定,0.0,0.0,0.0,0.0,172.84839341506844,14.683884184913227,0.0,14.683884184913227,158.16450923015526
