case,u0,m0,u_inf,m_inf,L_A,C,state
双边同步领先,0.6,0.6,0.9983048525233966,0.9983048525233966,0.9983048525233966,0.9966097050467932,平台A锁定
用户领先商户落后：A总份额略占优,0.7001,0.3001,0.9983048674062839,0.9983048674062494,0.9983048674062667,0.9966097348125332,平台A锁定
用户领先商户落后：B总份额略占优,0.6999,0.2999,0.001695125101106839,0.0016951251011056774,0.0016951251011062584,0.9966097497977875,平台B锁定
商户领先用户落后：A总份额略占优,0.3001,0.7001,0.9983048674062494,0.9983048674062839,0.9983048674062667,0.9966097348125332,平台A锁定
商户领先用户落后：B总份额略占优,0.2999,0.6999,0.0016951251011056774,0.001695125101106839,0.0016951251011062584,0.9966097497977875,平台B锁定
双边同步落后,0.4,0.4,0.0016951249162307203,0.0016951249162307203,0.0016951249162307203,0.9966097501675386,平台B锁定
