b,u_inf,m_inf,L_A,C,state
0.0,0.0016951248702030443,0.0016951248702030443,0.0016951248702030443,0.9966097502595939,市场锁定
0.05,0.0018774365813867162,0.0018774365813867162,0.0018774365813867162,0.9962451268372265,市场锁定
0.1,0.002079849367299869,0.002079849367299869,0.002079849367299869,0.9958403012654002,市场锁定
0.15000000000000002,0.002304694849091591,0.002304694849091591,0.002304694849091591,0.9953906103018169,市场锁定
0.2,0.0025546018970034274,0.0025546018970034274,0.0025546018970034274,0.9948907962059932,市场锁定
0.25,0.0028325442887100383,0.0028325442887100383,0.0028325442887100383,0.9943349114225799,市场锁定
0.30000000000000004,0.0031418907295030526,0.0031418907295030526,0.0031418907295030526,0.9937162185409939,市场锁定
0.35000000000000003,0.003486469682845623,0.003486469682845623,0.003486469682845623,0.9930270606343088,市场锁定
0.4,0.0038706460941287453,0.0038706460941287453,0.0038706460941287453,0.9922587078117425,市场锁定
0.45,0.004299415812299003,0.004299415812299003,0.004299415812299003,0.991401168375402,市场锁定
0.5,0.004778517606510165,0.004778517606510165,0.004778517606510165,0.9904429647869797,市场锁定
0.55,0.005314575596782249,0.005314575596782249,0.005314575596782249,0.9893708488064356,市场锁定
0.6000000000000001,0.0059152753541742665,0.0059152753541742665,0.0059152753541742665,0.9881694492916515,市场锁定
0.65,0.00658958657372576,0.00658958657372576,0.00658958657372576,0.9868208268525485,市场锁定
0.7000000000000001,0.007348051522905547,0.007348051522905547,0.007348051522905547,0.9853038969541889,市场锁定
0.75,0.008203153923927575,0.008203153923927575,0.008203153923927575,0.9835936921521449,市场锁定
0.8,0.009169812210948614,0.009169812210948614,0.009169812210948614,0.9816603755781028,市场锁定
0.8500000000000001,0.010266043091221932,0.010266043091221932,0.010266043091221932,0.9794679138175562,市场锁定
0.9,0.9997244274645802,0.9997244274645802,0.9997244274645802,0.9994488549291605,市场锁定
0.9500000000000001,0.9997507188782612,0.9997507188782612,0.9997507188782612,0.9995014377565223,市场锁定
1.0,0.9997745203893595,0.9997745203893595,0.9997745203893595,0.9995490407787191,市场锁定
1.05,0.9997960275513885,0.9997960275513885,0.9997960275513885,0.999592055102777,市场锁定
1.1,0.9998154763673288,0.9998154763673288,0.9998154763673288,0.9996309527346576,市场锁定
1.1500000000000001,0.9998330756438719,0.9998330756438719,0.9998330756438719,0.9996661512877438,市场锁定
1.2000000000000002,0.999848962355023,0.999848962355023,0.999848962355023,0.9996979247100459,市场锁定
1.25,0.9998633791310426,0.9998633791310426,0.9998633791310426,0.9997267582620852,市场锁定
1.3,0.9998763954567597,0.9998763954567597,0.9998763954567597,0.9997527909135193,市场锁定
1.35,0.9998881758164866,0.9998881758164866,0.9998881758164866,0.9997763516329732,市场锁定
1.4000000000000001,0.9998988314643558,0.9998988314643558,0.9998988314643558,0.9997976629287115,市场锁定
1.4500000000000002,0.9999084665165868,0.9999084665165868,0.9999084665165868,0.9998169330331736,市场锁定
1.5,0.9999171441236787,0.9999171441236787,0.9999171441236787,0.9998342882473574,市场锁定
1.55,0.9999250517367567,0.9999250517367567,0.9999250517367567,0.9998501034735134,市场锁定
1.6,0.9999322061123198,0.9999322061123198,0.9999322061123198,0.9998644122246396,市场锁定
1.6500000000000001,0.9999386612374435,0.9999386612374435,0.9999386612374435,0.9998773224748869,市场锁定
1.7000000000000002,0.9999444996886964,0.9999444996886964,0.9999444996886964,0.9998889993773927,市场锁定
1.75,0.9999497544303931,0.9999497544303931,0.9999497544303931,0.9998995088607863,市场锁定
1.8,0.9999545601613736,0.9999545601613736,0.9999545601613736,0.9999091203227473,市场锁定
1.85,0.999958889249452,0.999958889249452,0.999958889249452,0.999917778498904,市场锁定
1.9000000000000001,0.9999628042082066,0.9999628042082066,0.9999628042082066,0.9999256084164132,市场锁定
1.9500000000000002,0.9999663094424674,0.9999663094424674,0.9999663094424674,0.9999326188849349,市场锁定
2.0,0.9999695137074005,0.9999695137074005,0.9999695137074005,0.999939027414801,市场锁定
2.0500000000000003,0.9999724259933664,0.9999724259933664,0.9999724259933664,0.9999448519867329,市场锁定
2.1,0.999975067073599,0.999975067073599,0.999975067073599,0.9999501341471979,市场锁定
2.15,0.999977440133984,0.999977440133984,0.999977440133984,0.9999548802679681,市场锁定
2.2,0.9999795868241632,0.9999795868241632,0.9999795868241632,0.9999591736483264,市场锁定
2.25,0.9999815289918123,0.9999815289918123,0.9999815289918123,0.9999630579836245,市场锁定
2.3000000000000003,0.9999832857164485,0.9999832857164485,0.9999832857164485,0.9999665714328969,市场锁定
2.35,0.9999848740619682,0.9999848740619682,0.9999848740619682,0.9999697481239365,市场锁定
2.4000000000000004,0.99998629179981,0.99998629179981,0.99998629179981,0.99997258359962,市场锁定
2.45,0.9999875969367075,0.9999875969367075,0.9999875969367075,0.9999751938734149,市场锁定
2.5,0.9999887748413137,0.9999887748413137,0.9999887748413137,0.9999775496826273,市场锁定
2.5500000000000003,0.9999898384437068,0.9999898384437068,0.9999898384437068,0.9999796768874136,市场锁定
2.6,0.9999907883720043,0.9999907883720043,0.9999907883720043,0.9999815767440086,市场锁定
2.6500000000000004,0.9999916626712015,0.9999916626712015,0.9999916626712015,0.9999833253424031,市场锁定
2.7,0.9999924625858053,0.9999924625858053,0.9999924625858053,0.9999849251716106,市场锁定
2.75,0.9999931799151386,0.9999931799151386,0.9999931799151386,0.9999863598302772,市场锁定
2.8000000000000003,0.9999938337123067,0.9999938337123067,0.9999938337123067,0.9999876674246133,市场锁定
2.85,0.9999944269122,0.9999944269122,0.9999944269122,0.9999888538244,市场锁定
2.9000000000000004,0.9999949398351679,0.9999949398351679,0.9999949398351679,0.9999898796703357,市场锁定
2.95,0.9999954063391314,0.9999954063391314,0.9999954063391314,0.9999908126782628,市场锁定
3.0,0.9999958291849907,0.9999958291849907,0.9999958291849907,0.9999916583699815,市场锁定
3.0500000000000003,0.9999962304812059,0.9999962304812059,0.9999962304812059,0.9999924609624118,市场锁定
3.1,0.9999965751972637,0.9999965751972637,0.9999965751972637,0.9999931503945274,市场锁定
3.1500000000000004,0.9999969088169243,0.9999969088169243,0.9999969088169243,0.9999938176338485,市场锁定
3.2,0.9999972062904273,0.9999972062904273,0.9999972062904273,0.9999944125808546,市场锁定
3.25,0.9999974692157435,0.9999974692157435,0.9999974692157435,0.999994938431487,市场锁定
3.3000000000000003,0.9999976651496291,0.9999976651496291,0.9999976651496291,0.9999953302992581,市场锁定
3.35,0.9999979696971837,0.9999979696971837,0.9999979696971837,0.9999959393943674,市场锁定
3.4000000000000004,0.9999981407946096,0.9999981407946096,0.9999981407946096,0.9999962815892192,市场锁定
3.45,0.9999983409557759,0.9999983409557759,0.9999983409557759,0.9999966819115518,市场锁定
3.5,0.9999985047949501,0.9999985047949501,0.9999985047949501,0.9999970095899002,市场锁定
3.5500000000000003,0.9999986488860657,0.9999986488860657,0.9999986488860657,0.9999972977721314,市场锁定
3.6,0.9999987672485984,0.9999987672485984,0.9999987672485984,0.9999975344971967,市场锁定
3.6500000000000004,0.9999988984338724,0.9999988984338724,0.9999988984338724,0.9999977968677447,市场锁定
3.7,0.9999990101954965,0.9999990101954965,0.9999990101954965,0.9999980203909931,市场锁定
3.75,0.9999987774252723,0.9999987774252723,0.9999987774252723,0.9999975548505446,市场锁定
3.8000000000000003,0.9999988977108428,0.9999988977108428,0.9999988977108428,0.9999977954216857,市场锁定
3.85,0.9999991699837877,0.9999991699837877,0.9999991699837877,0.9999983399675754,市场锁定
3.9000000000000004,0.9999988193735085,0.9999988193735085,0.9999988193735085,0.9999976387470171,市场锁定
3.95,0.9999991729195989,0.9999991729195989,0.9999991729195989,0.9999983458391979,市场锁定
4.0,0.9999991863346014,0.9999991863346014,0.9999991863346014,0.9999983726692028,市场锁定
4.05,0.9999991849614831,0.9999991849614831,0.9999991849614831,0.9999983699229662,市场锁定
4.1000000000000005,0.9999991028806552,0.9999991028806552,0.9999991028806552,0.9999982057613104,市场锁定
4.15,0.9999994075774198,0.9999994075774198,0.9999994075774198,0.9999988151548396,市场锁定
4.2,0.9999991184346837,0.9999991184346837,0.9999991184346837,0.9999982368693674,市场锁定
