0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000002,0.000004,0.000006,0.000009,0.000014,0.000021,0.000031,0.000047,0.000069,0.000102,0.000151,0.000221,0.000323,0.000468,0.000676,0.000971,0.001388,0.001975
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000003,0.000006,0.000014,0.000031,0.000068,0.000148,0.000314,0.000655,0.001344,0.002711,0.005377,0.010466,0.019925,0.036826,0.065089,0.107324,0.160521,0.215329,0.263409,0.302566,0.334304,0.360644,0.383082,0.402588,0.419791,0.435120,0.448881,0.461307,0.472581,0.482849,0.492231,0.500829,0.508729,0.516004
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000005,0.000017,0.000057,0.000181,0.000547,0.001599,0.004505,0.012236,0.031703,0.075797,0.154280,0.246009,0.318836,0.370490,0.409288,0.440404,0.466349,0.488459,0.507558,0.524212,0.538841,0.551765,0.563240,0.573470,0.582623,0.590839,0.598234,0.604907,0.610942,0.616412,0.621377,0.625893,0.630006,0.633759,0.637185,0.640319,0.643188,0.645817,0.648229
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000005,0.000024,0.000114,0.000500,0.002065,0.008026,0.029092,0.092783,0.216230,0.330400,0.402655,0.452523,0.490944,0.522078,0.547934,0.569732,0.588306,0.604265,0.618070,0.630079,0.640574,0.649785,0.657897,0.665063,0.671412,0.677051,0.682070,0.686547,0.690546,0.694126,0.697334,0.700214,0.702802,0.705130,0.707227,0.709118,0.710824,0.712365,0.713758,0.715017,0.716157,0.717190
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000023,0.000159,0.000976,0.005466,0.027708,0.115823,0.282868,0.399333,0.468446,0.518079,0.556787,0.587998,0.613647,0.635007,0.652975,0.668211,0.681216,0.692378,0.702003,0.710335,0.717574,0.723882,0.729393,0.734221,0.738458,0.742185,0.745468,0.748364,0.750924,0.753188,0.755194,0.756973,0.758551,0.759954,0.761200,0.762310,0.763298,0.764178,0.764962,0.765662,0.766286,0.766844,0.767341
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000050,0.000468,0.003806,0.026997,0.144653,0.343085,0.453771,0.521810,0.571859,0.610812,0.641951,0.667283,0.688155,0.705521,0.720086,0.732379,0.742811,0.751703,0.759313,0.765847,0.771475,0.776334,0.780539,0.784186,0.787354,0.790111,0.792513,0.794610,0.796441,0.798043,0.799445,0.800673,0.801750,0.802696,0.803526,0.804255,0.804896,0.805459,0.805955,0.806392,0.806776,0.807115,0.807413,0.807676
0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000050,0.000666,0.007361,0.065741,0.286208,0.445031,0.529777,0.589196,0.634210,0.669455,0.697629,0.720486,0.739236,0.754752,0.767682,0.778520,0.787649,0.795370,0.801923,0.807501,0.812263,0.816337,0.819830,0.822830,0.825411,0.827635,0.829552,0.831209,0.832641,0.833880,0.834952,0.835882,0.836689,0.837388,0.837996,0.838523,0.838981,0.839380,0.839726,0.840028,0.840290,0.840518,0.840717,0.840890,0.841041
0.000000,0.000000,0.000000,0.000000,0.000001,0.000023,0.000468,0.007361,0.086640,0.346941,0.489191,0.571104,0.629595,0.673836,0.708315,0.735723,0.757823,0.775836,0.790641,0.802892,0.813086,0.821609,0.828761,0.834784,0.839869,0.844175,0.847828,0.850933,0.853576,0.855831,0.857755,0.859400,0.860808,0.862014,0.863047,0.863934,0.864694,0.865348,0.865909,0.866392,0.866806,0.867163,0.867471,0.867735,0.867963,0.868159,0.868328,0.868473,0.868598,0.868706,0.868799
0.000000,0.000000,0.000000,0.000000,0.000005,0.000159,0.003806,0.065741,0.346941,0.502362,0.589867,0.651567,0.697723,0.733363,0.761465,0.783953,0.802149,0.817000,0.829204,0.839288,0.847658,0.854634,0.860465,0.865354,0.869462,0.872921,0.875839,0.878305,0.880392,0.882159,0.883658,0.884930,0.886011,0.886930,0.887712,0.888377,0.888944,0.889427,0.889838,0.890189,0.890488,0.890744,0.890962,0.891147,0.891306,0.891442,0.891557,0.891656,0.891741,0.891813,0.891874
