sigma_theta,final_LA_mean,final_LA_std,concentration_C_mean,concentration_C_std,strict_lock_prob,coexist_prob,tilt_prob,cum_profit_mean,cum_profit_std
0.0,0.5001666666666666,0.08038145408562562,0.8463333333333334,0.0376447398288474,0.8666666666666667,0.0,0.13333333333333333,55.35102688507436,0.6488328978545836
0.25,0.5046666666666667,0.08194755822384565,0.8426666666666667,0.03666562171969751,0.9,0.0,0.1,55.3293052390619,0.6062163502602813
0.5,0.5128333333333334,0.0814066350482874,0.8416666666666667,0.035436522493562765,0.9,0.0,0.1,55.27782129530184,0.6684202186923969
0.75,0.5126666666666666,0.08102504224784067,0.8426666666666667,0.03628748557278943,0.9,0.0,0.1,55.36974780081928,0.7072872805876302
1.0,0.5021666666666667,0.08177643338683378,0.8436666666666667,0.03854986321665731,0.9333333333333333,0.0,0.06666666666666667,55.42977296375748,0.7361909591296297
1.25,0.4966666666666667,0.08130756139640326,0.844,0.03625579620723682,0.9,0.0,0.1,55.434117332909274,0.7501449400759493
1.5,0.4905,0.0779074384479251,0.849,0.03262641197895793,0.9333333333333333,0.0,0.06666666666666667,55.493308230893724,0.8301867211028678
2.0,0.5008333333333334,0.07573869932018006,0.8543333333333333,0.03158822711001714,0.9666666666666667,0.0,0.03333333333333333,55.46794902251316,0.9392081353591939
