sigma_theta,final_LA_mean,final_LA_std,concentration_mean,concentration_std,coexist_prob,tilt_prob,strict_lock_prob
0.0,0.8673749999999999,0.28669120680680954,0.9249166666666666,0.047653939905381845,0.0,0.0,1.0
0.25,0.86725,0.2880305075436664,0.9265000000000001,0.044015083621491556,0.0,0.0,1.0
0.5,0.8972916666666666,0.23677158791112168,0.9200833333333333,0.040399317878616094,0.0,0.0,1.0
0.75,0.894375,0.23381804513928905,0.9120833333333334,0.04099560181063443,0.0,0.0,1.0
1.0,0.8920416666666667,0.23134200949934577,0.9055833333333333,0.041265975659451413,0.0,0.0,1.0
1.25,0.8612916666666667,0.2728798529615165,0.8990833333333333,0.04194867211192773,0.0,0.0,1.0
1.5,0.8579583333333333,0.2714142168040085,0.8919166666666667,0.043888000742747485,0.0,0.0,1.0
2.0,0.7680416666666667,0.3493376866653705,0.8669166666666667,0.08934552102056814,0.0,0.1,0.9
