network,abm_final_L_A,abm_avg_C,abm_coexist_prob,abm_tilt_prob,abm_lock_prob,ode_final_L_A
弱,0.568,0.2803333333333333,0.3333333333333333,0.6666666666666666,0.0,0.5000000000000024
中等,0.7973750000000001,0.8964166666666668,0.0,0.0,1.0,0.6839936189615253
强,0.8995416666666667,0.9990833333333333,0.0,0.0,1.0,0.9621260705199834
