network,alpha,beta,strategy,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,final_quality_B,max_shortage_B,avg_shortage_B,profit
中等,0.8,0.8,贪心策略,0.28811652508779856,6.500849026931108e-05,0.7118834749122014,0.9999349915097306,0.855909233210966,0.38010010815055967,9.9999980000002,3.4073947992045714,67.27490562847896
中等,0.8,0.8,长期策略,0.041072695369977645,1.7073691840804373e-12,0.9589273046300224,0.9999999999982926,0.9794636523141576,1.140300324451682,9.9999980000002,7.002586040388097,107.86450508493942
中等,0.8,0.8,动态策略,0.17016402777646983,5.20691539691795e-09,0.8298359722235302,0.9999999947930847,0.9149179835083074,0.7602002163011193,9.9999980000002,5.01324266624973,100.27459959202945
中等,0.8,0.8,纯质量投资,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,9.99999960000001,9.450952477101184,125.16331892838772
强,1.5,1.5,贪心策略,0.25544694782311667,2.330569443208715e-05,0.7445530521768833,0.9999766943055679,0.8722648732412256,0.38010010815055967,9.9999980000002,3.946603097012086,42.89149018811219
强,1.5,1.5,长期策略,0.019919992502773223,2.724633292433236e-13,0.9800800074972268,0.9999999999997276,0.9900400037484771,1.140300324451682,9.9999980000002,7.534698938855941,101.71050127397596
强,1.5,1.5,动态策略,0.13898863169661435,1.2296436115553447e-09,0.8610113683033856,0.9999999987703564,0.930505683536871,0.7602002163011193,9.9999980000002,5.611525712377896,91.02014845763226
强,1.5,1.5,纯质量投资,1.6430111639562979e-18,1.9287498479639204e-22,1.0,1.0,1.0,3.0,9.99999960000001,9.522071137706849,123.46524409475464
