multi_home_cost_kM,merchant_multi_home_rate_mean,merchant_multi_home_rate_std,final_LA_mean,final_LA_std,concentration_C_mean,concentration_C_std,coexist_prob,tilt_prob,strict_lock_prob,lock_in_index_mean,lock_in_index_std
0.0,0.0,0.0,0.48966666666666664,0.009643054793328023,0.9793333333333333,0.019286109586656046,0.0,0.0,1.0,0.9793333333333333,0.019286109586656046
0.2,0.03133333333333334,0.02763472744427815,0.4845,0.011915651833646788,0.969,0.023831303667293576,0.0,0.0,1.0,0.969,0.023831303667293576
0.5,0.08933333333333333,0.036287485572789456,0.471,0.012621820186787085,0.942,0.02524364037357417,0.0,0.0,1.0,0.942,0.02524364037357417
0.8,0.14400000000000002,0.04311972106620805,0.45733333333333337,0.013178701033088953,0.9146666666666667,0.026357402066177905,0.0,0.0,1.0,0.9146666666666667,0.026357402066177905
1.2,0.18400000000000002,0.049102285921926496,0.4473333333333333,0.01535405895640569,0.8946666666666666,0.03070811791281138,0.0,0.0,1.0,0.8946666666666666,0.03070811791281138
1.6,0.21133333333333332,0.05243934646304495,0.4505,0.037007687924500786,0.881,0.031111590034627924,0.0,0.0,1.0,0.881,0.031111590034627924
2.0,0.222,0.06546386210253188,0.46049999999999996,0.05234747960207498,0.8756666666666667,0.03775450037877041,0.0,0.03333333333333333,0.9666666666666667,0.8756666666666667,0.03775450037877041
