scenario,alpha,beta,budget,rho,final_x,final_y,combined_share,cum_profit,directional_state
对称网络效应,1.2,1.2,0.8,0.0,0.9933670055497541,0.9935196269925785,0.9934433162711662,161.43271773285954,平台A锁定
对称网络效应,1.2,1.2,0.8,0.02,0.9933700956671513,0.9935166119495913,0.9934433538083713,161.47627758652666,平台A锁定
对称网络效应,1.2,1.2,0.8,0.04,0.9933731842338099,0.9935135953929278,0.9934433898133689,161.5188821745505,平台A锁定
对称网络效应,1.2,1.2,0.8,0.06,0.993376271250512,0.9935105773218256,0.9934434242861687,161.5605452571107,平台A锁定
对称网络效应,1.2,1.2,0.8,0.08,0.9933793567180388,0.9935075577355215,0.9934434572267801,161.60128004572564,平台A锁定
对称网络效应,1.2,1.2,0.8,0.1,0.9933824406371707,0.9935045366332522,0.9934434886352115,161.64109920944728,平台A锁定
对称网络效应,1.2,1.2,0.8,0.12,0.9933855230086889,0.993501514014254,0.9934435185114714,161.6800148787446,平台A锁定
对称网络效应,1.2,1.2,0.8,0.14,0.9933886038333734,0.9934984898777621,0.9934435468555678,161.71803864701215,平台A锁定
对称网络效应,1.2,1.2,0.8,0.16,0.9933916831120035,0.9934954642230127,0.9934435736675081,161.75518156964392,平台A锁定
对称网络效应,1.2,1.2,0.8,0.18,0.9933947608453587,0.9934924370492402,0.9934435989472994,161.79145416067357,平台A锁定
对称网络效应,1.2,1.2,0.8,0.2,0.993397837034218,0.9934894083556793,0.9934436226949487,161.82686638699744,平台A锁定
对称网络效应,1.2,1.2,0.8,0.22,0.9934009116793595,0.9934863781415644,0.993443644910462,161.86142766025097,平台A锁定
对称网络效应,1.2,1.2,0.8,0.24,0.9934039847815614,0.9934833464061287,0.993443665593845,161.89514682646677,平台A锁定
对称网络效应,1.2,1.2,0.8,0.26,0.9934070563416013,0.9934803131486065,0.9934436847451039,161.9280321536586,平台A锁定
对称网络效应,1.2,1.2,0.8,0.28,0.9934101263602565,0.9934772783682297,0.9934437023642431,161.9600913175615,平台A锁定
对称网络效应,1.2,1.2,0.8,0.3,0.9934131948383038,0.9934742420642318,0.9934437184512679,161.99133138578244,平台A锁定
对称网络效应,1.2,1.2,0.8,0.32,0.9934162617765194,0.9934712042358446,0.993443733006182,162.02175880066056,平台A锁定
对称网络效应,1.2,1.2,0.8,0.34,0.9934193271756794,0.9934681648822993,0.9934437460289893,162.05137936119093,平台A锁定
对称网络效应,1.2,1.2,0.8,0.36,0.9934223910365596,0.9934651240028279,0.9934437575196937,162.08019820437843,平台A锁定
对称网络效应,1.2,1.2,0.8,0.38,0.9934254533599346,0.9934620815966615,0.9934437674782981,162.10821978642647,平台A锁定
对称网络效应,1.2,1.2,0.8,0.4,0.9934285141465796,0.9934590376630301,0.9934437759048049,162.1354478641732,平台A锁定
对称网络效应,1.2,1.2,0.8,0.42,0.993431573397269,0.9934559922011642,0.9934437827992166,162.16188547718357,平台A锁定
对称网络效应,1.2,1.2,0.8,0.44,0.9934346311127765,0.9934529452102931,0.9934437881615348,162.18753493091646,平台A锁定
对称网络效应,1.2,1.2,0.8,0.46,0.9934376872938759,0.9934498966896463,0.9934437919917611,162.2123977813273,平台A锁定
对称网络效应,1.2,1.2,0.8,0.48,0.9934407419413398,0.9934468466384531,0.9934437942898964,162.23647482127373,平台A锁定
对称网络效应,1.2,1.2,0.8,0.5,0.9934437950559415,0.9934437950559415,0.9934437950559415,162.25976606901162,平台A锁定
对称网络效应,1.2,1.2,0.8,0.52,0.9934468466384531,0.9934407419413398,0.9934437942898964,162.2822707590266,平台A锁定
对称网络效应,1.2,1.2,0.8,0.54,0.9934498966896463,0.9934376872938759,0.9934437919917611,162.30398733538712,平台A锁定
对称网络效应,1.2,1.2,0.8,0.56,0.9934529452102931,0.9934346311127765,0.9934437881615348,162.32491344771609,平台A锁定
对称网络效应,1.2,1.2,0.8,0.58,0.9934559922011642,0.993431573397269,0.9934437827992166,162.34504594982752,平台A锁定
对称网络效应,1.2,1.2,0.8,0.6,0.9934590376630301,0.9934285141465796,0.9934437759048049,162.36438090097528,平台A锁定
对称网络效应,1.2,1.2,0.8,0.62,0.9934620815966615,0.9934254533599346,0.9934437674782981,162.38291356961017,平台A锁定
对称网络效应,1.2,1.2,0.8,0.64,0.9934651240028279,0.9934223910365596,0.9934437575196937,162.400638439459,平台A锁定
对称网络效应,1.2,1.2,0.8,0.66,0.9934681648822993,0.9934193271756794,0.9934437460289893,162.41754921768256,平台A锁定
对称网络效应,1.2,1.2,0.8,0.68,0.9934712042358446,0.9934162617765194,0.993443733006182,162.43363884482457,平台A锁定
对称网络效应,1.2,1.2,0.8,0.7000000000000001,0.9934742420642318,0.9934131948383038,0.9934437184512679,162.44889950620032,平台A锁定
对称网络效应,1.2,1.2,0.8,0.72,0.9934772783682297,0.9934101263602565,0.9934437023642431,162.46332264438092,平台A锁定
对称网络效应,1.2,1.2,0.8,0.74,0.9934803131486065,0.9934070563416013,0.9934436847451039,162.47689897236114,平台A锁定
对称网络效应,1.2,1.2,0.8,0.76,0.9934833464061287,0.9934039847815614,0.993443665593845,162.48961848704164,平台A锁定
对称网络效应,1.2,1.2,0.8,0.78,0.9934863781415644,0.9934009116793595,0.993443644910462,162.50147048262428,平台A锁定
对称网络效应,1.2,1.2,0.8,0.8,0.9934894083556793,0.993397837034218,0.9934436226949487,162.51244356355164,平台A锁定
对称网络效应,1.2,1.2,0.8,0.8200000000000001,0.9934924370492402,0.9933947608453587,0.9934435989472994,162.52252565664,平台A锁定
对称网络效应,1.2,1.2,0.8,0.84,0.9934954642230127,0.9933916831120035,0.9934435736675081,162.53170402208892,平台A锁定
对称网络效应,1.2,1.2,0.8,0.86,0.9934984898777621,0.9933886038333734,0.9934435468555678,162.5399652630796,平台A锁定
对称网络效应,1.2,1.2,0.8,0.88,0.993501514014254,0.9933855230086889,0.9934435185114714,162.5472953337262,平台A锁定
对称网络效应,1.2,1.2,0.8,0.9,0.9935045366332522,0.9933824406371707,0.9934434886352115,162.55367954517382,平台A锁定
对称网络效应,1.2,1.2,0.8,0.92,0.9935075577355215,0.9933793567180388,0.9934434572267801,162.55910256969003,平台A锁定
对称网络效应,1.2,1.2,0.8,0.9400000000000001,0.9935105773218256,0.993376271250512,0.9934434242861687,162.5635484426324,平台A锁定
对称网络效应,1.2,1.2,0.8,0.96,0.9935135953929278,0.9933731842338099,0.9934433898133689,162.56700056222493,平台A锁定
对称网络效应,1.2,1.2,0.8,0.98,0.9935166119495913,0.9933700956671513,0.9934433538083713,162.56944168709498,平台A锁定
对称网络效应,1.2,1.2,0.8,1.0,0.9935196269925785,0.9933670055497541,0.9934433162711662,162.57085393157973,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.0,0.9964044802447232,0.9244937472039663,0.9604491137243447,157.82473683150926,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.02,0.9964045628622581,0.9244544456318516,0.9604295042470549,157.83220030171407,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.04,0.9964046444607161,0.924415121843255,0.9604098831519856,157.838439538045,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.06,0.9964047250394542,0.9243757758236479,0.9603902504315511,157.84343194459055,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.08,0.996404804597829,0.92433640755849,0.9603706060781595,157.84715338398843,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.1,0.9964048831351944,0.9242970170332285,0.9603509500842115,157.84957811873144,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.12,0.9964049606509044,0.9242576042332985,0.9603312824421015,157.8506787497863,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.14,0.9964050371443103,0.924218169144123,0.9603116031442167,157.85042615247937,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.16,0.9964051126147621,0.9241787117511125,0.9602919121829373,157.84878940962466,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.18,0.9964051870616086,0.9241392320396657,0.9602722095506372,157.84573574187257,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.2,0.9964052604841973,0.924099729995169,0.9602524952396831,157.84123043524974,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.22,0.9964053328818738,0.9240602056029961,0.960232769242435,157.83523676587754,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.24,0.9964054042539825,0.9240206588485087,0.9602130315512456,157.82771592185148,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.26,0.9964054745998657,0.9239810897170564,0.9601932821584611,157.81862692226997,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.28,0.9964055439188657,0.9239414981939769,0.9601735210564213,157.80792653339634,平台A锁定
