budget,rho,user_subsidy_initial,merchant_subsidy_initial,final_x,final_y,combined_share,concentration,cum_profit,directional_state
0.2,0.0,0.0,0.2,0.007035272630384122,0.01343858106861711,0.010236926849500616,0.9795261463009988,3.229958600222199,平台B锁定
0.2,0.02,0.004,0.196,0.007036039632245008,0.013436992740025007,0.010236516186135008,0.97952696762773,3.2256659767077136,平台B锁定
0.2,0.04,0.008,0.192,0.007036806732261496,0.013435404612980265,0.010236105672620881,0.9795277886547582,3.2214355111098985,平台B锁定
0.2,0.06,0.012,0.188,0.0070375739304457145,0.013433816687456763,0.010235695308951239,0.9795286093820975,3.217266944450258,平台B锁定
0.2,0.08,0.016,0.18400000000000002,0.007038341226809791,0.013432228963428371,0.010235285095119081,0.9795294298097619,3.213160020970075,平台B锁定
0.2,0.1,0.020000000000000004,0.18000000000000002,0.007039108621365853,0.01343064144086896,0.010234875031117406,0.9795302499377652,3.2091144880310756,平台B锁定
0.2,0.12,0.024,0.17600000000000002,0.007039876114126033,0.013429054119752417,0.010234465116939226,0.9795310697661215,3.2051300960196274,平台B锁定
0.2,0.14,0.028000000000000004,0.17200000000000001,0.007040643705102465,0.013427467000052632,0.01023405535257755,0.9795318892948448,3.201206598254121,平台B锁定
0.2,0.16,0.032,0.168,0.007041411394307279,0.013425880081743483,0.01023364573802538,0.9795327085239492,3.197343750895587,平台B锁定
0.2,0.18,0.036,0.16400000000000003,0.007042179181752615,0.013424293364798869,0.010233236273275742,0.9795335274534485,3.1935413128611785,平台B锁定
0.2,0.2,0.04000000000000001,0.16000000000000003,0.00704294706745061,0.013422706849192684,0.010232826958321648,0.9795343460833568,3.189799045740637,平台B锁定
0.2,0.22,0.044000000000000004,0.15600000000000003,0.0070437150514134,0.013421120534898828,0.010232417793156114,0.9795351644136878,3.1861167137155,平台B锁定
0.2,0.24,0.048,0.15200000000000002,0.007044483133653129,0.013419534421891201,0.010232008777772165,0.9795359824444556,3.182494083480808,平台B锁定
0.2,0.26,0.052000000000000005,0.148,0.007045251314181939,0.01341794851014371,0.010231599912162824,0.9795368001756743,3.1789309241694905,平台B锁定
0.2,0.28,0.05600000000000001,0.144,0.007046019593011972,0.013416362799630266,0.01023119119632112,0.9795376176073578,3.175427007278985,平台B锁定
0.2,0.3,0.06,0.13999999999999999,0.007046787970155378,0.013414777290324788,0.010230782630240083,0.9795384347395197,3.171982106600267,平台B锁定
0.2,0.32,0.064,0.13599999999999998,0.0070475564456243,0.01341319198220118,0.010230374213912739,0.9795392515721745,3.1685959981490153,平台B锁定
0.2,0.34,0.068,0.13199999999999998,0.007048325019430888,0.013411606875233371,0.01022996594733213,0.9795400681053358,3.1652684600988357,平台B锁定
0.2,0.36,0.072,0.128,0.007049093691587295,0.013410021969395294,0.010229557830491294,0.9795408843390174,3.16199927271655,平台B锁定
0.2,0.38,0.07600000000000001,0.124,0.007049862462105673,0.013408437264660868,0.010229149863383271,0.9795417002732335,3.158788218299339,平台B锁定
0.2,0.4,0.08000000000000002,0.12,0.007050631330998175,0.013406852761004026,0.010228742046001101,0.9795425159079978,3.155635081113733,平台B锁定
0.2,0.42,0.084,0.11600000000000002,0.007051400298276957,0.013405268458398706,0.010228334378337832,0.9795433312433244,3.1525396473363205,平台B锁定
0.2,0.44,0.08800000000000001,0.11200000000000002,0.007052169363954177,0.01340368435681884,0.010227926860386509,0.9795441462792269,3.149501704996114,平台B锁定
0.2,0.46,0.09200000000000001,0.10800000000000001,0.00705293852804199,0.013402100456238374,0.010227519492140182,0.9795449610157196,3.1465210439185025,平台B锁定
0.2,0.48,0.096,0.10400000000000001,0.007053707790552566,0.013400516756631259,0.010227112273591913,0.9795457754528162,3.1435974556707613,平台B锁定
