alpha,beta,final_u_A,final_m_A,combined_share_A,concentration_C,market_state
0.0,0.0,0.5000000000000016,0.5000000000000016,0.5000000000000016,3.1086244689504383e-15,双平台共存
0.1,0.0,0.5000000000000017,0.5000000000000014,0.5000000000000016,3.1086244689504383e-15,双平台共存
0.2,0.0,0.5000000000000019,0.5000000000000016,0.5000000000000018,3.4416913763379853e-15,双平台共存
0.3,0.0,0.5000000000000021,0.5000000000000014,0.5000000000000018,3.552713678800501e-15,双平台共存
0.4,0.0,0.5000000000000023,0.5000000000000016,0.500000000000002,3.885780586188048e-15,双平台共存
0.5,0.0,0.5000000000000024,0.5000000000000014,0.500000000000002,3.885780586188048e-15,双平台共存
0.6,0.0,0.5000000000000028,0.5000000000000016,0.5000000000000022,4.3298697960381105e-15,双平台共存
0.7,0.0,0.5000000000000029,0.5000000000000014,0.5000000000000022,4.3298697960381105e-15,双平台共存
0.8,0.0,0.5000000000000031,0.5000000000000014,0.5000000000000022,4.551914400963142e-15,双平台共存
0.9,0.0,0.5000000000000032,0.5000000000000014,0.5000000000000023,4.6629367034256575e-15,双平台共存
1.0,0.0,0.5000000000000036,0.5000000000000016,0.5000000000000026,5.10702591327572e-15,双平台共存
1.1,0.0,0.5000000000000037,0.5000000000000014,0.5000000000000026,5.10702591327572e-15,双平台共存
1.2,0.0,0.5000000000000038,0.5000000000000014,0.5000000000000027,5.218048215738236e-15,双平台共存
1.3,0.0,0.5000000000000042,0.5000000000000016,0.5000000000000029,5.773159728050814e-15,双平台共存
1.4,0.0,0.5000000000000044,0.5000000000000016,0.500000000000003,5.995204332975845e-15,双平台共存
1.5,0.0,0.5000000000000044,0.5000000000000014,0.5000000000000029,5.88418203051333e-15,双平台共存
1.6,0.0,0.5000000000000049,0.5000000000000016,0.5000000000000032,6.439293542825908e-15,双平台共存
1.7,0.0,0.500000000000005,0.5000000000000016,0.5000000000000033,6.5503158452884236e-15,双平台共存
1.8,0.0,0.5000000000000052,0.5000000000000016,0.5000000000000033,6.772360450213455e-15,双平台共存
1.9,0.0,0.5000000000000052,0.5000000000000014,0.5000000000000033,6.661338147750939e-15,双平台共存
2.0,0.0,0.5000000000000057,0.5000000000000016,0.5000000000000036,7.216449660063518e-15,双平台共存
2.1,0.0,0.5000000000000056,0.5000000000000014,0.5000000000000036,6.994405055138486e-15,双平台共存
2.2,0.0,0.5000000000000061,0.5000000000000016,0.5000000000000038,7.66053886991358e-15,双平台共存
2.3,0.0,0.500000000000006,0.5000000000000014,0.5000000000000038,7.438494264988549e-15,双平台共存
2.4,0.0,0.5000000000000061,0.5000000000000014,0.5000000000000038,7.549516567451064e-15,双平台共存
2.5,0.0,0.5000000000000063,0.5000000000000014,0.5000000000000039,7.771561172376096e-15,双平台共存
2.6,0.0,0.5000000000000066,0.5000000000000014,0.500000000000004,7.993605777301127e-15,双平台共存
2.7,0.0,0.5000000000000071,0.5000000000000016,0.5000000000000043,8.659739592076221e-15,双平台共存
2.8,0.0,0.5000000000000069,0.5000000000000014,0.5000000000000042,8.326672684688674e-15,双平台共存
2.9,0.0,0.5000000000000075,0.5000000000000016,0.5000000000000046,9.103828801926284e-15,双平台共存
3.0,0.0,0.5000000000000073,0.5000000000000014,0.5000000000000044,8.770761894538737e-15,双平台共存
3.1,0.0,0.5000000000000074,0.5000000000000014,0.5000000000000044,8.881784197001252e-15,双平台共存
3.2,0.0,0.5000000000000077,0.5000000000000014,0.5000000000000046,9.103828801926284e-15,双平台共存
3.3,0.0,0.5000000000000079,0.5000000000000014,0.5000000000000047,9.325873406851315e-15,双平台共存
3.4,0.0,0.5000000000000085,0.5000000000000016,0.5000000000000051,1.0103029524088925e-14,双平台共存
3.5,0.0,0.5000000000000082,0.5000000000000014,0.5000000000000049,9.658940314238862e-15,双平台共存
3.6,0.0,0.500000000000009,0.5000000000000016,0.5000000000000053,1.0547118733938987e-14,双平台共存
3.7,0.0,0.5000000000000092,0.5000000000000016,0.5000000000000053,1.0769163338864018e-14,双平台共存
3.8,0.0,0.5000000000000089,0.5000000000000014,0.5000000000000051,1.0325074129013956e-14,双平台共存
3.9,0.0,0.500000000000009,0.5000000000000014,0.5000000000000052,1.0436096431476471e-14,双平台共存
4.0,0.0,0.5000000000000098,0.5000000000000016,0.5000000000000057,1.1324274851176597e-14,双平台共存
4.1,0.0,0.50000000000001,0.5000000000000016,0.5000000000000058,1.1546319456101628e-14,双平台共存
4.2,0.0,0.5000000000000102,0.5000000000000016,0.5000000000000059,1.176836406102666e-14,双平台共存
4.3,0.0,0.5000000000000104,0.5000000000000016,0.500000000000006,1.199040866595169e-14,双平台共存
4.4,0.0,0.50000000000001,0.5000000000000014,0.5000000000000058,1.1435297153639112e-14,双平台共存
4.5,0.0,0.5000000000000109,0.5000000000000016,0.5000000000000062,1.2434497875801753e-14,双平台共存
4.6,0.0,0.5000000000000103,0.5000000000000014,0.5000000000000059,1.176836406102666e-14,双平台共存
4.7,0.0,0.5000000000000112,0.5000000000000016,0.5000000000000064,1.27675647831893e-14,双平台共存
4.8,0.0,0.5000000000000114,0.5000000000000016,0.5000000000000064,1.2989609388114332e-14,双平台共存
4.9,0.0,0.500000000000011,0.5000000000000014,0.5000000000000062,1.2434497875801753e-14,双平台共存
5.0,0.0,0.5000000000000111,0.5000000000000014,0.5000000000000062,1.2545520178264269e-14,双平台共存
0.0,0.1,0.5000000000000014,0.5000000000000017,0.5000000000000016,3.1086244689504383e-15,双平台共存
0.1,0.1,0.5000000000000018,0.5000000000000018,0.5000000000000018,3.552713678800501e-15,双平台共存
