scenario_label,step,merchant_A_only,merchant_B_only,merchant_multi,L_A
中成本-中等贡献,0,0.52,0.4799999999999999,0.0,0.52
中成本-中等贡献,1,0.37733333333333335,0.23844444444444443,0.38422222222222224,0.5599444444444444
中成本-中等贡献,2,0.4042222222222222,0.17377777777777775,0.422,0.617111111111111
中成本-中等贡献,3,0.4846666666666667,0.1262222222222222,0.38911111111111113,0.6937222222222222
中成本-中等贡献,4,0.5715555555555556,0.1,0.32844444444444443,0.7646111111111111
中成本-中等贡献,5,0.6017777777777779,0.08777777777777777,0.3104444444444444,0.8024444444444445
中成本-中等贡献,6,0.6186666666666666,0.09288888888888888,0.2884444444444444,0.8127777777777777
中成本-中等贡献,7,0.6251111111111112,0.09511111111111112,0.27977777777777774,0.8127222222222222
中成本-中等贡献,8,0.6346666666666666,0.10088888888888888,0.2644444444444444,0.8154444444444445
中成本-中等贡献,9,0.6346666666666666,0.10377777777777777,0.26155555555555554,0.8138888888888889
中成本-中等贡献,10,0.6424444444444445,0.10911111111111112,0.24844444444444444,0.8136111111111112
中成本-中等贡献,11,0.632888888888889,0.11,0.2571111111111111,0.8115
中成本-中等贡献,12,0.6308888888888888,0.10466666666666667,0.2644444444444444,0.8119444444444445
中成本-中等贡献,13,0.632888888888889,0.11244444444444444,0.25466666666666665,0.8104444444444444
中成本-中等贡献,14,0.6371111111111111,0.10555555555555556,0.2573333333333333,0.8145
中成本-中等贡献,15,0.6368888888888888,0.10244444444444444,0.26066666666666666,0.8164444444444444
中成本-中等贡献,16,0.6491111111111111,0.10577777777777778,0.2451111111111111,0.8165555555555556
中成本-中等贡献,17,0.6466666666666666,0.10844444444444444,0.24488888888888888,0.8151111111111111
中成本-中等贡献,18,0.6324444444444445,0.10644444444444444,0.2611111111111111,0.8132777777777778
中成本-中等贡献,19,0.6302222222222222,0.11511111111111111,0.2546666666666667,0.8086111111111111
中成本-中等贡献,20,0.6395555555555555,0.10511111111111111,0.25533333333333336,0.8135
中成本-中等贡献,21,0.6417777777777778,0.10644444444444444,0.25177777777777777,0.8139444444444445
中成本-中等贡献,22,0.6355555555555555,0.11466666666666667,0.24977777777777777,0.8120555555555556
中成本-中等贡献,23,0.6495555555555556,0.10755555555555557,0.2428888888888889,0.8152777777777778
中成本-中等贡献,24,0.6428888888888888,0.10600000000000001,0.2511111111111111,0.8155
中成本-中等贡献,25,0.6386666666666667,0.10933333333333332,0.252,0.8122222222222223
中成本-中等贡献,26,0.6288888888888889,0.11333333333333333,0.2577777777777778,0.8087777777777777
中成本-中等贡献,27,0.6357777777777778,0.11422222222222222,0.25,0.8112777777777779
中成本-中等贡献,28,0.6408888888888888,0.10577777777777778,0.25333333333333335,0.8140555555555555
中成本-中等贡献,29,0.6444444444444444,0.1131111111111111,0.24244444444444443,0.8141111111111111
中成本-中等贡献,30,0.6373333333333334,0.10288888888888889,0.2597777777777778,0.8148888888888889
中成本-中等贡献,31,0.6351111111111112,0.11066666666666666,0.25422222222222224,0.8115
中成本-中等贡献,32,0.650888888888889,0.108,0.2411111111111111,0.8162222222222223
中成本-中等贡献,33,0.6326666666666667,0.10533333333333333,0.262,0.8148333333333333
中成本-中等贡献,34,0.6317777777777778,0.10244444444444444,0.2657777777777778,0.8125
中成本-中等贡献,35,0.6411111111111112,0.10466666666666667,0.25422222222222224,0.8146111111111111
中成本-中等贡献,36,0.6386666666666667,0.10777777777777778,0.25355555555555553,0.8142222222222222
中成本-中等贡献,37,0.6413333333333333,0.10955555555555556,0.24911111111111112,0.8135
中成本-中等贡献,38,0.6328888888888888,0.11111111111111112,0.256,0.8124444444444444
中成本-中等贡献,39,0.6286666666666666,0.10466666666666667,0.26666666666666666,0.8122777777777778
中成本-中等贡献,40,0.6397777777777779,0.10311111111111111,0.2571111111111111,0.8148888888888889
中成本-中等贡献,41,0.6493333333333333,0.10444444444444444,0.24622222222222223,0.8167777777777778
中成本-中等贡献,42,0.6391111111111111,0.10511111111111111,0.25577777777777777,0.8169444444444445
中成本-中等贡献,43,0.6428888888888888,0.10400000000000001,0.2531111111111111,0.8186111111111111
中成本-中等贡献,44,0.6477777777777778,0.10600000000000001,0.24622222222222223,0.8169444444444445
中成本-中等贡献,45,0.6419999999999999,0.10755555555555556,0.25044444444444447,0.8166666666666667
中成本-中等贡献,46,0.6482222222222221,0.10333333333333333,0.24844444444444444,0.8178333333333333
中成本-中等贡献,47,0.6457777777777778,0.10488888888888888,0.24933333333333335,0.8166111111111112
中成本-中等贡献,48,0.6455555555555555,0.10555555555555556,0.24888888888888888,0.8191666666666666
中成本-中等贡献,49,0.6451111111111111,0.10955555555555556,0.24533333333333335,0.8171666666666667
中成本-中等贡献,50,0.6393333333333333,0.10822222222222222,0.2524444444444444,0.8130000000000001
中成本-中等贡献,51,0.6406666666666666,0.10688888888888888,0.2524444444444444,0.8155555555555555
中成本-中等贡献,52,0.6477777777777778,0.112,0.24022222222222223,0.8152222222222222
中成本-中等贡献,53,0.6357777777777778,0.10577777777777778,0.2584444444444445,0.8115555555555556
中成本-中等贡献,54,0.6377777777777778,0.11288888888888889,0.24933333333333335,0.8107222222222222
中成本-中等贡献,55,0.6357777777777778,0.11222222222222222,0.252,0.8099444444444444
中成本-中等贡献,56,0.6522222222222223,0.10533333333333333,0.24244444444444443,0.818
中成本-中等贡献,57,0.6457777777777778,0.10377777777777777,0.25044444444444447,0.8170555555555555
中成本-中等贡献,58,0.650888888888889,0.10888888888888888,0.24022222222222223,0.8170555555555555
中成本-中等贡献,59,0.6371111111111111,0.11555555555555556,0.24733333333333332,0.8110555555555555
中成本-中等贡献,60,0.6317777777777778,0.10777777777777778,0.2604444444444444,0.8102222222222223
中成本-中等贡献,61,0.6362222222222222,0.10688888888888888,0.2568888888888889,0.814
中成本-中等贡献,62,0.6451111111111111,0.10311111111111111,0.25177777777777777,0.8155
中成本-中等贡献,63,0.6397777777777777,0.10466666666666667,0.2555555555555556,0.8157222222222222
中成本-中等贡献,64,0.6424444444444445,0.10600000000000001,0.2515555555555556,0.8158333333333334
中成本-中等贡献,65,0.6417777777777778,0.10288888888888888,0.25533333333333336,0.8166666666666667
中成本-中等贡献,66,0.6462222222222223,0.11311111111111112,0.24066666666666667,0.8140555555555555
中成本-中等贡献,67,0.644888888888889,0.10777777777777778,0.24733333333333332,0.8163333333333332
中成本-中等贡献,68,0.6426666666666667,0.10688888888888888,0.25044444444444447,0.8168333333333333
中成本-中等贡献,69,0.6317777777777778,0.10822222222222222,0.26,0.8112777777777779
中成本-中等贡献,70,0.6386666666666667,0.09866666666666667,0.26266666666666666,0.8146666666666668
低成本-中等贡献,0,0.52,0.4799999999999999,0.0,0.52
低成本-中等贡献,1,0.2528888888888889,0.1568888888888889,0.5902222222222222,0.5492222222222222
低成本-中等贡献,2,0.21666666666666667,0.11955555555555557,0.6637777777777778,0.5662777777777778
低成本-中等贡献,3,0.22933333333333333,0.10600000000000001,0.6646666666666667,0.5841666666666666
低成本-中等贡献,4,0.2531111111111111,0.10022222222222223,0.6466666666666666,0.6008333333333333
低成本-中等贡献,5,0.25822222222222224,0.09488888888888888,0.6468888888888888,0.6135555555555555
低成本-中等贡献,6,0.2755555555555556,0.09755555555555556,0.6268888888888888,0.6251666666666666
低成本-中等贡献,7,0.29244444444444445,0.09733333333333333,0.6102222222222223,0.6359999999999999
低成本-中等贡献,8,0.30977777777777776,0.09177777777777778,0.5984444444444444,0.6460555555555556
低成本-中等贡献,9,0.31955555555555554,0.082,0.5984444444444444,0.664
低成本-中等贡献,10,0.33,0.08422222222222223,0.5857777777777778,0.6723333333333333
低成本-中等贡献,11,0.32066666666666666,0.08466666666666667,0.5946666666666667,0.6748333333333334
低成本-中等贡献,12,0.3351111111111111,0.08911111111111111,0.5757777777777778,0.6783888888888889
低成本-中等贡献,13,0.35044444444444445,0.08288888888888889,0.5666666666666667,0.6890000000000001
低成本-中等贡献,14,0.3475555555555555,0.08155555555555556,0.5708888888888889,0.6950555555555555
低成本-中等贡献,15,0.3426666666666666,0.07822222222222222,0.5791111111111111,0.6950555555555555
低成本-中等贡献,16,0.3606666666666667,0.08222222222222222,0.5571111111111111,0.6983333333333334
低成本-中等贡献,17,0.3577777777777778,0.08688888888888888,0.5553333333333333,0.6955000000000001
低成本-中等贡献,18,0.35755555555555557,0.07888888888888888,0.5635555555555556,0.7002222222222223
低成本-中等贡献,19,0.3568888888888889,0.07577777777777778,0.5673333333333334,0.7017222222222222
低成本-中等贡献,20,0.3626666666666667,0.07977777777777778,0.5575555555555556,0.7038333333333333
低成本-中等贡献,21,0.3662222222222222,0.07911111111111112,0.5546666666666666,0.7045
低成本-中等贡献,22,0.36088888888888887,0.07600000000000001,0.5631111111111111,0.7057222222222223
低成本-中等贡献,23,0.3777777777777778,0.07888888888888888,0.5433333333333333,0.7096111111111111
低成本-中等贡献,24,0.37288888888888894,0.07888888888888888,0.5482222222222222,0.7077777777777778
低成本-中等贡献,25,0.3662222222222222,0.08,0.5537777777777778,0.7076666666666667
低成本-中等贡献,26,0.356,0.08533333333333333,0.5586666666666668,0.7019444444444445
低成本-中等贡献,27,0.35755555555555557,0.07733333333333332,0.5651111111111111,0.7000555555555555
低成本-中等贡献,28,0.3611111111111111,0.07622222222222222,0.5626666666666666,0.7028333333333333
低成本-中等贡献,29,0.3631111111111111,0.07533333333333334,0.5615555555555556,0.7077222222222221
低成本-中等贡献,30,0.366,0.07422222222222222,0.5597777777777778,0.7082222222222222
低成本-中等贡献,31,0.3577777777777778,0.07866666666666666,0.5635555555555556,0.7056666666666668
低成本-中等贡献,32,0.37022222222222223,0.08044444444444446,0.5493333333333333,0.7083888888888888
低成本-中等贡献,33,0.3711111111111111,0.07733333333333334,0.5515555555555556,0.7107222222222221
低成本-中等贡献,34,0.36666666666666664,0.08266666666666667,0.5506666666666666,0.7067222222222223
低成本-中等贡献,35,0.36577777777777776,0.07955555555555556,0.5546666666666666,0.7071666666666666
低成本-中等贡献,36,0.3768888888888889,0.07666666666666666,0.5464444444444445,0.7106666666666667
低成本-中等贡献,37,0.3706666666666667,0.07488888888888888,0.5544444444444444,0.7105
低成本-中等贡献,38,0.3688888888888889,0.07777777777777778,0.5533333333333333,0.7123888888888888
