u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,step,seed,heterogeneity_sigma
0.52,0.52,0.48,0.52,0.48,0.0,0.52,0.5008,0.0,0,5100,0.0
0.5166666666666667,0.5133333333333333,0.4866666666666667,0.5133333333333333,0.4866666666666667,0.0,0.515,0.50045,0.0,1,5100,0.0
0.5333333333333333,0.5733333333333334,0.4266666666666667,0.5733333333333334,0.4266666666666667,0.0,0.5533333333333333,0.5056888888888889,0.0,2,5100,0.0
0.6833333333333333,0.7866666666666666,0.21333333333333335,0.7866666666666666,0.21333333333333335,0.0,0.735,0.6104499999999999,0.0,3,5100,0.0
0.91,0.9533333333333334,0.04666666666666667,0.9533333333333334,0.04666666666666667,0.0,0.9316666666666666,0.8726722222222221,0.0,4,5100,0.0
0.9866666666666667,0.9866666666666667,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.0,0.9866666666666667,0.973688888888889,0.0,5,5100,0.0
0.9866666666666667,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.99,0.9802,0.0,6,5100,0.0
0.9933333333333333,1.0,0.0,1.0,0.0,0.0,0.9966666666666666,0.9933555555555553,0.0,7,5100,0.0
0.9833333333333333,0.9866666666666667,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.0,0.985,0.97045,0.0,8,5100,0.0
0.99,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9916666666666667,0.9834722222222223,0.0,9,5100,0.0
0.9866666666666667,1.0,0.0,1.0,0.0,0.0,0.9933333333333334,0.9867555555555556,0.0,10,5100,0.0
0.9966666666666667,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.995,0.9900500000000001,0.0,11,5100,0.0
0.9833333333333333,0.9866666666666667,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.0,0.985,0.97045,0.0,12,5100,0.0
0.9833333333333333,1.0,0.0,1.0,0.0,0.0,0.9916666666666667,0.9834722222222223,0.0,13,5100,0.0
0.9966666666666667,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.995,0.9900500000000001,0.0,14,5100,0.0
0.9766666666666667,1.0,0.0,1.0,0.0,0.0,0.9883333333333333,0.9769388888888888,0.0,15,5100,0.0
0.9833333333333333,0.9866666666666667,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.0,0.985,0.97045,0.0,16,5100,0.0
0.9966666666666667,1.0,0.0,1.0,0.0,0.0,0.9983333333333333,0.9966722222222222,0.0,17,5100,0.0
0.9966666666666667,1.0,0.0,1.0,0.0,0.0,0.9983333333333333,0.9966722222222222,0.0,18,5100,0.0
0.99,0.9866666666666667,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.0,0.9883333333333333,0.9769388888888888,0.0,19,5100,0.0
0.99,0.9866666666666667,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.0,0.9883333333333333,0.9769388888888888,0.0,20,5100,0.0
0.9933333333333333,1.0,0.0,1.0,0.0,0.0,0.9966666666666666,0.9933555555555553,0.0,21,5100,0.0
0.9933333333333333,0.9733333333333334,0.02666666666666667,0.9733333333333334,0.02666666666666667,0.0,0.9833333333333334,0.9672222222222224,0.0,22,5100,0.0
0.9833333333333333,0.98,0.02,0.98,0.02,0.0,0.9816666666666667,0.9640055555555556,0.0,23,5100,0.0
0.9833333333333333,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9883333333333333,0.9769388888888888,0.0,24,5100,0.0
0.9933333333333333,1.0,0.0,1.0,0.0,0.0,0.9966666666666666,0.9933555555555553,0.0,25,5100,0.0
0.99,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9916666666666667,0.9834722222222223,0.0,26,5100,0.0
0.99,0.9866666666666667,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.0,0.9883333333333333,0.9769388888888888,0.0,27,5100,0.0
0.99,1.0,0.0,1.0,0.0,0.0,0.995,0.9900500000000001,0.0,28,5100,0.0
0.99,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9916666666666667,0.9834722222222223,0.0,29,5100,0.0
0.9933333333333333,0.9866666666666667,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.0,0.99,0.9802,0.0,30,5100,0.0
0.9866666666666667,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.99,0.9802,0.0,31,5100,0.0
0.98,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9866666666666666,0.9736888888888888,0.0,32,5100,0.0
0.99,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9916666666666667,0.9834722222222223,0.0,33,5100,0.0
0.9966666666666667,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.995,0.9900500000000001,0.0,34,5100,0.0
0.9766666666666667,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.985,0.97045,0.0,35,5100,0.0
0.99,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9916666666666667,0.9834722222222223,0.0,36,5100,0.0
0.98,0.9866666666666667,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.0,0.9833333333333334,0.9672222222222224,0.0,37,5100,0.0
0.9833333333333333,1.0,0.0,1.0,0.0,0.0,0.9916666666666667,0.9834722222222223,0.0,38,5100,0.0
0.9966666666666667,1.0,0.0,1.0,0.0,0.0,0.9983333333333333,0.9966722222222222,0.0,39,5100,0.0
0.9966666666666667,1.0,0.0,1.0,0.0,0.0,0.9983333333333333,0.9966722222222222,0.0,40,5100,0.0
0.9666666666666667,1.0,0.0,1.0,0.0,0.0,0.9833333333333334,0.9672222222222224,0.0,41,5100,0.0
0.9933333333333333,1.0,0.0,1.0,0.0,0.0,0.9966666666666666,0.9933555555555553,0.0,42,5100,0.0
0.9966666666666667,0.9666666666666667,0.03333333333333333,0.9666666666666667,0.03333333333333333,0.0,0.9816666666666667,0.9640055555555556,0.0,43,5100,0.0
0.9866666666666667,1.0,0.0,1.0,0.0,0.0,0.9933333333333334,0.9867555555555556,0.0,44,5100,0.0
0.9933333333333333,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9933333333333333,0.9867555555555554,0.0,45,5100,0.0
0.99,0.98,0.02,0.98,0.02,0.0,0.985,0.97045,0.0,46,5100,0.0
0.9766666666666667,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.985,0.97045,0.0,47,5100,0.0
0.9833333333333333,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9883333333333333,0.9769388888888888,0.0,48,5100,0.0
1.0,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9966666666666666,0.9933555555555553,0.0,49,5100,0.0
0.9866666666666667,0.9866666666666667,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.0,0.9866666666666667,0.973688888888889,0.0,50,5100,0.0
0.9833333333333333,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9883333333333333,0.9769388888888888,0.0,51,5100,0.0
0.9766666666666667,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.985,0.97045,0.0,52,5100,0.0
0.9833333333333333,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9883333333333333,0.9769388888888888,0.0,53,5100,0.0
0.99,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9916666666666667,0.9834722222222223,0.0,54,5100,0.0
0.9866666666666667,0.9866666666666667,0.013333333333333334,0.9866666666666667,0.013333333333333334,0.0,0.9866666666666667,0.973688888888889,0.0,55,5100,0.0
0.9866666666666667,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.99,0.9802,0.0,56,5100,0.0
0.99,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,0.0,0.9916666666666667,0.9834722222222223,0.0,57,5100,0.0
