scenario,step,abm_L_A_mean,abm_L_A_std,abm_u_A_mean,abm_merchant_A_mean,ode_L_A
中等网络效应,0,0.8,0.0,0.8,0.8,0.8
中等网络效应,1,0.7044583333333333,0.050197544388582184,0.7172499999999999,0.6916666666666667,0.7197172964916017
中等网络效应,2,0.6437916666666667,0.08444703714952548,0.6459166666666667,0.6416666666666667,0.6631726021361566
中等网络效应,3,0.6015833333333334,0.10565524884829622,0.6015,0.6016666666666667,0.6221112232495565
中等网络效应,4,0.5877916666666666,0.10128361688274456,0.5805833333333333,0.5950000000000001,0.5917746445335573
中等网络效应,5,0.5575,0.10327346940409536,0.5683333333333334,0.5466666666666666,0.569141432806712
中等网络效应,6,0.5525833333333333,0.09944345849165549,0.5368333333333334,0.5683333333333334,0.5521613336918956
中等网络效应,7,0.5635416666666667,0.09318483863965667,0.5504166666666667,0.5766666666666667,0.5393819479814704
中等网络效应,8,0.5770416666666667,0.11965579375811707,0.5607500000000001,0.5933333333333334,0.5297466814809724
中等网络效应,9,0.5669583333333333,0.08916016398568379,0.5705833333333333,0.5633333333333332,0.5224744831632205
中等网络效应,10,0.5319583333333333,0.07830964960504146,0.5505833333333333,0.5133333333333333,0.5169825843789153
中等网络效应,11,0.49795833333333334,0.08327191342879034,0.5125833333333333,0.48333333333333334,0.5128337515565483
中等网络效应,12,0.48454166666666665,0.09553923826810938,0.4990833333333333,0.47,0.5096989302805225
中等网络效应,13,0.4785833333333333,0.10550868842580374,0.4888333333333333,0.4683333333333334,0.5073300306692498
中等网络效应,14,0.474125,0.09962004865903043,0.4765833333333333,0.4716666666666667,0.5055398049198248
中等网络效应,15,0.47679166666666667,0.10425416727247962,0.4769166666666667,0.4766666666666667,0.5041868458240648
中等网络效应,16,0.4693333333333333,0.09735330107338455,0.48033333333333333,0.4583333333333333,0.503164328823151
中等网络效应,17,0.47404166666666664,0.10152855644097629,0.47475,0.47333333333333333,0.5023915387509804
中等网络效应,18,0.478125,0.10528223050612495,0.47791666666666666,0.47833333333333333,0.5018074817609297
中等网络效应,19,0.49541666666666667,0.11687071646830995,0.4841666666666667,0.5066666666666666,0.5013660641510619
中等网络效应,20,0.501375,0.10272858762543774,0.4960833333333333,0.5066666666666666,0.501032450475518
中等网络效应,21,0.5151249999999999,0.10497862569803568,0.50525,0.525,0.5007803098005958
中等网络效应,22,0.5324166666666666,0.10008721053483145,0.5148333333333334,0.55,0.500589743460105
中等网络效应,23,0.548,0.09691946977098902,0.5326666666666667,0.5633333333333332,0.5004457183917191
中等网络效应,24,0.5149583333333333,0.1057788658600747,0.5449166666666667,0.48500000000000004,0.5003368695571747
中等网络效应,25,0.5084166666666666,0.10134437562718697,0.4968333333333333,0.52,0.5002545982830245
中等网络效应,26,0.502,0.10211059335770248,0.509,0.495,0.5001924222751358
中等网络效应,27,0.5199166666666667,0.09856728695399536,0.5031666666666667,0.5366666666666667,0.5001454304379491
中等网络效应,28,0.5414166666666667,0.11055684552280796,0.5261666666666667,0.5566666666666666,0.5001099125450075
中等网络效应,29,0.5415833333333333,0.11414786110743513,0.5448333333333333,0.5383333333333333,0.5000830724423255
中等网络效应,30,0.5280833333333333,0.09182344221510043,0.5195,0.5366666666666667,0.5000627827857982
中等网络效应,31,0.5286666666666666,0.09535207747165725,0.529,0.5283333333333333,0.5000474523607031
中等网络效应,32,0.509,0.1183040173334844,0.5213333333333333,0.4966666666666667,0.5000358625055151
中等网络效应,33,0.5117499999999999,0.12912528999867293,0.5068333333333334,0.5166666666666667,0.5000271047966283
中等网络效应,34,0.5292083333333334,0.13661450110043055,0.5134166666666666,0.545,0.5000204867153996
中等网络效应,35,0.5102083333333334,0.11838400192137256,0.5254166666666666,0.49500000000000005,0.5000154813706637
中等网络效应,36,0.5135416666666667,0.11633042422588648,0.5004166666666666,0.5266666666666667,0.5000117034773502
中等网络效应,37,0.5085416666666667,0.09886973499067571,0.51875,0.4983333333333333,0.5000088439139835
中等网络效应,38,0.5153333333333333,0.08077609360974676,0.49733333333333335,0.5333333333333333,0.500006683368117
中等网络效应,39,0.5335833333333333,0.09447149573150161,0.5271666666666667,0.5399999999999999,0.5000050539736242
