step,u_A,m_A,L_A,seed,C,market_size,n_users,n_merchants
38,0.0,0.0,0.0,202691,1.0,150,100,50
39,0.0,0.0,0.0,202691,1.0,150,100,50
40,0.0,0.0,0.0,202691,1.0,150,100,50
41,0.0,0.0,0.0,202691,1.0,150,100,50
42,0.0,0.0,0.0,202691,1.0,150,100,50
43,0.0,0.0,0.0,202691,1.0,150,100,50
44,0.0,0.0,0.0,202691,1.0,150,100,50
45,0.0,0.0,0.0,202691,1.0,150,100,50
46,0.0,0.0,0.0,202691,1.0,150,100,50
47,0.0,0.0,0.0,202691,1.0,150,100,50
48,0.0,0.0,0.0,202691,1.0,150,100,50
49,0.0,0.02,0.01,202691,0.9802,150,100,50
50,0.02,0.0,0.01,202691,0.9802,150,100,50
51,0.01,0.0,0.005,202691,0.9900500000000001,150,100,50
52,0.0,0.0,0.0,202691,1.0,150,100,50
53,0.0,0.0,0.0,202691,1.0,150,100,50
54,0.0,0.04,0.02,202691,0.9607999999999999,150,100,50
55,0.0,0.0,0.0,202691,1.0,150,100,50
56,0.0,0.0,0.0,202691,1.0,150,100,50
57,0.0,0.0,0.0,202691,1.0,150,100,50
58,0.0,0.02,0.01,202691,0.9802,150,100,50
59,0.0,0.0,0.0,202691,1.0,150,100,50
60,0.0,0.0,0.0,202691,1.0,150,100,50
0,0.5,0.5,0.5,202692,0.5,150,100,50
1,0.72,0.7,0.71,202692,0.5882000000000001,150,100,50
2,1.0,0.96,0.98,202692,0.9607999999999999,150,100,50
3,1.0,1.0,1.0,202692,1.0,150,100,50
4,0.99,1.0,0.995,202692,0.9900500000000001,150,100,50
5,1.0,1.0,1.0,202692,1.0,150,100,50
6,1.0,1.0,1.0,202692,1.0,150,100,50
7,0.98,1.0,0.99,202692,0.9802,150,100,50
8,1.0,1.0,1.0,202692,1.0,150,100,50
9,1.0,1.0,1.0,202692,1.0,150,100,50
10,0.99,1.0,0.995,202692,0.9900500000000001,150,100,50
11,1.0,1.0,1.0,202692,1.0,150,100,50
12,1.0,1.0,1.0,202692,1.0,150,100,50
13,1.0,1.0,1.0,202692,1.0,150,100,50
14,1.0,1.0,1.0,202692,1.0,150,100,50
15,1.0,0.98,0.99,202692,0.9802,150,100,50
16,0.99,0.98,0.985,202692,0.97045,150,100,50
17,0.99,1.0,0.995,202692,0.9900500000000001,150,100,50
18,1.0,1.0,1.0,202692,1.0,150,100,50
19,1.0,1.0,1.0,202692,1.0,150,100,50
20,1.0,1.0,1.0,202692,1.0,150,100,50
21,1.0,1.0,1.0,202692,1.0,150,100,50
22,1.0,1.0,1.0,202692,1.0,150,100,50
23,1.0,1.0,1.0,202692,1.0,150,100,50
24,1.0,1.0,1.0,202692,1.0,150,100,50
25,1.0,0.96,0.98,202692,0.9607999999999999,150,100,50
26,0.99,0.98,0.985,202692,0.97045,150,100,50
27,1.0,1.0,1.0,202692,1.0,150,100,50
28,1.0,1.0,1.0,202692,1.0,150,100,50
29,1.0,1.0,1.0,202692,1.0,150,100,50
30,1.0,1.0,1.0,202692,1.0,150,100,50
31,1.0,1.0,1.0,202692,1.0,150,100,50
32,1.0,1.0,1.0,202692,1.0,150,100,50
33,1.0,1.0,1.0,202692,1.0,150,100,50
34,1.0,1.0,1.0,202692,1.0,150,100,50
35,1.0,0.98,0.99,202692,0.9802,150,100,50
36,0.98,1.0,0.99,202692,0.9802,150,100,50
37,1.0,1.0,1.0,202692,1.0,150,100,50
38,1.0,1.0,1.0,202692,1.0,150,100,50
39,1.0,1.0,1.0,202692,1.0,150,100,50
40,1.0,1.0,1.0,202692,1.0,150,100,50
41,1.0,1.0,1.0,202692,1.0,150,100,50
42,0.99,1.0,0.995,202692,0.9900500000000001,150,100,50
43,0.99,1.0,0.995,202692,0.9900500000000001,150,100,50
44,1.0,1.0,1.0,202692,1.0,150,100,50
45,1.0,1.0,1.0,202692,1.0,150,100,50
46,1.0,1.0,1.0,202692,1.0,150,100,50
47,1.0,1.0,1.0,202692,1.0,150,100,50
48,1.0,1.0,1.0,202692,1.0,150,100,50
49,1.0,1.0,1.0,202692,1.0,150,100,50
50,1.0,1.0,1.0,202692,1.0,150,100,50
51,1.0,1.0,1.0,202692,1.0,150,100,50
52,1.0,1.0,1.0,202692,1.0,150,100,50
53,1.0,1.0,1.0,202692,1.0,150,100,50
54,1.0,1.0,1.0,202692,1.0,150,100,50
55,1.0,1.0,1.0,202692,1.0,150,100,50
56,1.0,1.0,1.0,202692,1.0,150,100,50
57,1.0,1.0,1.0,202692,1.0,150,100,50
58,1.0,1.0,1.0,202692,1.0,150,100,50
59,1.0,1.0,1.0,202692,1.0,150,100,50
60,1.0,1.0,1.0,202692,1.0,150,100,50
0,0.5,0.5,0.5,202693,0.5,150,100,50
1,0.73,0.78,0.755,202693,0.63005,150,100,50
2,0.99,1.0,0.995,202693,0.9900500000000001,150,100,50
3,1.0,1.0,1.0,202693,1.0,150,100,50
4,1.0,0.98,0.99,202693,0.9802,150,100,50
5,0.99,1.0,0.995,202693,0.9900500000000001,150,100,50
6,1.0,1.0,1.0,202693,1.0,150,100,50
7,1.0,1.0,1.0,202693,1.0,150,100,50
8,1.0,1.0,1.0,202693,1.0,150,100,50
9,1.0,1.0,1.0,202693,1.0,150,100,50
10,0.99,1.0,0.995,202693,0.9900500000000001,150,100,50
11,1.0,1.0,1.0,202693,1.0,150,100,50
12,1.0,1.0,1.0,202693,1.0,150,100,50
13,1.0,1.0,1.0,202693,1.0,150,100,50
14,1.0,1.0,1.0,202693,1.0,150,100,50
15,1.0,1.0,1.0,202693,1.0,150,100,50
16,1.0,1.0,1.0,202693,1.0,150,100,50
17,1.0,1.0,1.0,202693,1.0,150,100,50
18,1.0,1.0,1.0,202693,1.0,150,100,50
19,1.0,1.0,1.0,202693,1.0,150,100,50
20,0.99,1.0,0.995,202693,0.9900500000000001,150,100,50
21,1.0,1.0,1.0,202693,1.0,150,100,50
22,1.0,1.0,1.0,202693,1.0,150,100,50
23,1.0,1.0,1.0,202693,1.0,150,100,50
24,1.0,1.0,1.0,202693,1.0,150,100,50
25,1.0,1.0,1.0,202693,1.0,150,100,50
26,0.99,1.0,0.995,202693,0.9900500000000001,150,100,50
27,1.0,1.0,1.0,202693,1.0,150,100,50
28,1.0,1.0,1.0,202693,1.0,150,100,50
29,1.0,0.98,0.99,202693,0.9802,150,100,50
30,0.98,1.0,0.99,202693,0.9802,150,100,50
31,1.0,1.0,1.0,202693,1.0,150,100,50
32,1.0,1.0,1.0,202693,1.0,150,100,50
33,1.0,1.0,1.0,202693,1.0,150,100,50
34,1.0,1.0,1.0,202693,1.0,150,100,50
35,1.0,1.0,1.0,202693,1.0,150,100,50
36,1.0,0.98,0.99,202693,0.9802,150,100,50
37,1.0,1.0,1.0,202693,1.0,150,100,50
38,1.0,1.0,1.0,202693,1.0,150,100,50
39,1.0,1.0,1.0,202693,1.0,150,100,50
40,0.99,1.0,0.995,202693,0.9900500000000001,150,100,50
41,0.99,1.0,0.995,202693,0.9900500000000001,150,100,50
42,1.0,1.0,1.0,202693,1.0,150,100,50
43,1.0,1.0,1.0,202693,1.0,150,100,50
44,1.0,1.0,1.0,202693,1.0,150,100,50
45,1.0,1.0,1.0,202693,1.0,150,100,50
46,1.0,1.0,1.0,202693,1.0,150,100,50
47,0.99,1.0,0.995,202693,0.9900500000000001,150,100,50
48,1.0,1.0,1.0,202693,1.0,150,100,50
49,0.99,1.0,0.995,202693,0.9900500000000001,150,100,50
50,1.0,1.0,1.0,202693,1.0,150,100,50
51,1.0,1.0,1.0,202693,1.0,150,100,50
52,1.0,0.98,0.99,202693,0.9802,150,100,50
53,1.0,1.0,1.0,202693,1.0,150,100,50
54,0.99,1.0,0.995,202693,0.9900500000000001,150,100,50
55,0.99,1.0,0.995,202693,0.9900500000000001,150,100,50
56,1.0,1.0,1.0,202693,1.0,150,100,50
57,1.0,1.0,1.0,202693,1.0,150,100,50
58,1.0,1.0,1.0,202693,1.0,150,100,50
59,1.0,1.0,1.0,202693,1.0,150,100,50
60,1.0,1.0,1.0,202693,1.0,150,100,50
0,0.5,0.5,0.5,202694,0.5,150,100,50
1,0.24,0.3,0.27,202694,0.6057999999999999,150,100,50
2,0.04,0.02,0.03,202694,0.9418,150,100,50
3,0.0,0.0,0.0,202694,1.0,150,100,50
4,0.0,0.0,0.0,202694,1.0,150,100,50
5,0.0,0.0,0.0,202694,1.0,150,100,50
6,0.0,0.0,0.0,202694,1.0,150,100,50
7,0.0,0.02,0.01,202694,0.9802,150,100,50
8,0.01,0.0,0.005,202694,0.9900500000000001,150,100,50
9,0.0,0.0,0.0,202694,1.0,150,100,50
10,0.0,0.0,0.0,202694,1.0,150,100,50
11,0.0,0.0,0.0,202694,1.0,150,100,50
12,0.02,0.0,0.01,202694,0.9802,150,100,50
