step,u_A,m_A,L_A,seed,C,market_size,n_users,n_merchants
13,0.01,0.0,0.005,202694,0.9900500000000001,150,100,50
14,0.0,0.0,0.0,202694,1.0,150,100,50
15,0.0,0.0,0.0,202694,1.0,150,100,50
16,0.0,0.0,0.0,202694,1.0,150,100,50
17,0.0,0.0,0.0,202694,1.0,150,100,50
18,0.01,0.0,0.005,202694,0.9900500000000001,150,100,50
19,0.0,0.0,0.0,202694,1.0,150,100,50
20,0.0,0.0,0.0,202694,1.0,150,100,50
21,0.0,0.0,0.0,202694,1.0,150,100,50
22,0.0,0.0,0.0,202694,1.0,150,100,50
23,0.0,0.0,0.0,202694,1.0,150,100,50
24,0.0,0.0,0.0,202694,1.0,150,100,50
25,0.01,0.0,0.005,202694,0.9900500000000001,150,100,50
26,0.0,0.0,0.0,202694,1.0,150,100,50
27,0.0,0.0,0.0,202694,1.0,150,100,50
28,0.0,0.0,0.0,202694,1.0,150,100,50
29,0.0,0.0,0.0,202694,1.0,150,100,50
30,0.0,0.0,0.0,202694,1.0,150,100,50
31,0.0,0.0,0.0,202694,1.0,150,100,50
32,0.0,0.0,0.0,202694,1.0,150,100,50
33,0.01,0.02,0.015,202694,0.97045,150,100,50
34,0.0,0.0,0.0,202694,1.0,150,100,50
35,0.01,0.0,0.005,202694,0.9900500000000001,150,100,50
36,0.0,0.0,0.0,202694,1.0,150,100,50
37,0.0,0.0,0.0,202694,1.0,150,100,50
38,0.01,0.0,0.005,202694,0.9900500000000001,150,100,50
39,0.0,0.0,0.0,202694,1.0,150,100,50
40,0.0,0.0,0.0,202694,1.0,150,100,50
41,0.01,0.0,0.005,202694,0.9900500000000001,150,100,50
42,0.0,0.02,0.01,202694,0.9802,150,100,50
43,0.0,0.0,0.0,202694,1.0,150,100,50
44,0.0,0.0,0.0,202694,1.0,150,100,50
45,0.0,0.0,0.0,202694,1.0,150,100,50
46,0.0,0.0,0.0,202694,1.0,150,100,50
47,0.0,0.0,0.0,202694,1.0,150,100,50
48,0.0,0.0,0.0,202694,1.0,150,100,50
49,0.0,0.02,0.01,202694,0.9802,150,100,50
50,0.0,0.0,0.0,202694,1.0,150,100,50
51,0.01,0.0,0.005,202694,0.9900500000000001,150,100,50
52,0.01,0.0,0.005,202694,0.9900500000000001,150,100,50
53,0.01,0.0,0.005,202694,0.9900500000000001,150,100,50
54,0.0,0.0,0.0,202694,1.0,150,100,50
55,0.0,0.0,0.0,202694,1.0,150,100,50
56,0.0,0.0,0.0,202694,1.0,150,100,50
57,0.0,0.0,0.0,202694,1.0,150,100,50
58,0.0,0.0,0.0,202694,1.0,150,100,50
59,0.0,0.02,0.01,202694,0.9802,150,100,50
60,0.01,0.0,0.005,202694,0.9900500000000001,150,100,50
0,0.5,0.5,0.5,202695,0.5,150,100,50
1,0.32,0.3,0.31,202695,0.5721999999999999,150,100,50
2,0.01,0.02,0.015,202695,0.97045,150,100,50
3,0.02,0.0,0.01,202695,0.9802,150,100,50
4,0.0,0.0,0.0,202695,1.0,150,100,50
5,0.0,0.0,0.0,202695,1.0,150,100,50
6,0.01,0.02,0.015,202695,0.97045,150,100,50
7,0.0,0.0,0.0,202695,1.0,150,100,50
8,0.0,0.0,0.0,202695,1.0,150,100,50
9,0.0,0.0,0.0,202695,1.0,150,100,50
10,0.0,0.0,0.0,202695,1.0,150,100,50
11,0.0,0.0,0.0,202695,1.0,150,100,50
12,0.0,0.0,0.0,202695,1.0,150,100,50
13,0.01,0.0,0.005,202695,0.9900500000000001,150,100,50
14,0.0,0.0,0.0,202695,1.0,150,100,50
15,0.0,0.0,0.0,202695,1.0,150,100,50
16,0.0,0.0,0.0,202695,1.0,150,100,50
17,0.0,0.0,0.0,202695,1.0,150,100,50
18,0.01,0.02,0.015,202695,0.97045,150,100,50
19,0.0,0.0,0.0,202695,1.0,150,100,50
20,0.0,0.0,0.0,202695,1.0,150,100,50
21,0.0,0.0,0.0,202695,1.0,150,100,50
22,0.0,0.0,0.0,202695,1.0,150,100,50
23,0.0,0.0,0.0,202695,1.0,150,100,50
24,0.0,0.0,0.0,202695,1.0,150,100,50
25,0.0,0.0,0.0,202695,1.0,150,100,50
26,0.01,0.0,0.005,202695,0.9900500000000001,150,100,50
27,0.0,0.0,0.0,202695,1.0,150,100,50
28,0.0,0.0,0.0,202695,1.0,150,100,50
29,0.0,0.02,0.01,202695,0.9802,150,100,50
30,0.0,0.0,0.0,202695,1.0,150,100,50
31,0.0,0.0,0.0,202695,1.0,150,100,50
32,0.01,0.0,0.005,202695,0.9900500000000001,150,100,50
33,0.01,0.02,0.015,202695,0.97045,150,100,50
34,0.0,0.0,0.0,202695,1.0,150,100,50
35,0.0,0.02,0.01,202695,0.9802,150,100,50
36,0.0,0.0,0.0,202695,1.0,150,100,50
37,0.0,0.0,0.0,202695,1.0,150,100,50
38,0.01,0.0,0.005,202695,0.9900500000000001,150,100,50
39,0.0,0.0,0.0,202695,1.0,150,100,50
40,0.0,0.0,0.0,202695,1.0,150,100,50
41,0.01,0.0,0.005,202695,0.9900500000000001,150,100,50
42,0.0,0.0,0.0,202695,1.0,150,100,50
43,0.0,0.0,0.0,202695,1.0,150,100,50
44,0.0,0.0,0.0,202695,1.0,150,100,50
45,0.0,0.0,0.0,202695,1.0,150,100,50
46,0.0,0.0,0.0,202695,1.0,150,100,50
47,0.0,0.02,0.01,202695,0.9802,150,100,50
