subsidy,final_L_mean,final_L_std,concentration_mean,lock_A_probability,lock_B_probability,coexist_probability,time_to_L_0_6_mean,success_probability
0.0,0.0025,0.0014559818133945469,0.9950165277777778,0.0,1.0,0.0,,0.0
0.15,0.0030833333333333333,0.0014074779401634628,0.9938561111111112,0.0,1.0,0.0,,0.0
0.3,0.004041666666666667,0.0016943965097236664,0.9919547916666666,0.0,1.0,0.0,,0.0
0.45,0.005333333333333334,0.0019571431620413328,0.9893974999999999,0.0,1.0,0.0,,0.0
0.6,0.007583333333333333,0.0025058411294577054,0.9849602777777777,0.0,1.0,0.0,,0.0
0.8,0.4565,0.5031904496857733,0.9848656944444445,0.45,0.55,0.0,2.4444444444444446,0.45
1.0,0.9996666666666666,0.0008289357652581074,0.9993348611111111,1.0,0.0,0.0,1.1,1.0
