u0,m0,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability
0.25,0.05,0.023076923076923078,0.009605257825197003,0.9550865384615385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.25,0.1,0.0225,0.009298419444892493,0.9561767751479289,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.25,0.15,0.021826923076923077,0.010007685461508112,0.9574892751479289,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.25,0.2,0.022211538461538463,0.009933502824062235,0.9567511094674556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.25,0.25,0.021634615384615384,0.009167185701074346,0.9578265532544379,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.25,0.3,0.02076923076923077,0.008477166282322039,0.9594607988165681,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.25,0.35,0.01980769230769231,0.007992619610252633,0.9612906804733727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.25,0.4,0.06759615384615385,0.21687533123010883,0.9633125,0.05,4.0,0.0,0.0,0.0,0.05,0.95,0.0
0.25,0.45,0.8871153846153847,0.296572276568294,0.9668313609467457,0.9,2.611111111111111,0.0,0.0,0.0,0.9,0.1,0.0
0.25,0.5,0.984423076923077,0.006944972124316724,0.969423076923077,1.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0
0.3,0.05,0.02298076923076923,0.009715571175375167,0.9552740384615385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.1,0.022403846153846156,0.00936464574062466,0.9563627958579882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.15,0.02173076923076923,0.010062479991604395,0.9576752958579882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.2,0.022115384615384617,0.00999260081289737,0.9569371301775147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.25,0.02153846153846154,0.009224863157808169,0.958012573964497,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.3,0.020673076923076926,0.008529242387721316,0.9596468195266272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
