multi_home_cost,rho,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability
0.0,0.3,0.5596466666666666,0.2487094071529044,0.6283539333333333,0.7,7.457142857142857,0.0,0.0,0.5505333333333333,0.0,0.24,0.76
0.0,0.4,0.5871733333333333,0.247684627213364,0.6354398222222223,0.7,6.0285714285714285,0.0,0.0,0.5505333333333333,0.08,0.08,0.84
0.0,0.5,0.6147,0.24668612949507474,0.6455861111111112,0.7,4.428571428571429,0.0,0.0,0.5505333333333333,0.16,0.02,0.82
0.0,0.6,0.6422266666666667,0.24571423440383375,0.6587928,0.7,2.857142857142857,0.0,0.0,0.5505333333333333,0.36,0.0,0.64
0.0,0.7,0.6697533333333334,0.2447692588296725,0.6750598888888889,0.7,1.837837837837838,0.0,0.0,0.5505333333333333,0.54,0.0,0.46
0.05,0.3,0.5929800000000001,0.25894799738842145,0.6487165288888889,0.74,5.783783783783784,0.0,0.0,0.5065333333333334,0.04,0.22,0.74
0.05,0.4,0.6183066666666667,0.2583149024805526,0.6587770488888889,0.74,4.864864864864865,0.0,0.0,0.5065333333333334,0.14,0.16,0.7
0.05,0.5,0.6436333333333333,0.25770236527881313,0.6714256666666667,0.74,3.8378378378378377,0.0,0.0,0.5065333333333334,0.34,0.1,0.56
0.05,0.6,0.66896,0.2571105327125788,0.6866623822222222,0.74,2.6216216216216215,0.0,0.0,0.5065333333333334,0.52,0.0,0.48
0.05,0.7,0.6942866666666667,0.2565395480776622,0.7044871955555556,0.74,1.6842105263157894,0.0,0.0,0.5065333333333334,0.66,0.0,0.34
0.1,0.3,0.6316533333333333,0.2643280528935309,0.6716090666666666,0.78,5.615384615384615,0.0,0.0,0.4614666666666667,0.16,0.22,0.62
0.1,0.4,0.6547266666666667,0.26372669913517416,0.6842021555555555,0.78,4.82051282051282,0.0,0.0,0.4614666666666667,0.34,0.22,0.44
0.1,0.5,0.6778,0.2631460713658546,0.6989475555555554,0.78,4.0256410256410255,0.0,0.0,0.4614666666666667,0.52,0.12,0.36
0.1,0.6,0.7008733333333333,0.26258630707280134,0.7158452666666666,0.78,3.076923076923077,0.0,0.0,0.4614666666666667,0.72,0.06,0.22
0.1,0.7,0.7239466666666666,0.26204753995654856,0.7348952888888889,0.78,1.925,0.0,0.0,0.4614666666666667,0.78,0.0,0.22
0.15,0.3,0.6428066666666666,0.27315041241128213,0.6870253377777777,0.78,4.641025641025641,0.0,0.0,0.4336,0.32,0.22,0.46
0.15,0.4,0.6644866666666667,0.2724775487225014,0.6996299955555556,0.78,4.128205128205129,0.0,0.0,0.4336,0.5,0.22,0.28
0.15,0.5,0.6861666666666667,0.27182599351110504,0.7141392222222223,0.78,3.4871794871794872,0.0,0.0,0.4336,0.62,0.18,0.2
0.15,0.6,0.7078466666666666,0.27119590035965163,0.7305530177777778,0.78,2.6666666666666665,0.0,0.0,0.4336,0.78,0.1,0.12
0.15,0.7,0.7295266666666668,0.27058741919862317,0.7488713822222222,0.78,1.85,0.0,0.0,0.4336,0.78,0.02,0.2
0.2,0.3,0.6378533333333334,0.2940069735548227,0.7074296800000001,0.76,4.368421052631579,0.0,0.0,0.39946666666666664,0.44,0.24,0.32
0.2,0.4,0.6578266666666667,0.2935473727447607,0.718711831111111,0.76,3.9210526315789473,0.0,0.0,0.39946666666666664,0.56,0.24,0.2
0.2,0.5,0.6778,0.29310393008658137,0.7316091111111112,0.76,3.4210526315789473,0.0,0.0,0.39946666666666664,0.76,0.24,0.0
0.2,0.6,0.6977733333333334,0.29267671902529324,0.74612152,0.76,2.6315789473684212,0.0,0.0,0.39946666666666664,0.76,0.18,0.06
0.2,0.7,0.7177466666666666,0.29226581073910124,0.7622490577777777,0.76,2.0,0.0,0.0,0.39946666666666664,0.76,0.12,0.12
0.3,0.3,0.7125333333333334,0.26422134780316414,0.72717416,0.84,3.9761904761904763,0.0,0.0,0.34600000000000003,0.72,0.16,0.12
0.3,0.4,0.7298333333333333,0.2637164031110717,0.7419575511111112,0.84,3.6904761904761907,0.0,0.0,0.34600000000000003,0.8,0.16,0.04
0.3,0.5,0.7471333333333334,0.2632289123889325,0.7579571111111112,0.84,3.1666666666666665,0.0,0.0,0.34600000000000003,0.84,0.16,0.0
