multi_home_cost,rho,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
0.0,0.4,6300,0.7709999999999999,0.646882,coexist,1.0,3.0,0.0,0.0,0.5133333333333333
0.0,0.4,6301,0.65,0.545,coexist,1.0,7.0,0.0,0.0,0.6333333333333333
0.0,0.4,6302,0.7686666666666667,0.6443635555555556,coexist,1.0,15.0,0.0,0.0,0.5266666666666666
0.0,0.4,6303,0.728,0.6039680000000001,coexist,1.0,5.0,0.0,0.0,0.6066666666666667
0.0,0.4,6304,0.817,0.7009779999999999,A_lock,1.0,4.0,0.0,0.0,0.4266666666666667
0.0,0.4,6305,0.19733333333333333,0.6832142222222222,B_lock,0.0,,0.0,0.0,0.5533333333333333
0.0,0.4,6306,0.8180000000000001,0.702248,A_lock,1.0,3.0,0.0,0.0,0.44
0.0,0.4,6307,0.722,0.598568,coexist,1.0,5.0,0.0,0.0,0.5933333333333334
0.0,0.4,6308,0.7213333333333334,0.597976888888889,coexist,1.0,13.0,0.0,0.0,0.5733333333333334
0.0,0.4,6309,0.20600000000000002,0.6728720000000001,coexist,0.0,,0.0,0.0,0.5466666666666666
0.0,0.4,6310,0.704,0.583232,coexist,1.0,4.0,0.0,0.0,0.62
0.0,0.4,6311,0.7553333333333334,0.6303902222222224,coexist,1.0,6.0,0.0,0.0,0.5933333333333334
0.0,0.4,6312,0.21266666666666667,0.6651208888888889,coexist,0.0,,0.0,0.0,0.6133333333333333
0.0,0.4,6313,0.22833333333333333,0.6476055555555557,coexist,0.0,,0.0,0.0,0.6333333333333333
0.0,0.4,6314,0.21666666666666667,0.6605555555555556,coexist,0.0,,0.0,0.0,0.5666666666666667
0.0,0.4,6315,0.7363333333333334,0.611706888888889,coexist,1.0,7.0,0.0,0.0,0.54
0.0,0.4,6316,0.7563333333333333,0.6314135555555556,coexist,1.0,4.0,0.0,0.0,0.54
0.0,0.4,6317,0.7053333333333334,0.5843235555555556,coexist,1.0,4.0,0.0,0.0,0.5933333333333334
0.0,0.4,6318,0.182,0.7022480000000001,B_lock,0.0,,0.0,0.0,0.56
0.0,0.4,6319,0.7416666666666667,0.6168055555555556,coexist,1.0,4.0,0.0,0.0,0.5666666666666667
0.0,0.4,6320,0.7070000000000001,0.585698,coexist,1.0,9.0,0.0,0.0,0.5933333333333334
0.0,0.4,6321,0.20433333333333337,0.6748375555555555,coexist,0.0,,0.0,0.0,0.58
0.0,0.4,6322,0.7363333333333333,0.6117068888888888,coexist,1.0,5.0,0.0,0.0,0.5733333333333334
0.0,0.4,6323,0.7353333333333334,0.6107635555555555,coexist,1.0,5.0,0.0,0.0,0.5933333333333334
0.0,0.4,6324,0.8046666666666666,0.6856435555555556,A_lock,1.0,2.0,0.0,0.0,0.47333333333333333
0.0,0.4,6325,0.22366666666666668,0.6527202222222221,coexist,0.0,,0.0,0.0,0.6266666666666667
0.0,0.4,6326,0.7443333333333333,0.6193975555555555,coexist,1.0,5.0,0.0,0.0,0.5133333333333333
0.0,0.4,6327,0.6676666666666666,0.5562242222222222,coexist,1.0,6.0,0.0,0.0,0.58
0.0,0.4,6328,0.7723333333333333,0.6483308888888888,coexist,1.0,4.0,0.0,0.0,0.5533333333333333
0.0,0.4,6329,0.7016666666666667,0.5813388888888888,coexist,1.0,10.0,0.0,0.0,0.5333333333333333
0.0,0.4,6330,0.7903333333333333,0.6685868888888888,coexist,1.0,4.0,0.0,0.0,0.46
0.0,0.4,6331,0.7516666666666667,0.6266722222222223,coexist,1.0,4.0,0.0,0.0,0.5
0.0,0.4,6332,0.21966666666666668,0.6571735555555556,coexist,0.0,,0.0,0.0,0.5733333333333334
0.0,0.4,6333,0.16466666666666668,0.7248968888888887,B_lock,0.0,,0.0,0.0,0.5066666666666667
0.0,0.4,6334,0.784,0.6613120000000001,coexist,1.0,2.0,0.0,0.0,0.4533333333333333
0.0,0.4,6335,0.804,0.6848320000000001,A_lock,1.0,9.0,0.0,0.0,0.4533333333333333
0.0,0.4,6336,0.7693333333333333,0.6450808888888888,coexist,1.0,18.0,0.0,0.0,0.48
0.0,0.4,6337,0.7303333333333334,0.606106888888889,coexist,1.0,9.0,0.0,0.0,0.6266666666666667
0.0,0.4,6338,0.7010000000000001,0.580802,coexist,1.0,3.0,0.0,0.0,0.5466666666666666
0.0,0.4,6339,0.7656666666666667,0.6411575555555555,coexist,1.0,4.0,0.0,0.0,0.52
0.0,0.4,6340,0.7463333333333333,0.6213602222222221,coexist,1.0,5.0,0.0,0.0,0.5733333333333334
0.0,0.4,6341,0.7113333333333334,0.5893235555555556,coexist,1.0,4.0,0.0,0.0,0.5733333333333334
0.0,0.4,6342,0.7556666666666667,0.630730888888889,coexist,1.0,4.0,0.0,0.0,0.4866666666666667
0.0,0.4,6343,0.2536666666666667,0.6213602222222221,coexist,0.0,,0.0,0.0,0.66
0.0,0.4,6344,0.2723333333333333,0.6036642222222222,coexist,0.0,,0.0,0.0,0.5866666666666667
0.0,0.4,6345,0.2783333333333333,0.5982722222222223,coexist,0.0,,0.0,0.0,0.5666666666666667
0.0,0.4,6346,0.7816666666666667,0.6586722222222223,coexist,1.0,8.0,0.0,0.0,0.5
0.0,0.4,6347,0.184,0.6997120000000001,B_lock,0.0,,0.0,0.0,0.52
0.0,0.4,6348,0.751,0.626002,coexist,1.0,7.0,0.0,0.0,0.5466666666666666
0.0,0.4,6349,0.20833333333333331,0.6701388888888891,coexist,0.0,,0.0,0.0,0.5333333333333333
0.0,0.5,6300,0.7966666666666666,0.6760222222222221,coexist,1.0,2.0,0.0,0.0,0.5133333333333333
0.0,0.5,6301,0.6816666666666666,0.5660055555555555,coexist,1.0,6.0,0.0,0.0,0.6333333333333333
0.0,0.5,6302,0.795,0.67405,coexist,1.0,12.0,0.0,0.0,0.5266666666666666
0.0,0.5,6303,0.7583333333333333,0.6334722222222222,coexist,1.0,4.0,0.0,0.0,0.6066666666666667
0.0,0.5,6304,0.8383333333333334,0.728938888888889,A_lock,1.0,3.0,0.0,0.0,0.4266666666666667
0.0,0.5,6305,0.225,0.6512500000000001,coexist,0.0,,0.0,0.0,0.5533333333333333
