u0,m0,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
0.3,0.325,6204,0.03076923076923077,0.9403550295857988,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6205,0.03076923076923077,0.9403550295857988,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6206,0.013461538461538462,0.973439349112426,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6207,0.009615384615384616,0.9809541420118344,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6208,0.015384615384615385,0.9697041420118344,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6209,0.01730769230769231,0.9659837278106509,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6210,0.013461538461538462,0.973439349112426,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6211,0.019230769230769232,0.9622781065088757,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6212,0.011538461538461539,0.9771893491124262,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6213,0.025,0.9512499999999999,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6214,0.026923076923076925,0.947603550295858,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6215,0.026923076923076925,0.947603550295858,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6216,0.019230769230769232,0.9622781065088757,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6217,0.007692307692307693,0.9847337278106509,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6218,0.023076923076923078,0.9549112426035502,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6219,0.01730769230769231,0.9659837278106509,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6220,0.013461538461538462,0.973439349112426,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6221,0.026923076923076925,0.947603550295858,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6222,0.007692307692307693,0.9847337278106509,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6223,0.03461538461538462,0.9331656804733728,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6224,0.007692307692307693,0.9847337278106509,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6225,0.011538461538461539,0.9771893491124262,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6226,0.015384615384615385,0.9697041420118344,B_lock,0.0,,0.0,0.0,0.0
0.3,0.325,6227,0.009615384615384616,0.9809541420118344,B_lock,0.0,,0.0,0.0,0.0
