multi_home_cost,rho,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability,tilted_probability
0.0,0.5,0.506625,0.04674438699477446,0.10191666666666667,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.9666666666666667,0.03333333333333333
0.2,0.5,0.509875,0.056649776683371525,0.10675,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.9,0.1
0.5,0.5,0.4812916666666667,0.06980845354813134,0.14275,0.0,0.0,0.0,0.0,0.3516666666666667,0.0,0.0,0.8666666666666667,0.13333333333333333
0.8,0.5,0.469375,0.0891680597968299,0.16491666666666668,0.0,0.0,0.0,0.0,0.22333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333
1.2,0.5,0.465375,0.09997529328409782,0.19325,0.0,0.0,0.0,0.0,0.10833333333333334,0.0,0.0,0.6,0.4
1.6,0.5,0.4715,0.09865769365458214,0.18133333333333335,0.0,0.0,0.0,0.0,0.04666666666666667,0.0,0.0,0.5666666666666667,0.43333333333333335
2.0,0.5,0.45375000000000004,0.11428658019992156,0.2105,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.5333333333333333,0.4666666666666667
