sigma,final_L_mean,final_L_std,concentration_mean,lock_A_probability,lock_B_probability,coexist_probability
0.0,0.40175,0.4887814466932832,0.97323,0.4,0.6,0.0
0.5,0.4977083333333333,0.47569630980980576,0.9299557638888889,0.5,0.5,0.0
1.0,0.4418333333333333,0.19325346202538082,0.5777258333333333,0.0,0.0,1.0
1.5,0.48291666666666666,0.03200591593706951,0.5025299999999999,0.0,0.0,1.0
2.0,0.4886666666666667,0.02909879320662408,0.5018656944444444,0.0,0.0,1.0
2.5,0.49024999999999996,0.0247429770294664,0.5013533333333333,0.0,0.0,1.0
3.0,0.4917083333333333,0.02309159710208771,0.501150625,0.0,0.0,1.0
4.0,0.4930833333333333,0.020748247301443822,0.5009136111111111,0.0,0.0,1.0
