multi_home_cost,rho,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
0.8,0.5,5424,0.38,0.24,tilted,0.0,,0.0,0.0,0.15
0.8,0.5,5425,0.5575,0.11499999999999999,coexist,0.0,,0.0,0.0,0.15
0.8,0.5,5426,0.56375,0.12750000000000006,coexist,0.0,,0.0,0.0,0.2
0.8,0.5,5427,0.41,0.18000000000000005,coexist,0.0,,0.0,0.0,0.3
0.8,0.5,5428,0.38125,0.2375,tilted,0.0,,0.0,0.0,0.15
0.8,0.5,5429,0.45499999999999996,0.09000000000000002,coexist,0.0,,0.0,0.0,0.35
1.2,0.5,5400,0.4675,0.065,coexist,0.0,,0.0,0.0,0.1
1.2,0.5,5401,0.365,0.26999999999999996,tilted,0.0,,0.0,0.0,0.0
1.2,0.5,5402,0.3625,0.275,tilted,0.0,,0.0,0.0,0.05
1.2,0.5,5403,0.5349999999999999,0.07999999999999996,coexist,0.0,,0.0,0.0,0.15
1.2,0.5,5404,0.31375000000000003,0.3725,tilted,0.0,,0.0,0.0,0.05
1.2,0.5,5405,0.495,0.06,coexist,0.0,,0.0,0.0,0.05
1.2,0.5,5406,0.4875,0.025000000000000022,coexist,0.0,,0.0,0.0,0.25
1.2,0.5,5407,0.595,0.19000000000000006,coexist,0.0,,0.0,0.0,0.1
1.2,0.5,5408,0.465,0.13,coexist,0.0,,0.0,0.0,0.1
1.2,0.5,5409,0.41875,0.16249999999999998,coexist,0.0,,0.0,0.0,0.0
1.2,0.5,5410,0.4125,0.17500000000000004,coexist,0.0,,0.0,0.0,0.2
1.2,0.5,5411,0.5875,0.17500000000000004,coexist,0.0,,0.0,0.0,0.0
1.2,0.5,5412,0.40249999999999997,0.195,coexist,0.0,,0.0,0.0,0.1
1.2,0.5,5413,0.52625,0.05249999999999999,coexist,0.0,,0.0,0.0,0.1
1.2,0.5,5414,0.4775,0.20499999999999996,tilted,0.0,,0.0,0.0,0.15
1.2,0.5,5415,0.30875,0.3825,tilted,0.0,,0.0,0.0,0.15
1.2,0.5,5416,0.57375,0.1975,coexist,0.0,,0.0,0.0,0.05
1.2,0.5,5417,0.35,0.3,tilted,0.0,,0.0,0.0,0.1
1.2,0.5,5418,0.51,0.020000000000000018,coexist,0.0,,0.0,0.0,0.1
1.2,0.5,5419,0.30375,0.3925,tilted,0.0,,0.0,0.0,0.15
1.2,0.5,5420,0.3375,0.325,tilted,0.0,,0.0,0.0,0.0
1.2,0.5,5421,0.5062500000000001,0.08750000000000002,coexist,0.0,,0.0,0.0,0.2
1.2,0.5,5422,0.65625,0.3125,tilted,0.0,,0.0,0.0,0.1
1.2,0.5,5423,0.45375,0.09250000000000003,coexist,0.0,,0.0,0.0,0.15
