u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,shortage_A,shortage_B,q_B,step,seed,period_profit_B,discounted_profit_B,period_user_subsidy_spend,period_merchant_subsidy_spend,period_quality_investment,experiment,version,removed_mechanism,strategy,strategy_label,u0,m0,budget,subsidy_policy,final_L_B,b_break_60,lock_state,b_lock,total_user_subsidy,total_merchant_subsidy,total_quality_investment,max_shortage_B,avg_shortage_B,total_spend
0.0,0.1,0.9,0.1,0.9,0.0,0.05,0.9,130.95999999999975,26.363635041322354,0.0,1.19999999999999,300,7914,8.2,166.72734407072727,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.95,1.0,B_lock,1.0,36.24,94.72000000000001,72.0,23.33333222222226,7.253327365796433,202.96
0.0,0.15,0.85,0.15,0.85,0.0,0.075,0.85,131.59999999999974,16.666665955555576,0.0,1.1999999999999844,300,7909,7.7,169.64769616723794,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.925,1.0,B_lock,1.0,36.24,95.36000000000001,72.0,29.99999840000006,7.2130575420592065,203.60000000000002
1.0,0.75,0.25,0.75,0.25,0.0,0.875,0.75,132.23999999999972,0.0,13.529411211072677,1.1999999999996729,300,7908,-0.56,155.3043119960606,0.0,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.125,0.0,tilted,0.0,36.24,96.00000000000001,72.0,29.99999840000006,7.5097263694537215,204.24
0.0,0.15,0.85,0.15,0.85,0.0,0.075,0.85,132.15999999999974,23.33333222222226,0.0,1.19999999999999,300,7911,7.7,160.56159552277506,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.925,1.0,B_lock,1.0,36.48,95.68000000000002,72.0,23.33333222222226,7.716758781847741,204.16000000000003
0.0,0.3,0.7,0.3,0.7,0.0,0.15,0.7,132.15999999999974,20.76922982248524,0.0,1.19999999999999,300,7910,6.2,160.04726820431932,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.85,1.0,tilted,0.0,36.48,95.68000000000002,72.0,26.363635041322354,7.863580445203219,204.16000000000003
0.0,0.35,0.65,0.35,0.65,0.0,0.175,0.65,132.23999999999972,39.99999750000012,0.0,1.19999999999999,300,7915,5.7,111.35309812267614,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.825,1.0,tilted,0.0,36.24,96.00000000000001,72.0,47.142853877551204,12.127834307932117,204.24
0.0,0.45,0.55,0.45,0.55,0.0,0.225,0.55,132.23999999999972,56.66666222222253,0.0,1.19999999999999,300,7914,4.7,116.50799752539577,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.775,1.0,tilted,0.0,36.24,96.00000000000001,72.0,47.142853877551204,11.58463901156126,204.24
1.0,0.4,0.6,0.4,0.6,0.0,0.7,0.6,132.23999999999972,0.0,16.666665955555576,1.19999999999999,300,7919,-0.56,126.07145957861971,0.0,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.30000000000000004,0.0,tilted,0.0,36.24,96.00000000000001,72.0,56.66666222222253,11.45568286123875,204.24
0.0,0.3,0.7,0.3,0.7,0.0,0.15,0.7,132.23999999999972,34.444442469135886,0.0,1.19999999999999,300,7916,6.2,119.46473970009932,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.85,1.0,tilted,0.0,36.24,96.00000000000001,72.0,47.142853877551204,11.8488048372067,204.24
1.0,0.3,0.7,0.3,0.7,0.0,0.65,0.7,132.23999999999972,0.0,18.571427755102068,1.19999999999999,300,7911,-0.56,113.42683183294714,0.0,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.35,0.0,tilted,0.0,36.24,96.00000000000001,72.0,39.99999750000012,11.675950069809804,204.24
1.0,0.45,0.55,0.45,0.55,0.0,0.725,0.55,132.23999999999972,0.0,26.363635041322354,1.19999999999999,300,7910,-0.56,114.18633515615727,0.0,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.275,0.0,tilted,0.0,36.24,96.00000000000001,72.0,69.99999360000052,11.786669501686601,204.24
0.0,0.3,0.7,0.3,0.7,0.0,0.15,0.7,132.23999999999972,69.99999360000052,0.0,1.19999999999999,300,7913,6.2,112.4734582914173,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.85,1.0,tilted,0.0,36.24,96.00000000000001,72.0,56.66666222222253,12.036188706669886,204.24
0.0,0.4,0.6,0.4,0.6,0.0,0.2,0.6,132.23999999999972,34.444442469135886,0.0,1.19999999999999,300,7912,5.2,117.47800132371245,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,w/o network effect,去掉双边网络效应,targeted_long_term,w/o network effect,0.8,0.8,0.8,two_sided_targeted,0.8,1.0,tilted,0.0,36.24,96.00000000000001,72.0,47.142853877551204,11.305678306382507,204.24
0.0,0.05,0.95,0.05,0.95,0.0,0.025,0.95,130.87999999999977,20.76922982248524,0.0,1.199999997217853,300,7905,8.7,168.2500105602447,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.975,1.0,B_lock,1.0,36.48,94.40000000000002,72.0,23.33333222222226,7.241708876348781,202.88000000000002
0.0,0.2,0.8,0.2,0.8,0.0,0.1,0.8,131.91999999999973,26.363635041322354,0.0,1.1999999432688118,300,7904,7.2,161.34789814867915,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,0.9,1.0,B_lock,1.0,36.24,95.68000000000002,72.0,26.363635041322354,7.5160846324537705,203.92000000000002
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,132.47999999999973,23.33333222222226,0.0,1.1999999999933095,300,7907,9.2,161.59674873794913,0.24,0.32000000000000006,0.24,optimal_strategy_ablation,Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,Full targeted long-term,0.8,0.8,0.8,two_sided_targeted,1.0,1.0,B_lock,1.0,36.48,96.00000000000001,72.0,23.33333222222226,7.469249512627913,204.48000000000002
