scenario,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability,tilted_probability,ode_L_A,mean_gap_ABM_minus_ODE
中等网络效应,0.5066666666666666,0.10651176342135377,0.18916666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5000000012878197,0.006666665378846859
弱网络效应,0.5085833333333334,0.06185245002999188,0.1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.5000000022021329,0.008583331131200467
强网络效应,0.80625,0.19903674283910497,0.7098333333333334,0.26666666666666666,6.666666666666667,0.0,0.0,0.0,0.26666666666666666,0.0,0.03333333333333333,0.7,0.8930872394389257,-0.08683723943892563
