b_u0,b_m0,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
0.05,0.25,5309,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5310,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5311,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5312,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5313,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5314,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5315,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5316,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5317,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5318,0.95,0.9,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.25,5319,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5300,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5301,0.9975,0.995,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5302,0.9975,0.995,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5303,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5304,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5305,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5306,0.94875,0.8975000000000001,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5307,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5308,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5309,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5310,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5311,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5312,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5313,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5314,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5315,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5316,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5317,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5318,0.95,0.9,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.3,5319,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5300,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5301,0.9975,0.995,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5302,0.9975,0.995,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5303,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5304,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5305,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5306,0.94875,0.8975000000000001,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5307,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5308,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5309,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5310,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5311,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5312,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5313,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5314,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5315,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5316,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5317,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5318,0.95,0.9,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.35,5319,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5300,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5301,0.9975,0.995,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5302,0.9975,0.995,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5303,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5304,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5305,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5306,0.94875,0.8975000000000001,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5307,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5308,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5309,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5310,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5311,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5312,0.975,0.95,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5313,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5314,0.97375,0.9475,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5315,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
0.05,0.4,5316,1.0,1.0,A_lock,1.0,1.0,0.0,0.0,0.0
