step,u_A,m_A,L_A,seed,C,scenario,scenario_label
60,0.9966666666666667,0.9966666666666667,0.9966666666666667,202600,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
61,1.0,1.0,1.0,202600,1.0,strong_A_adv,强网络效应，A初始略占优
62,0.9983333333333333,0.9966666666666667,0.9975,202600,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
63,0.9966666666666667,0.9966666666666667,0.9966666666666667,202600,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
64,0.9983333333333333,0.9933333333333333,0.9958333333333333,202600,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
65,1.0,1.0,1.0,202600,1.0,strong_A_adv,强网络效应，A初始略占优
66,0.9966666666666667,0.9966666666666667,0.9966666666666667,202600,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
67,0.9983333333333333,0.9966666666666667,0.9975,202600,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
68,1.0,0.9966666666666667,0.9983333333333333,202600,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
69,1.0,0.9966666666666667,0.9983333333333333,202600,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
70,1.0,1.0,1.0,202600,1.0,strong_A_adv,强网络效应，A初始略占优
71,1.0,0.99,0.995,202600,0.9900500000000001,strong_A_adv,强网络效应，A初始略占优
72,0.9983333333333333,0.9966666666666667,0.9975,202600,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
73,1.0,0.9966666666666667,0.9983333333333333,202600,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
74,0.9966666666666667,0.9966666666666667,0.9966666666666667,202600,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
75,1.0,0.9933333333333333,0.9966666666666666,202600,0.9933555555555553,strong_A_adv,强网络效应，A初始略占优
76,1.0,0.9966666666666667,0.9983333333333333,202600,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
77,0.9983333333333333,0.9966666666666667,0.9975,202600,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
78,0.995,0.9933333333333333,0.9941666666666666,202600,0.9884013888888887,strong_A_adv,强网络效应，A初始略占优
79,0.9983333333333333,1.0,0.9991666666666666,202600,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
80,0.9983333333333333,1.0,0.9991666666666666,202600,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
0,0.55,0.55,0.55,202601,0.505,strong_A_adv,强网络效应，A初始略占优
1,0.8,0.81,0.805,202601,0.68605,strong_A_adv,强网络效应，A初始略占优
2,0.9816666666666667,0.9833333333333333,0.9824999999999999,202601,0.9656124999999998,strong_A_adv,强网络效应，A初始略占优
3,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
4,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
5,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
6,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
7,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
8,0.995,1.0,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
9,0.995,1.0,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
10,0.995,1.0,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
11,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
12,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
13,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
14,0.9983333333333333,0.9933333333333333,0.9958333333333333,202601,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
15,0.9966666666666667,1.0,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
16,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
17,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
18,0.9983333333333333,0.9966666666666667,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
19,0.9983333333333333,0.9933333333333333,0.9958333333333333,202601,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
20,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
21,0.9983333333333333,0.9966666666666667,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
22,0.9966666666666667,1.0,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
23,1.0,0.9966666666666667,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
24,0.9966666666666667,0.9966666666666667,0.9966666666666667,202601,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
25,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
26,0.995,1.0,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
27,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
28,0.995,1.0,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
29,0.995,0.9966666666666667,0.9958333333333333,202601,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
30,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
31,1.0,0.9966666666666667,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
32,1.0,0.9966666666666667,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
33,1.0,0.9966666666666667,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
34,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
35,0.9966666666666667,1.0,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
36,0.9966666666666667,1.0,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
37,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
38,1.0,0.9966666666666667,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
39,0.9966666666666667,0.9933333333333333,0.995,202601,0.9900500000000001,strong_A_adv,强网络效应，A初始略占优
40,0.995,1.0,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
41,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
42,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
43,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
44,1.0,0.9966666666666667,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
45,0.9983333333333333,0.9966666666666667,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
46,0.9983333333333333,0.9966666666666667,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
47,0.9966666666666667,0.9966666666666667,0.9966666666666667,202601,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
48,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
49,0.9983333333333333,0.9966666666666667,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
50,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
51,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
52,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
53,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
54,0.9983333333333333,0.9966666666666667,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
55,1.0,0.9966666666666667,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
56,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
57,1.0,0.9966666666666667,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
58,0.9983333333333333,0.9933333333333333,0.9958333333333333,202601,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
