market_size,final_L_mean,final_L_std,concentration_mean,lock_A_probability,lock_B_probability,coexist_probability
150,0.65075,0.4872459526984833,0.9965275,0.65,0.35,0.0
750,0.69915,0.46791646521687247,0.9953185000000001,0.7,0.3,0.0
1500,0.5492,0.5084900092171765,0.9961092500000002,0.55,0.45,0.0
7500,0.400505,0.5004111830074818,0.995580079,0.4,0.6,0.0
