version,removed_mechanism,strategy,final_L_B_mean,final_L_B_std,final_user_B_mean,final_merchant_B_mean,b_break_probability,b_lock_probability,concentration_mean,discounted_profit_B_mean,discounted_profit_B_std,discounted_profit_B_min,total_spend_mean,total_user_subsidy_mean,total_merchant_subsidy_mean,total_quality_investment_mean,max_shortage_B_mean,avg_shortage_B_mean,q_B_mean,final_multi_share
Full targeted long-term,完整：针对性长期补贴+质量投资+供给惩罚,targeted_long_term,0.6875,0.35573311995311735,0.7,0.675,0.7,0.5,0.78,163.75125793914052,7.1746821192695585,147.95840471643876,203.64400000000003,36.3,95.34400000000002,72.0,25.239758800477233,7.438203274089441,1.199484300704773,0.0
w/o targeting,去掉精准规则，改为统一补贴,targeted_long_term,0.615,0.37682887362833545,0.6,0.63,0.6,0.45,0.76,157.82689075703124,7.564018017724691,141.66750361671342,240.0,72.0,96.00000000000001,72.0,26.25685274169866,7.459730604957564,1.199484300704773,0.0
replace by dynamic,长期固定配比改为动态配比,targeted_dynamic,0.52125,0.3786467420474629,0.55,0.4925,0.55,0.15,0.7325,129.56004636811642,7.905895580734366,112.912715102835,216.192,71.864,96.31200000000001,48.016000000000005,41.499598914697195,9.955366847678102,0.8005577927798718,0.0
replace by greedy,长期配比改为偏用户贪心配比,targeted_greedy,0.325,0.3628287982535362,0.4,0.25,0.4,0.0,0.78,104.43341624419858,11.565149392677336,84.24446137128584,144.73600000000002,96.73600000000002,24.000000000000004,24.000000000000004,18250055.714280453,60645.73781036753,0.4015470978856691,0.0
w/o quality investment,去掉质量投资，预算转入双边补贴,long_term_no_quality,0.4725,0.3716871208280881,0.45,0.495,0.45,0.1,0.73,152.52128183403616,6.7370398003684455,141.7943809056802,188.80571428571432,51.82285714285715,136.98285714285717,0.0,29.327931208715874,8.344555673151554,1.0,0.0
w/o supply penalty,去掉供给不足惩罚,targeted_long_term,0.8129375,0.0650610480018979,0.805875,0.82,1.0,0.05,0.625875,261.36844139589,28.987920877641017,161.66742465504134,238.352,72.0,94.35200000000002,72.0,0.0,0.0,1.199484300704773,0.0
w/o heterogeneity,去掉个体异质性,targeted_long_term,0.73125,0.34344184752528184,0.75,0.7125,0.75,0.65,0.8074999999999999,168.96978864720495,5.482786711809022,160.89098659347513,202.99200000000002,36.288,94.70400000000002,72.0,24.81487816129245,7.150736129519965,1.199484300704773,0.0
w/o network effect,去掉双边网络效应,targeted_long_term,0.5375,0.27416140079196144,0.45,0.625,0.45,0.05,0.635,115.55723946206581,5.6407596107056,102.77086110834388,204.24,36.24,96.00000000000001,72.0,51.40475804822021,11.835475816190051,1.199484300704773,0.0
