step,ode_u_A,ode_m_A,ode_L_A,scenario
19,0.8930752204784724,0.8930752204784724,0.8930752204784724,强网络效应
20,0.8930798322951368,0.8930798322951368,0.8930798322951368,强网络效应
21,0.8930826777510947,0.8930826777510947,0.8930826777510947,强网络效应
22,0.8930844280577525,0.8930844280577525,0.8930844280577525,强网络效应
23,0.8930855088295285,0.8930855088295285,0.8930855088295285,强网络效应
24,0.8930861710948905,0.8930861710948905,0.8930861710948905,强网络效应
25,0.8930865842043252,0.8930865842043252,0.8930865842043252,强网络效应
26,0.8930868329432843,0.8930868329432843,0.8930868329432843,强网络效应
27,0.8930869903109243,0.8930869903109243,0.8930869903109243,强网络效应
28,0.8930870875682244,0.8930870875682244,0.8930870875682244,强网络效应
29,0.893087143359469,0.893087143359469,0.893087143359469,强网络效应
30,0.8930871807777918,0.8930871807777918,0.8930871807777918,强网络效应
31,0.8930872054494863,0.8930872054494863,0.8930872054494863,强网络效应
32,0.8930872181258249,0.8930872181258249,0.8930872181258249,强网络效应
33,0.8930872242196431,0.8930872242196431,0.8930872242196431,强网络效应
34,0.8930872308621761,0.8930872308621761,0.8930872308621761,强网络效应
35,0.8930872360244221,0.8930872360244221,0.8930872360244221,强网络效应
36,0.8930872381506441,0.8930872381506441,0.8930872381506441,强网络效应
37,0.8930872376580336,0.8930872376580336,0.8930872376580336,强网络效应
38,0.8930872367680167,0.8930872367680167,0.8930872367680167,强网络效应
39,0.8930872384643795,0.8930872384643795,0.8930872384643795,强网络效应
40,0.893087241020841,0.893087241020841,0.893087241020841,强网络效应
41,0.893087242555692,0.893087242555692,0.893087242555692,强网络效应
42,0.8930872422549795,0.8930872422549795,0.8930872422549795,强网络效应
43,0.8930872402598028,0.8930872402598028,0.8930872402598028,强网络效应
44,0.8930872376663139,0.8930872376663139,0.8930872376663139,强网络效应
45,0.8930872365257178,0.8930872365257178,0.8930872365257178,强网络效应
46,0.8930872401361434,0.8930872401361434,0.8930872401361434,强网络效应
47,0.8930872476240131,0.8930872476240131,0.8930872476240131,强网络效应
48,0.893087253879852,0.893087253879852,0.893087253879852,强网络效应
49,0.8930872556342239,0.8930872556342239,0.8930872556342239,强网络效应
50,0.8930872516043767,0.8930872516043767,0.8930872516043767,强网络效应
51,0.8930872424942433,0.8930872424942433,0.8930872424942433,强网络效应
52,0.8930872309944405,0.8930872309944405,0.8930872309944405,强网络效应
53,0.8930872217822696,0.8930872217822696,0.8930872217822696,强网络效应
54,0.8930872215217165,0.8930872215217165,0.8930872215217165,强网络效应
55,0.8930872314096739,0.8930872314096739,0.8930872314096739,强网络效应
56,0.8930872402060638,0.8930872402060638,0.8930872402060638,强网络效应
57,0.8930872433765207,0.8930872433765207,0.8930872433765207,强网络效应
58,0.8930872401907333,0.8930872401907333,0.8930872401907333,强网络效应
59,0.8930872336629274,0.8930872336629274,0.8930872336629274,强网络效应
60,0.8930872305518655,0.8930872305518655,0.8930872305518655,强网络效应
61,0.8930872353265141,0.8930872353265141,0.8930872353265141,强网络效应
62,0.8930872399766884,0.8930872399766884,0.8930872399766884,强网络效应
63,0.893087241868215,0.893087241868215,0.893087241868215,强网络效应
64,0.8930872404730756,0.8930872404730756,0.8930872404730756,强网络效应
65,0.893087237175305,0.893087237175305,0.893087237175305,强网络效应
66,0.8930872352709902,0.8930872352709902,0.8930872352709902,强网络效应
67,0.8930872370747506,0.8930872370747506,0.8930872370747506,强网络效应
68,0.8930872383867345,0.8930872383867345,0.8930872383867345,强网络效应
69,0.8930872390552347,0.8930872390552347,0.8930872390552347,强网络效应
70,0.8930872394389257,0.8930872394389257,0.8930872394389257,强网络效应
0,0.8,0.8,0.8,中等网络效应
1,0.7197172964916017,0.7197172964916017,0.7197172964916017,中等网络效应
2,0.6631726021361566,0.6631726021361566,0.6631726021361566,中等网络效应
3,0.6221112232495565,0.6221112232495565,0.6221112232495565,中等网络效应
4,0.5917746445335573,0.5917746445335573,0.5917746445335573,中等网络效应
5,0.569141432806712,0.569141432806712,0.569141432806712,中等网络效应
6,0.5521613336918956,0.5521613336918956,0.5521613336918956,中等网络效应
7,0.5393819479814704,0.5393819479814704,0.5393819479814704,中等网络效应
8,0.5297466814809724,0.5297466814809724,0.5297466814809724,中等网络效应
9,0.5224744831632205,0.5224744831632205,0.5224744831632205,中等网络效应
10,0.5169825843789153,0.5169825843789153,0.5169825843789153,中等网络效应
11,0.5128337515565483,0.5128337515565483,0.5128337515565483,中等网络效应
12,0.5096989302805225,0.5096989302805225,0.5096989302805225,中等网络效应
13,0.5073300306692498,0.5073300306692498,0.5073300306692498,中等网络效应
14,0.5055398049198248,0.5055398049198248,0.5055398049198248,中等网络效应
15,0.5041868458240648,0.5041868458240648,0.5041868458240648,中等网络效应
16,0.503164328823151,0.503164328823151,0.503164328823151,中等网络效应
17,0.5023915387509804,0.5023915387509804,0.5023915387509804,中等网络效应
18,0.5018074817609297,0.5018074817609297,0.5018074817609297,中等网络效应
19,0.5013660641510619,0.5013660641510619,0.5013660641510619,中等网络效应
20,0.501032450475518,0.501032450475518,0.501032450475518,中等网络效应
21,0.5007803098005958,0.5007803098005958,0.5007803098005958,中等网络效应
22,0.500589743460105,0.500589743460105,0.500589743460105,中等网络效应
23,0.5004457183917191,0.5004457183917191,0.5004457183917191,中等网络效应
24,0.5003368695571747,0.5003368695571747,0.5003368695571747,中等网络效应
25,0.5002545982830245,0.5002545982830245,0.5002545982830245,中等网络效应
26,0.5001924222751358,0.5001924222751358,0.5001924222751358,中等网络效应
27,0.5001454304379491,0.5001454304379491,0.5001454304379491,中等网络效应
28,0.5001099125450075,0.5001099125450075,0.5001099125450075,中等网络效应
29,0.5000830724423255,0.5000830724423255,0.5000830724423255,中等网络效应
30,0.5000627827857982,0.5000627827857982,0.5000627827857982,中等网络效应
31,0.5000474523607031,0.5000474523607031,0.5000474523607031,中等网络效应
32,0.5000358625055151,0.5000358625055151,0.5000358625055151,中等网络效应
33,0.5000271047966283,0.5000271047966283,0.5000271047966283,中等网络效应
34,0.5000204867153996,0.5000204867153996,0.5000204867153996,中等网络效应
35,0.5000154813706637,0.5000154813706637,0.5000154813706637,中等网络效应
36,0.5000117034773502,0.5000117034773502,0.5000117034773502,中等网络效应
37,0.5000088439139835,0.5000088439139835,0.5000088439139835,中等网络效应
38,0.500006683368117,0.500006683368117,0.500006683368117,中等网络效应
39,0.5000050539736242,0.5000050539736242,0.5000050539736242,中等网络效应
40,0.5000038183048727,0.5000038183048727,0.5000038183048727,中等网络效应
41,0.5000028847128254,0.5000028847128254,0.5000028847128254,中等网络效应
42,0.5000021824994203,0.5000021824994203,0.5000021824994203,中等网络效应
43,0.5000016499609279,0.5000016499609279,0.5000016499609279,中等网络效应
44,0.5000012450596811,0.5000012450596811,0.5000012450596811,中等网络效应
45,0.5000009411526569,0.5000009411526569,0.5000009411526569,中等网络效应
46,0.5000007135218151,0.5000007135218151,0.5000007135218151,中等网络效应
47,0.5000005394526783,0.5000005394526783,0.5000005394526783,中等网络效应
48,0.5000004060717195,0.5000004060717195,0.5000004060717195,中等网络效应
49,0.5000003063795275,0.5000003063795275,0.5000003063795275,中等网络效应
50,0.5000002329136558,0.5000002329136558,0.5000002329136558,中等网络效应
51,0.5000001777312546,0.5000001777312546,0.5000001777312546,中等网络效应
52,0.500000133830203,0.500000133830203,0.500000133830203,中等网络效应
53,0.5000000998640687,0.5000000998640687,0.5000000998640687,中等网络效应
54,0.5000000748475903,0.5000000748475903,0.5000000748475903,中等网络效应
55,0.5000000571883817,0.5000000571883817,0.5000000571883817,中等网络效应
56,0.5000000447291449,0.5000000447291449,0.5000000447291449,中等网络效应
57,0.5000000347479902,0.5000000347479902,0.5000000347479902,中等网络效应
58,0.5000000257341182,0.5000000257341182,0.5000000257341182,中等网络效应
59,0.5000000184948048,0.5000000184948048,0.5000000184948048,中等网络效应
60,0.5000000132507256,0.5000000132507256,0.5000000132507256,中等网络效应
61,0.5000000099334664,0.5000000099334664,0.5000000099334664,中等网络效应
62,0.5000000081855228,0.5000000081855228,0.5000000081855228,中等网络效应
63,0.5000000073603011,0.5000000073603011,0.5000000073603011,中等网络效应
64,0.5000000065221175,0.5000000065221175,0.5000000065221175,中等网络效应
65,0.5000000049932801,0.5000000049932801,0.5000000049932801,中等网络效应
66,0.5000000037310622,0.5000000037310622,0.5000000037310622,中等网络效应
67,0.500000002796441,0.500000002796441,0.500000002796441,中等网络效应
68,0.5000000021318743,0.5000000021318743,0.5000000021318743,中等网络效应
69,0.500000001660837,0.500000001660837,0.500000001660837,中等网络效应
70,0.5000000012878197,0.5000000012878197,0.5000000012878197,中等网络效应
