heterogeneity_sigma,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
0.5,5116,0.54375,0.08750000000000002,coexist,0.0,,0.0,0.0,0.0
0.5,5117,0.50125,0.0024999999999999467,coexist,0.0,,0.0,0.0,0.0
0.5,5118,0.61375,0.22750000000000004,tilted,0.0,,0.0,0.0,0.0
0.5,5119,0.73375,0.4675,tilted,0.0,,0.0,0.0,0.0
0.5,5120,0.74375,0.48750000000000004,tilted,0.0,,0.0,0.0,0.0
0.5,5121,0.46125,0.07750000000000001,coexist,0.0,,0.0,0.0,0.0
0.5,5122,0.3425,0.315,tilted,0.0,,0.0,0.0,0.0
0.5,5123,0.6,0.19999999999999996,coexist,0.0,,0.0,0.0,0.0
0.5,5124,0.42500000000000004,0.14999999999999997,coexist,0.0,,0.0,0.0,0.0
0.5,5125,0.54875,0.10249999999999998,coexist,0.0,,0.0,0.0,0.0
0.5,5126,0.46625,0.0675,coexist,0.0,,0.0,0.0,0.0
0.5,5127,0.51,0.08000000000000007,coexist,0.0,,0.0,0.0,0.0
0.5,5128,0.4625,0.07500000000000001,coexist,0.0,,0.0,0.0,0.0
0.5,5129,0.415,0.17000000000000004,coexist,0.0,,0.0,0.0,0.0
0.75,5100,0.6799999999999999,0.36,tilted,0.0,,0.0,0.0,0.0
0.75,5101,0.3725,0.255,tilted,0.0,,0.0,0.0,0.0
0.75,5102,0.5575,0.11499999999999999,coexist,0.0,,0.0,0.0,0.0
0.75,5103,0.38125,0.23750000000000004,tilted,0.0,,0.0,0.0,0.0
0.75,5104,0.665,0.32999999999999996,tilted,0.0,,0.0,0.0,0.0
0.75,5105,0.61625,0.23250000000000004,tilted,0.0,,0.0,0.0,0.0
0.75,5106,0.39625,0.20749999999999996,tilted,0.0,,0.0,0.0,0.0
0.75,5107,0.62375,0.2525,tilted,0.0,,0.0,0.0,0.0
0.75,5108,0.40625,0.1875,coexist,0.0,,0.0,0.0,0.0
0.75,5109,0.52625,0.05249999999999999,coexist,0.0,,0.0,0.0,0.0
0.75,5110,0.33999999999999997,0.32,tilted,0.0,,0.0,0.0,0.0
0.75,5111,0.58125,0.16249999999999998,coexist,0.0,,0.0,0.0,0.0
0.75,5112,0.69125,0.38250000000000006,tilted,0.0,,0.0,0.0,0.0
0.75,5113,0.48,0.06,coexist,0.0,,0.0,0.0,0.0
0.75,5114,0.4025,0.19499999999999995,coexist,0.0,,0.0,0.0,0.0
0.75,5115,0.6112500000000001,0.22250000000000003,tilted,0.0,,0.0,0.0,0.0
0.75,5116,0.52,0.06000000000000005,coexist,0.0,,0.0,0.0,0.0
0.75,5117,0.49375,0.012500000000000011,coexist,0.0,,0.0,0.0,0.0
0.75,5118,0.5625,0.125,coexist,0.0,,0.0,0.0,0.0
0.75,5119,0.73125,0.4625,tilted,0.0,,0.0,0.0,0.0
0.75,5120,0.73375,0.4675,tilted,0.0,,0.0,0.0,0.0
0.75,5121,0.45625000000000004,0.08749999999999997,coexist,0.0,,0.0,0.0,0.0
0.75,5122,0.38125,0.23750000000000004,tilted,0.0,,0.0,0.0,0.0
0.75,5123,0.5725,0.14500000000000002,coexist,0.0,,0.0,0.0,0.0
0.75,5124,0.4,0.19999999999999996,coexist,0.0,,0.0,0.0,0.0
0.75,5125,0.5525,0.10499999999999998,coexist,0.0,,0.0,0.0,0.0
0.75,5126,0.46625,0.0675,coexist,0.0,,0.0,0.0,0.0
0.75,5127,0.5175000000000001,0.06500000000000006,coexist,0.0,,0.0,0.0,0.0
0.75,5128,0.51875,0.06250000000000006,coexist,0.0,,0.0,0.0,0.0
0.75,5129,0.4375,0.125,coexist,0.0,,0.0,0.0,0.0
1.0,5100,0.72,0.44000000000000006,tilted,0.0,,0.0,0.0,0.0
1.0,5101,0.345,0.31,tilted,0.0,,0.0,0.0,0.0
1.0,5102,0.5625,0.125,coexist,0.0,,0.0,0.0,0.0
1.0,5103,0.42375,0.15249999999999997,coexist,0.0,,0.0,0.0,0.0
1.0,5104,0.4625,0.07500000000000001,coexist,0.0,,0.0,0.0,0.0
1.0,5105,0.48,0.03999999999999998,coexist,0.0,,0.0,0.0,0.0
1.0,5106,0.45625,0.08750000000000002,coexist,0.0,,0.0,0.0,0.0
1.0,5107,0.60125,0.2024999999999999,tilted,0.0,,0.0,0.0,0.0
1.0,5108,0.38125,0.23750000000000004,tilted,0.0,,0.0,0.0,0.0
1.0,5109,0.6125,0.22499999999999998,tilted,0.0,,0.0,0.0,0.0
1.0,5110,0.33999999999999997,0.32,tilted,0.0,,0.0,0.0,0.0
1.0,5111,0.5925,0.18499999999999994,coexist,0.0,,0.0,0.0,0.0
1.0,5112,0.685,0.37,tilted,0.0,,0.0,0.0,0.0
1.0,5113,0.48875,0.02250000000000002,coexist,0.0,,0.0,0.0,0.0
1.0,5114,0.40375,0.1925,coexist,0.0,,0.0,0.0,0.0
1.0,5115,0.60375,0.20750000000000002,tilted,0.0,,0.0,0.0,0.0
1.0,5116,0.49375,0.012500000000000011,coexist,0.0,,0.0,0.0,0.0
1.0,5117,0.54125,0.08250000000000002,coexist,0.0,,0.0,0.0,0.0
1.0,5118,0.5625,0.125,coexist,0.0,,0.0,0.0,0.0
1.0,5119,0.66125,0.3225,tilted,0.0,,0.0,0.0,0.0
1.0,5120,0.7475,0.495,tilted,0.0,,0.0,0.0,0.0
1.0,5121,0.42625,0.14749999999999996,coexist,0.0,,0.0,0.0,0.0
