ablation,label,final_LB,final_LB_std,prob_LB_ge_0_6,strict_lock_prob,discounted_profit,discounted_profit_std,total_spend,max_CB
full_targeted_long_term,Full targeted long-term,0.5,0.0,0.0,0.0,-864.8369092338366,0.05205619380298121,3068.4084872276367,999999990.0
no_targeting,w/o targeting,0.751075,0.005574785445075051,1.0,0.0,-789.127201784619,1.1379437891664965,2698.6207199999967,628999990.0
replace_by_dynamic,replace by dynamic,0.49966666666666665,0.0012685406585123103,0.0,0.0,26.50219422020149,0.7724285406229435,210.5939916219528,999999990.0
replace_by_greedy,replace by greedy,0.4651666666666667,0.06275957590532374,0.0,0.0,29.113389067874937,1.0419352211293316,14.800740000000001,999999990.0
no_quality_investment,w/o quality investment,0.5,0.0,0.0,0.0,-429.66365468220425,0.5859170472940156,3032.778620708981,999999990.0
no_supply_penalty,w/o supply penalty,1.0,0.0,1.0,1.0,-837.9941406924687,0.04298261746173214,3059.953445453538,0.0
no_heterogeneity,w/o heterogeneity,0.5,0.0,0.0,0.0,-864.835266055242,0.04981819906885979,3068.4110889154135,999999990.0
no_network_effect,w/o network effect,0.5,0.0,0.0,0.0,-864.751670268625,0.04039964586248772,3068.53837109533,999999990.0
