screen_strategy,label,actual_strategy,budget_total,effective_subsidy,final_LB,prob_LB_ge_0_6,strict_lock_prob,discounted_profit,total_spend,ROI
none,无补贴,none,20.0,0.6666666666666666,0.4979166666666667,0.03333333333333333,0.0,28.698054186566257,0.0,
uniform_subsidy,统一补贴,bilateral_subsidy,20.0,0.6666666666666666,0.45250000000000007,0.0,0.0,44.20143114548408,39.58989067128393,1.116482778709593
random_subsidy,随机补贴,bilateral_subsidy,20.0,0.6666666666666666,0.43750000000000006,0.0,0.0,43.92822308096815,35.63090160415553,1.2328686927148913
swing_user,摇摆用户,user_subsidy,20.0,0.6666666666666666,0.4979166666666667,0.03333333333333333,0.0,15.512882099601546,19.794945335641966,0.783678956246961
key_merchant,关键商户,merchant_subsidy,20.0,0.6666666666666666,0.45250000000000007,0.0,0.0,57.411686565782134,19.794945335641966,2.9003205410428192
bilateral_targeted,双边精准补贴,targeted_dynamic,20.0,0.6666666666666666,0.5,0.0,0.0,13.906769805815966,55.985999999999926,0.24839727442246248
