k_M,merchant_multi_home_rate,final_LA_mean,concentration_mean,coexist_prob,tilt_prob,strict_lock_prob
0.0,0.455,0.732375,0.6962499999999999,0.0,0.8666666666666667,0.13333333333333333
0.2,0.36000000000000004,0.7536666666666666,0.7646666666666667,0.0,0.6,0.4
0.5,0.13499999999999998,0.8045416666666667,0.9165833333333333,0.0,0.06666666666666667,0.9333333333333333
0.8,0.04,0.8230000000000001,0.9733333333333333,0.0,0.0,1.0
1.2,0.010000000000000002,0.7985000000000001,0.9905,0.0,0.0,1.0
1.6,0.0033333333333333335,0.7991666666666667,0.9946666666666667,0.0,0.0,1.0
2.0,0.0016666666666666668,0.8326250000000001,0.9960833333333333,0.0,0.0,1.0
