strategy,final_user_share_mean,final_user_share_std,final_merchant_share_mean,final_merchant_share_std,user_satisfaction_mean,merchant_satisfaction_mean,user_multi_home_mean,merchant_multi_home_mean,lock_in_index_mean,lock_in_index_std,cum_profit_mean,cum_profit_std
dynamic,0.0,0.0,1.0,0.0,0.08356967350134457,1.960558376424012,0.0,0.0,1.0,0.0,26.77616208486619,0.5527343535368731
greedy,0.2,0.40683810217248617,0.711,0.2909123579362004,0.19213203649451893,0.9192981256191397,0.0,0.2753333333333333,0.8543333333333333,0.02836745747644934,29.475102865910547,0.7249547928752283
long_term,0.0,0.0,1.0,0.0,0.08356967350134457,2.297915895066231,0.0,0.0,1.0,0.0,26.518261842816568,0.6285254857577236
pure_quality,0.6333333333333333,0.490132517853561,0.982,0.0193693679244601,1.6355491590516589,2.249913866406246,0.0,0.036000000000000004,0.982,0.0193693679244601,23.579383335608608,0.7262326780038699
